organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810202572,BORTIGARD AS,,,33051963,,False,
810363142,BJØRNSTJERNE BJØRNSONSGATE AS,,,32 21 03 71,,True,
810432322,BAUGE EIENDOM AS,,,,,True,
810438452,BECKMANN AS,,firmapost@beckmann.no,38 12 10 80,,False,27.0
810547472,BRØDR BERNTSEN AS,www.bberntsen.no,,32 10 97 70,,False,33.0
810556722,B & G EIENDOM AS,,,,,True,
810684402,BLOKKEN SKIPSVERFT EIENDOM AS,www.blokken.no,,76124500,,False,
810733772,BORGE EIENDOM AS,,,33313028,,False,5.0
810859482,BRUNSTAD AS,,marked@brunstad.no,70 24 60 00,,True,42.0
810902612,Bugge & Amundsen AS,,mette@vosas.no,33 32 48 53,,False,
810985852,BÅTSERVICE SIGHTSEEING AS,www.boatsightseeing.com,,23 35 68 90,,True,
811060402,BIRDIE1 AS,www.serigrafi.com,ebrynild@online.no,67 14 70 40,,False,
811548642,BUSY BUSY BIRD AS,,,,,False,
811565032,BORGEN GRUPPEN AS,,,,,False,
811573302,BARANSU AS,,,,,False,
811573582,BY1BIL AS,www.by1bil.no,stian.bugge@gmail.com,,997 31 333,False,
811580422,BITERUD AS,,,22 03 81 00,,True,
811721492,BRIGHT PLANET AS,,,,,False,
811742732,BLOMSTERHAGEN PÅ ABILDSØ AS,,,,,False,
811766542,BEKKJORDEN SKOG AS,,svein@bekkjordenskog.no,,926 08 198,False,6.0
811770922,B-BAKKEN AS,,,,917 50 190,True,
811799572,BJØRN HÅGENSEN AS,,hagensen@fotoh.no,74 27 19 95,900 45 796,False,
811839892,BØKKER EIENDOM AS,,kjlie@online.no,93 03 83 14,959 98 855,False,
811849472,BP INVEST AS,,,22 56 29 44,,False,
811860352,BYBUBBLY AS,www.bubblmee.com,,,900 88 822,False,
811862282,BRATENG AS,,,,,False,
811863262,BUILTBY AS,,,,,False,
811864722,BB GYM TROMSØ AS,www.crossfittromso.no,alexander.mendis@k24.no,99 10 24 24,415 40 832,False,
811900982,BOMER SNORRES AS,,,,,False,
811904112,BERGEN SPRAYTAN AS,,bergenspraytan@gmail.com,,911 00 265,False,
811936642,BURRE INVEST AS,,,,,False,
811952672,BJØRN BREISTEIN AS,,,,,False,
811974242,BRAUTE HOLDING AS,,jostein@braute.no,,90541000,False,
811982172,BYGGMESTER HELGE KVALE AS,,,,,False,
811990892,BEKKESTUA KJØKKENSTUDIO AS,,,,,False,6.0
812014242,BMJ EIENDOM AS,,,,,False,
812016482,BETONGARBEID AS,,,,,False,23.0
812017012,BILHUSET BREKSTAD AS,,,,,False,
812026852,BLACK SWAN INNOVATION AS,,,,990 98 054,False,
812039342,BYGGKOMPANIET 123 AS,,,,998 95 877,False,21.0
812073982,BULK BERGER IV AS,,,,,False,
812099132,BILPLEIEKONGEN AS,,,,932 55 850,False,8.0
812099302,BNVANNKRAFT AS,,ketil@bnvannkraft.no,93 06 11 33,,False,
812104942,BALANZIA AS,www.balanzia.no,finn@balanzia.no,,900 97 586,False,
812121022,BUCKEN INVEST AS,,kibb@getmail.no,,,False,
812127012,BARSK ENTREPRENØR AS,,harald.lyngmo@hotmail.com,,481 75 105,False,
812160532,BWOOD AS,,bge@b-wood.no,93 21 27 21,,False,
812161962,BRATTHOLM AS,,,,,False,
812170112,BLOMSTERBAKKEN 2 AS,,,,,False,
812182412,BEAUTY OF FAME AS,,line_mh@hotmail.com,,992 98 049,False,10.0
812192922,BYGGMESTER STEINAR LANDE AS,,,,474 51 908,False,
812194372,BEST I BYGG AS,,,,,False,
812194992,BAKERIET 1 AS,,,,,False,
812198262,BYGDAS PERLE AS,,siljeelisabethbarlaug@gmail.com,,996 25 788,False,16.0
812204262,BYGGFIRMA MØLLER AS,,stamoell@online.no,,467 95 810,False,
812252542,BCH DRIFT AS,,bjornarhillestad@yahoo.com,,915 86 621,False,8.0
812295802,BYGGMESTER A. ØISANG AS,,,,,False,
812304852,BILLE BALLONG AS,,billeballong@hinsides.no,,,False,
812318632,BG CAPITAL AS,,,,,False,
812351362,BERVIKÅSEN BOLIGFELT AS,,,,,False,
812355082,BYKUBA AS,www.bykuba.no,,,,False,
812408542,BOX541 AS,,,,,False,
812415972,BONA MEA AS,,,,90181141,False,
812484532,BLOMSTERGUTTA AS,,,,,False,
812496832,BORGUNDFJORDVEIEN 108 AS,,,,,False,
812521772,BB13 HOLDING AS,,baard.bogetvedt@autolakk.as,56 31 69 50,,False,
812522132,BUYAN HOLDING AS,,,,,False,
812530682,BJØRVIKA CITY APARTMENTS AS,,shoecompany2013@gmail.com,,90083478,False,
812535412,BAZA NORDIC AS,,,,,False,
812546902,BYGG-ENGROS AS,,,,,False,7.0
812561022,BASIC CARE AS,,lindastalheim@hotmail.com,55 34 43 47,,False,
812580922,BEF SHIPPING AS,,,,,False,
812593382,BORGA STÅLBYGG AS,www.borga.no,,69 67 60 28,,False,10.0
812607812,BW LPG AS,,,67 21 16 00,,False,35.0
812630512,BJRL HOLDING AS,,,,,False,
812632272,BYGGEFIRMA IVAR MOUM AS,,,,,False,
812635042,BIPA DRILLING AS,,,,,False,
812644092,BILBANE HOLDING AS,,lars@sign1.no,,928 69 255,True,
812681362,BRÆKKE FESTESELSKAP VI AS,,lr@meu.no,,,True,
812717952,BASTEC AS,,baste.chr@gmail.com,,932 80 705,False,
812750062,Bergene Holm AS,,firmapost@bergeneholm.no,33 15 66 66,,False,510.0
812773542,BORREBRYGG AS,www.borrebrygg.no,post@borrebrygg.no,,469 05 400,False,
812806602,BLÅKLADER AS,,salg@blaklader.com,69 27 60 60,,False,27.0
812844822,BLOMSTERFRAKT ØST AS,,bakkeneida@gmail.com,,908 49 939,False,
812853252,BEDRIFTSVEIEN 24 AS,,post@boservice.no,,,False,
812864092,BRAND INVEST AS,,,,913 02 150,False,
812875892,BYGGREFORM AS,www.byggreform.no,post@byggreform.no,,,False,
812883682,BEP 8 INVEST AS,,,66 79 99 00,,False,
812893602,BSL BYGG AS,,steffen.lunde.bsl@enivest.net,,908 16 828,False,8.0
812893882,BTE CONSULT AS,,post@teas.no,,488 98 169,False,
812897462,BEREPF II NORWAY AS,,,35 91 36 10,,False,
813013282,BROCHSGATE 3 AS,,,,,False,
813017482,BW HOLDING RØRVIK AS,,,,,False,
813037912,BJORVAND & CO. AS,,,,900 77 105,False,
813040662,BUSKERUD INNEKLIMA AS,,peregilberg@live.no,,46 80 47 48,False,6.0
813067102,BENTEL AS,www.bentel.no,ben.kristensen@bentel.no,33 99 33 99,940 00 610,False,
813072572,BAKKE VEI OG BANE AS,,,,,False,
813094312,BOOKHUS NORGE AS,,,,,False,
813102382,BRG INVEST AS,,,,,False,
813104032,BYGGSOFT AS,,john.andre.tran@gmail.com,,951 98 984,False,
813120992,BYGGMESTER KENT KARLSEN AS,,,,,False,
813123142,BELLINGMO & STORÅS OLJESERVICE AS,,,,913 38 965,False,5.0
813168952,BWAS EIENDOM AS,,,,,False,
813170442,BAG CATERING AS,,,,,False,9.0
813181282,BYGGSØK NORGE AS,,jarle@byggsoknorge.no,,948 21 377,False,
813185342,BYGGMESTER J. H. TRETNES AS,,byggmester@mimer.no,,951 32 062,False,7.0
813189992,BNE KLØFTA BOLIG AS,,,,,False,
813194252,BOGSTADVEIEN 24 AS,,hanne.thjomoe@tandbergeiendom.no,22 43 40 00,954 55 707,False,
813226642,BYGGMESTER GUNNAR BREIVIK AS,,,,,False,
813264862,BONA AS,,,,,False,
813268582,BAKKE-NETT AS,,,,,False,
813270862,BILFORHANDLER1 AS,,,,,False,
813286602,BUFAR KOMPETANSE AS,,stig@bufarkompetanse.no,,412 20 910,False,80.0
813314282,BRU1 AS,,olebru@online.no,51 72 48 49,,False,
813314622,BYGGMESTER BRIX BYGG AS,,,,,False,14.0
813319322,BEKÅES AS,,bekaes@stangeland.net,,,False,
813366282,BB MASKINDRIFT AS,,,,,False,6.0
813374722,BROGÅRD RENHOLD AS,,,,,False,17.0
813399822,BUPA EIENDOM AS,,hans@bupa.no,,952 22 980,False,
813403382,BILFERGEN AS,,,,97532319,False,
813438402,BLIKKENSLAGER MORTEN VALHOVD ANDERSEN AS,,,,,False,
813454602,BERGEM GRAVESERVICE AS,,,,952 16 770,False,
813455072,BRUKTHENGEREN.NO AS,,,,,False,
813499002,BUTIKKDRIFT AKGEYIK AS,,necati21@msn.com,,932 49 357,False,12.0
813519232,BILPLEIESENTERET LARVIK AS,,firmapost@tomegil.no,,908 41 950,False,10.0
813578972,BRIDGE THE GAP AS,,oleoivindskaar@hotmail.com,,90 96 83 86,False,
813626152,BU 3N AS,,,,,False,
813660512,BRYGFJELD HOLDING AS,,,95 25 06 15,,False,
813660822,Bj. Kverneland A/S,,,92 89 31 80,,False,
813675862,BIRKEDAL FINANS AS,,,,,False,
813709252,BOLIGMESTEREN PROSJEKT AS,,kenneth@boligmesteren.no,,458 33 470,False,
813717352,BOHUS TYNSET AS,,,,940 00 429,False,12.0
813738902,BØRSEMAKER WEAR AS,,,,916 94 203,False,9.0
813739712,BJARA HOLDING AS,,,,982 14 936,False,
813756102,BILHANDLEREN AS,,,,,False,
813766132,BÆRUM HAGESERVICE AS,,,,478 05 850,False,
813783142,BREVIK BÅT OG FRITID AS,,,,,False,
813784882,B&C REGNSKAP AS,,,,909 09 604,False,
813790572,BM SCANDINAVIA AS,,,,,True,
813798972,BFISK AS,,,,,False,
813809052,BRATTALID III AS,,,,,False,
813810522,BJØRNÆSHUSET AS,,kjellb@trollnet.no,78 44 50 00,90916488,False,
813834162,BEANO INVEST AS,,,,,False,
813842262,BROKELANDSHEIA ØST 1 AS,,briain@slateam.com,,,False,
813847442,BOLIGKONSULENTENE AS,www.boligkonsulentene.no,livtone@boligkonsulentene.no,,46663044,False,10.0
813865262,BJUGNVEIEN 24 AS,,kjell@botngaard.no,,958 12 115,False,
813883082,BREKKE AS,,,,,False,
813883422,BURGAS ENWIA AS,,,,979 64 877,False,51.0
813894092,BINERA AS,,,,,False,8.0
813968592,BØMLO HUS AVD. HAUGESUND AS,,,,,False,10.0
813989662,BANG AS,,thorleif@bang.no,,915 50 230,False,
813995522,BØKKERVEIEN 5 AS,,,,,False,
814013332,BNE X6 AS,banenoreiendom.no,eiendom@banenor.no,,,False,
814044882,BJØRGMYRAN HOLDING AS,,leifa7@hotmail.com,,959 20 951,False,
814083632,BJORLIHEIMEN EIENDOM AS,,,,,True,
814109062,BJØRN BØRRESTAD AS,,,,,False,
814110222,BS HOLDING EIENDOM AS,,rune@bs-entreprenor.no,,90 92 04 54,True,
814145042,BUTIKKDRIFT JOWANG AS,www.drikkgodt.no,josteinwang@me.com,,932 49 802,False,
814164942,BRØDR MARAAK AS,,postmaster@maraak.no,70263033,,False,6.0
814166252,BAKKEN & BÆCK INVEST AS,,,,,False,
814196542,BAR POLAR AS,,,,,False,
814211002,BARONA HUMAN RESOURCE SERVICES AS,www.barona.no,,,,False,5.0
814217132,BRG HOLDING AS,,,,,False,
814264262,BATALDEN ISHUS AS,,ragnhild.jenssen@gmail.com,,454 20 944,False,
814279502,BERG1 AS,,,,,False,
814286592,BJØRNEVIK SERVICE AS,,,,,False,
814288412,BROKA INVEST AS,,,,,False,
814302172,BAKER'N STEINKJER DAMPSAGA AS,www.bakern.as,kongensgata@bakern.as,,,False,8.0
814306232,BÅ EIENDOM AS,,,,,False,
814340872,B&T LOGISTIKK AS,,,,,False,22.0
814349322,BALDERMOEN AS,www.mollereiendom.no,,,,True,
814373312,BREMS INVEST AS,,odd.bremseth@outlook.com,,915 65 054,False,
814387712,BERGENSGRUPPEN DRIFT AS,,christer.nesttun@gmail.com,,400 00 089,False,11.0
814419762,BLOMSTERBAKKEN 2 II AS,,,,,False,
814427242,BYGGMESTER AASEN AS,,post@byggmesteraasen.no,,,False,
814440192,BELJO TOYS AS,,,,,False,
814457192,BINARY LIGHTS AS,,,,,False,
814467082,BERTIL & MARTENS AS,,,,,False,
814475352,BELBIN NORGE AS,www.belbin-norge.no,geir.ansok@inmente.no,,922 81 433,False,
814505812,BYGGMESTERN EIENDOM AS,,aslak@byggmestern.no,,926 18 800,False,
814565602,BRAGERNES PARKERING AS,www.ava.no,firmapost@ava.no,66 85 08 50,906 62 217,True,
814568652,BRIMSHOLM EIGEDOM AS,,,,,False,
814582582,BRYNE BYGGDRIFT AS,,,,,False,
814585662,BARBIER INVEST AS,,jc.barbier@gmail.com,,911 64 332,False,
814603032,BM AQUACULTURE AS,,lhh@nordicaquafarms.com,90 07 49 07,,False,
814635562,BELLAS AS,www.bellasburrito.com,isabel@bellasburrito.com,,,False,27.0
814728552,BT CREWING AS,,koh@bergen-tankers.no,,,False,
814730972,BORGHEIM EIENDOM ELVERUM AS,,,,,False,
814739392,BJØRUM HOLDING AS,,,,,False,
814752402,BALSAMLYD AS,,stigmorten@abcstudio.no,,913 75 131,False,
814791092,BIESTERFELD NORGE AS,,,64 97 55 55,,False,37.0
814813762,BES INVEST AS,,golfborge@hotmail.com,22 56 30 75,907 77 693,False,
814834212,BEDRIFTSSERVCE.NO AS,www.bedriftsservice.no,post@bedriftsservice.no,,,False,
814884422,BONDIVEIEN EIENDOM AS,,,,,False,
814905462,BLOMST VIOLA AS,,hanne@blomst-sandnes.no,51 66 93 00,924 63 290,False,
814971112,BONSAIR AS,,ombo@ulvoya.com,97 68 52 80,,False,
814983862,BNE LENSMANNSLIA AS,,,,,True,
814989062,BESTEMOR EIENDOM AS,,,,,False,
814992632,BLUE OCEAN DISRUPTIVE TECH AS,,,,,False,
814998452,BELAIR AS,,,,,False,
815008782,BLÅ SKYER EIENDOM AS,,,,,False,
815032632,BIE BYGG AS,,bjornbie@live.no,95 80 24 75,,False,
815039572,BEVER PROSJEKT AS,,,,,False,
815048172,BGI AS,,john.berntzen@gmail.com,,900 86 872,False,
815061292,BEST ADVICE AS,,mha@capeomega.com,,,False,
815089502,BLIKKENSLAGERIET AS,www.blikkenslageriet.no,,,,False,9.0
815092112,BIRGER OVERAAE AS,,,72885566,,True,
815094662,BUSKERUD BOLIGUTVIKLING AS,,,,411 00 416,False,
815094832,BARTNES UTVIKLING AS,,,,,False,
815146972,BEEST SOFTWARE AS,,,,,False,
815183002,BUSKERUD VENTILASJON AS,buskerudventilasjon.no,post@buskerudventilasjon.no,,,False,
815192192,BLUEJEANS DIPLOMACY AS,,,,,False,
815236122,BLÅBYEN BYGGSERVICE AS,,halvar.mikalsen@vkbb.no,,90526705,False,
815280792,BARBA AS,,,,,False,
815281632,BREIVIKA NÆRINGSPARK AS,www.thon.no,firmapost@olavthon.no,23 08 00 00,,True,
815289242,BREIDABLIKK TRUDVANG AS,,,,,False,8.0
815359852,B&B BILVERKSTED AS,,,,902 74 327,False,10.0
815385012,BELLIS ECOINVEST AS,,,,,False,
815407512,BALUBA AS,,,,,False,
815429362,BULLO AS,,morten@plantax.no,,,False,
815433882,BERRE KOMMUNIKASJONSBYRÅ AS,,,,,False,19.0
815439112,BOTNHAMN VEKST AS,,meyerdatter@gmail.com,,412 39 960,False,
815469372,BM HOF HOLDING AS,,,,905 97 552,False,
815494172,BYGGMESTER TOBIAS IRGENS AS,,,,,False,
815518322,BESKANLUOSSAROCK AS,,beskanluossarock@gmail.com,,41622599,False,
815543912,BEERPAL AS,www.beerpal.no,,,,False,
815548272,BIL OG MASKINOMSETNING AS,,,,,False,5.0
815560132,BORTHNE-TRYGSLAND CONSULTING AS,,vidarborthne@gmail.com,,413 58 956,False,
815566432,BRENNES AUTO FREDRIKSTAD AS,,,,,False,9.0
815588312,BYGGMESTER NETELAND AS,,,,,False,70.0
815590872,BULJONGGRUPPEN AS,,buljonggruppen@gmail.com,,,False,29.0
815620372,BLACKOUT AS,,,,,False,12.0
815630122,BRAGESKAAL AS,,brageskaal@gmail.com,,,False,
815635922,BERGEN BILBERGING AS,,,,,False,
815644212,BERSAGEL BYGG AS,,berbygg@online.no,,928 88 802,False,
815751892,BYÅSEN DYREKLINIKK AS,,,,,False,
815770242,BRANNVERNOPPLÆRING HELGELAND AS,www.brannkurs.as,bjornar@brannkurs.as,,908 77 531,False,
815774132,BNE SCHWEIGAARDSGATE 41-51 AS,banenoreiendom.no,eiendom@banenor.no,,,False,
815800842,BEININGEN AS,,sjnaley@yahoo.no,,906 19 238,False,
815811992,BRYNI INVEST AS,,,78 47 74 52,915 43 734,False,
815814312,BESTI AS,,,,,False,
815822072,BONDENSVALG AS,,,,917 55 534,False,
815875982,BJØRKHOV RESTAURANT AS,,ozgur.zorlu52@gmail.com,99 72 46 52,,False,18.0
815880552,BV FORMIDLING AS,www.bevisstevalg.com,tovefjellvang@gmail.com,,971 50 255,False,
815900812,BYGG OG TØMRERMESTER TENSTRAND AS,,,,970 96 733,False,
815941152,BESSERUD EIENDOM AS,www.ragde.no,,22 62 62 20,,False,
815979362,BLÅSEISOLERING SØR AS,,jonas@blaaseisoleringsor.no,,940 04 300,False,
816014492,BERGEN KRISTNE BOKHANDEL AS,,bergenkristnebokhandel@gmail.com,,,False,5.0
816017122,BJARNE W. SØRENSEN AS,,bjarne@bwsorensen.no,,900 69 515,True,10.0
816025982,BORG FORVALTNING AS,,,,,True,71.0
816074002,BUKKEN HOLDING AS,,,,,False,
816092582,BERGE SAG GRUPPEN EIENDOM AS,www.bergesag.no,bergesag@bergesag.no,53 76 87 67,,False,
816096812,BENAISSA HANDEL AS,,,,,True,19.0
816102022,BARKENES AS,,ab@overbygg.no,40 03 61 58,,False,
816126002,BLACK SOCKS AS,,,,,False,
816159822,BYGGMESTER TOR ARNE LILAND AS,,,,,False,9.0
816161282,BRØDRENE EK EIENDOM AS,,,,,False,
816161762,BERO UTLEIE AS,,,,,False,
816162092,BOSS EIENDOM AS,,,,,False,
816162882,BLUE COAST PROPERTY AS,,,,,False,
816165032,BREILO HOLDING AS,,,,,False,
816170192,BLOMSTERBUDET BUSKERUD AS,,,,,False,
816249902,BRETTEL PA AS,,atle.sivertsen@kl.no,,922 22 601,False,
816254922,BOLOGNA HOLDING AS,,zanniniluca@hotmail.it,,411 09 269,False,
816269652,BOGE HOLDING AS,,,,,False,
816269792,BULK DATA CENTERS AS,www.bulk.no,,47 80 70 00,,False,69.0
816269822,BULK FIBER NETWORKS AS,www.bulk.no,,47 80 70 00,,False,
