organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810463902,E BERENTSEN AS,,,045202330,,False,
811349372,EIVIND EIVINDSON AS,,,38 15 00 20,,False,
811480282,Edv Eriksen AS Stilmøbelverksted,,,73 95 10 00,,False,
811548472,EDEFICE AS,,prosjektpartnerkarl@gmail.com,,948 77 070,False,
811576182,ENGLUND INVEST AS,,martin@hybelutleie.net,,906 00 526,False,
811600792,ELTERA AS,www.eltera.no,post@eltera.no,,902 05 390,False,117.0
811621862,EPLEMOS AS,,,,,False,
811640522,ENZIAN AS,,holmechr@gmail.com,,,True,
811680532,EIDSVOLL COMFORT STAY AS,,,,90083478,False,
811770892,ET HÅRSTUDIO EIDSVÅG AS,www.ethaarstudio.no,edel@ethaarstudio.no,55 25 74 00,,False,
811813702,EIENDOMS-PARTNER AS,,,,,False,
811824062,EXPIRA AS,,,,917 67 834,False,
811836982,EXSTO OFFSHOREUTDANNING AS,,,,,False,10.0
811838152,EDK TIMENES NÆRINGSPARK AS,,,,,False,
811863092,EIENDOMSINVEST LANGEVÅG AS,,,71 24 91 00,,True,
811865702,ELDØYANE EIENDOM AS,,,55 92 75 10,,False,
811903922,ECONOMICA AS,www.economica.no,eva.monica@economica.no,,957 32 499,False,
811987832,EIGEBAKKEN II AS,,,,980 60 494,False,
811993352,ENEXCELL AS,www.enexcell.no,post@enexcell.no,,416 40 962,False,
812005022,ELEKTRO - PARTNER AS,,,,,False,5.0
812062492,EIK1 HOLDING AS,,blochfx@gmail.com,,904 04 412,False,
812070312,EVENTLEDERNE AS,,gufz@online.no,,988 88 833,False,
812076272,ELEKTRO 12:24 AS,,,,970 47 970,False,23.0
812086162,EGENES TECHNOLOGY AS,,,,,False,
812118552,EKKO BYGG AS,,,,,False,14.0
812118722,ENSJØVEIEN UTVIKLING AS,,,,,False,
812159712,EIDET SKO AS,,turidfrig@hotmail.com,,,False,5.0
812177532,EIVINDSON AS,,,,,False,
812213032,EIRA FILM AS,,,,,False,
812225162,ETU HOLDING AS,www.etuholding.com,zs@orpas.no,92 03 84 07,466 11 900,False,
812279882,EGSET EIGEDOM AS,,kontor@egset.no,70 05 30 48,,False,
812287052,ERLING HALVORSEN AS,,,,,False,
812346652,EXPANDIC CONSULTING AS,,,,,False,
812355252,ET WORKS AS,,,,957 71 442,False,10.0
812532022,ELVEGRIS AS,,truls.hauger@gmail.com,,,False,
812555472,EVENT & HAPPENINGS AS,,,,,False,
812668412,EKER DAMPSAG & HØVLERI AS,,,32 25 25 70,,True,24.0
812701002,EXHAUSTO AS,www.exhausto.no,firmapost@exhausto.no,63 87 07 70,,False,17.0
812830732,ECIT OS AS,,,,,False,13.0
812848542,EIRIK LANDE EIENDOM AS,,,90 08 20 47,,False,
812864122,EIRA VILT OG FISK AS,,,,991 57 077,False,
812864912,EØP HOLDING AS,,,,930 04 146,False,
812877372,ESPEN HOLDING AS,,,,,False,
812884212,EGERSUND PLASTINDUSTRI AS,,,,,False,
812912062,ERLING HØRGÅRD AS,,goldwell@online.no,67 54 33 70,,False,
812995332,EKRE HOLDING AS,,sigurd@ekre.org,63 88 29 88,909 88 089,False,
813079992,EVOLUTIO AS,,ig@evolutio.no,,,False,
813136732,EUROPRO AS,,,,950 12 234,False,5.0
813143682,EXOVA METECH AS,,karl.bjerg@element.com,,+4552191763,False,
813165082,ENDOMED AS,,endomed@endomed.no,23 17 24 00,,False,
813168022,EINERHOLTET HOLDING AS,,,,,False,
813178702,EIDE OPPLEVELSER AS,,baar@eidehandel.no,,918 81 445,False,
813209802,ELYSIUM HOLDINGS AS,,,,99 24 68 85,False,
813221292,ENGVEIEN 20 AS,,,,,False,
813229862,EIRIK STIEN HOLDING AS,,,,,False,
813304392,EAK OFFSHORE CONSULTING AS,,,,906 96 570,False,
813360632,ELSE BERGER AS,,,67 90 15 04,,False,
813389592,ENERCON NORGE AS,,,,,False,
813427842,ESKAS AS,,,,995 36 845,False,
813439212,ENGELSTAD SPIRITS AS,,,,,False,
813537672,EFTESTØL INVEST AS,,,,,False,
813573822,ELFOKUS AS,,,,,False,
813602202,EIENDOMSFORMIDLEREN AS,,,,,False,
813634392,ELLINGSEN DAGLEGVARER AS,,,,,False,11.0
813657252,EXSENTRA EIENDOM AS,,,,,False,
813681242,ENDSVILLE CONSULTING AS,,,,932 28 262,False,
813699672,EMERCOR AS,,,,,False,
813724952,ERLING ROLSTAD STEIN AS,www.rolstad-as.no,post@rolstad-as.no,61 29 81 00,,False,
813777452,ENGSET RØR AS,,,,,False,
813884712,EKVA EIENDOM AS,,,,975 96 538,False,
813885492,EKÅS AS,,,,975 96 538,False,
813899922,EIKERAPEN GJESTEGARD DRIFT AS,,,,,False,11.0
813919842,ELIONS MALERSERVICE AS,,,,968 77 675,False,
813939622,EARTHMEDIA FILM AS,,james@earthmedia.co.uk,,,False,
813971992,EINAR HOLDING AS,,,,,False,
