organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811114642,JOHN DAHLE AS,,,51 64 69 90,,False,
811583472,JORDALSBAKKEN AS,,,,90864430,False,
811715492,JSON AS,www.itforalle.no,,,,False,
811717932,JÆRVERK AS,,post@aslehaukland.com,,452 00 838,False,
811744522,JANO AS,,,,,False,
811747092,J.C. TRANSPORTSERVICE AS,,,,922 90 546,False,7.0
811749672,JAN HELLEVIK AS,,post@janhellevik.no,,,False,
811998532,JAHEMA AS,,,,90609310,False,
812097792,JACOBS VIINE AS,,,,,False,
812108972,JOH. H. ANDRESENS VEI 5 AS,www.ferd.no,,67 10 80 00,,False,
812190202,JOY MUSIC AS,www.trinerein.com,,,,False,
812197932,JED AS,,,,,False,
812351052,JONJAKMM AS,,,,,False,
812481282,JORDANES INVESTMENTS AS,,,,,False,18.0
812505432,JAKT- OG ETTERSØKSOPPLÆRING AS,,rudi@forde-elektro.no,,971 03 639,True,
812538322,JEJAA AS,,,,,False,
812543202,JEAR AS,,,,,False,
812682202,JAAT INVEST AS,,,,,False,
812869132,JOSWAL INVEST AS,,jostein.walaker@gmail.com,,92492829,False,
812870572,JÆRGRIS AS,,,,,False,
812902202,J.G. HYTTEUTLEIE AS,,,,,False,
813020882,JOE SILVER DIGITALISERING AS,www.joe-silver.no,kay.arne@joe-silver.no,,,False,
813029472,JENSSEN AS,,,,,False,
813134802,JUNIORTRANS AS,,,,,False,
813168812,JOKERSYSTEMET AS,,post@jokersystemet.no,,900 18 216,False,
813224372,JB VEI OG VEDLIKEHOLD AS,,valtrat160@hotmail.com,,412 70 820,False,
813239132,JVB EIENDOM AS,,,,,True,
813422492,JAEGERBOOKING AS,,scott@jaegeroslo.no,,90 20 95 19,False,
813486202,JMP CONSULTING AS,,,,928 41 091,False,
813513552,JORDBÆRPIKENE NARVIK AS,,kjersti@jbp.no,,47325555,False,13.0
813551632,JØDAHL MASKIN AS,,,,,False,
813580462,JD HOLDING AS,,,,,False,
813598272,JAKA EIENDOM AS,,,,,True,
813668122,J & R EIENDOM AS,,jan-erik@varebilinnredning.no,,948 85 909,False,
813755742,JA BILMEGLING AS,,,,,False,13.0
813850052,JON TERJE JÅSTAD AS,,,,908 34 883,False,
814042952,JTR AS,www.jtr.as,t-robert@online.no,,,False,
814077942,JESSHEIM DANSESKOLE AS,,,,,False,
814149692,JÆREN TOMTEUTVIKLING HOLDING AS,,,,,False,
814187012,JAN PETTER OLSEN AS,,,,,False,
814277682,JPJ EIENDOM AS,,johansenjp@hotmail.com,,920 20 231,False,
814290832,JRJ HOLDING AS,,,,,False,
814450392,JOHO INVESTERING AS,,,,,False,
814507882,JANNE UGELSTAD HOLDING AS,,,,,False,
814516512,JONTE HOLDING AS,,post@jonte.no,,91 68 29 19,False,
814575292,JOHNSEN-HOLDING AS,,,,,False,
814580172,JSL AS,,,,,False,
814631842,JAHREN INVEST AS,,oystein.jahren@gmail.com,,,False,
814738922,JONAS VINDUER AS,www.jonasvinduer.com,info@jonasvinduer.com,,+4752972801,False,
814739112,JAPO HENRY AS,,,,,False,
814852482,JONIKA HOLDING AS,,,,,False,
814859592,JEMAR HOLDING AS,,jens@vangseter.no,,,False,
814888002,JESSHEIMTOPPEN AS,,,,,False,
814910822,JON BORGE HOLDING AS,,,,,False,
814938522,JBN AS,,,,,False,
814949362,JARLE BØRRESTAD AS,,,,916 21 080,False,
815230892,JULIAN REED AS,,ola.maele@sjolyst.no,23 00 19 60,415 00 571,False,
815249542,JØSS BOKSTUDIO AS,www.innholdsbyraet.no,hei@innholdsbyraet.no,,908 62 922,False,
815262972,JEST HOLDING AS,,,,,False,
815325052,JJR ANLEGG OG TRANSPORT AS,,joachimtoft90@gmail.com,,948 10 993,False,
815351002,JABAR AS,,,,,False,
815440692,JAHREN EIENDOM RENA AS,,,,90531537,False,
815476522,JENBI INVEST AS,,jensbilben@gmail.com,,909 58 555,False,
815514912,JUSTISEN DRIFT AS,,,,,True,35.0
815538692,JÅDDÅREN GÅRDSBARNEHAGE AS,,,,,False,14.0
815540662,JÆRKOKKEN AS,,,97 76 48 33,,False,
815603702,JB ANLEGGSSERVICE AS,,jbmoen@hotmail.com,,91 17 66 78,False,9.0
815641582,JM HANSEN EIENDOM AS,,,,,False,
815688422,JW EIENDOM AS,,,,,False,
815703782,JAKOBSEN CONSULTING STAVANGER AS,,,,,False,
815714482,JOHAN KNUDTZENS GATE 19 AS,,lp@arctic-dive.no,,406 41 554,False,
815739892,JOT AS,,,,,False,
815740602,JPHOLDING AS,,jampe8@gmail.com,,952 99 077,False,
815826892,JAN KÅRE MIDTHJELL HOLDING AS,,,,,False,
815842332,JUPITER INVEST JUNIOR AS,,,,,False,
815961102,JMTT EIENDOM AS,,magnus@berg-maskin.no,,993 53 626,False,
815962222,JERPEVEIEN 13 AS,,lars_nielsen91@hotmail.com,,478 63 916,True,
815965442,JULENATT AS,,,,,False,
816016622,JA EIENDOM AS,,,,,False,
816120322,JOHN AS,,,,,False,
816120942,JÆREN UTLEIE AS,,brian-r@online.no,,908 92 480,False,
816122252,JONBRYGGA AS,,leleivse@online.no,,415 54 377,False,
816142032,JAMES STRONG AS,,,,91630416,False,
816156742,JUUL-FAUGLI HOLDING AS,,,,990 08 269,False,
816213622,JEO FINANS AS,,,,,False,
816226082,J GROUP AS,,,,,False,
816227232,JARO KAPITAL AS,,jahn@totalvisjon.no,41 09 06 17,,False,
816275202,JULIUSSON CONSULTING AS,,juliussonconsulting@gmail.com,,950 18 665,False,
816337542,JULETRESELGERNE AS,,,,,False,
816391792,J MØGSTER INVEST AS,,,,,False,
816492432,JAKOBSELVKAIA AS,,,,,False,
816492602,JAMY EIENDOM AS,,,,,False,
816510872,JOHS J SYLTERN AS,,firmapost@syltern.no,72 53 53 00,,True,200.0
816518822,JON OLSEN FYSIO AS,,,,,False,
816522722,JAAE INVEST AS,,,,,False,
816554462,JABRI AS,,,,,False,
816607892,JAPO SUSHI SKØYEN AS,,,,,False,19.0
816607922,JAPO SUSHI FROGNER AS,,,,,False,
816624002,JENNY SKAVLAN HOLDING AS,,,,,True,
816632722,JARLSBERG HOLDING AS,,,,,False,
816657202,JF&F HOLDING AS,,,,,False,
816690552,JOHAN SKEIE AS,,,,,False,22.0
816696062,JT HOLDING AS,,,,,False,
816697182,J.LONDON HOLDING AS,,,,,False,
816706122,JOSEF BAMBA AS,,,,,False,
816772052,JEGFIKKJOBBEN AS,,,,,False,
816774802,JHK TRAFIKKSKOLE AS,,,,,False,
816814782,JACLIE AS,,johannes@jaclie.no,,,False,
816841542,JÆREN SKOG AS,,,51481475,92044872,False,
816901472,JOHAN TROYE AS,,hko.adb@holberg.no,55 32 20 20,,False,
816905982,JEBSEN VENTURES AS,,,,,False,
816915112,JAKOBSELVA JAKT OG FISKE AS,,torbjorn@autosalg-as.no,,,False,
816943442,JE JENSEN HOLDING AS,,,,,False,
816981212,JAN MARHAUG EIENDOM AS,,,,950 58 500,False,
817071902,JR LARSEN VVS AS,,jrlarsen@mimer.no,,911 04 597,False,
817076092,JENTOFT ENTREPRENØR AS,,svein.jentoft@svein-m-jentoft.no,,95797851,False,6.0
817115772,JURGITA RENHOLD AS,www.jurgitarenhold.no,post@jurgitarenhold.no,,896673311,False,14.0
817138012,J.O. HÆREID AS,,,,,False,
817146422,JML EIENDOM AS,,,,,False,
817186572,JPB INVEST AS,,,,,False,
817212352,JANAFLATEN NÆRINGSBYGG AS,www.mollereiendom.no,,,,True,
817216102,JKT BIRKELAND INVEST AS,,,,,False,
817226612,JSG HOLDING AS,,jorgen.snoas@gmail.com,,,False,
817300472,JK MALING OG RENHOLD AS,,,,,False,
817325742,JEKTVIK DAGLIGVARE AS,,,,,False,9.0
817448232,JOHU HOLDING AS,,,,,False,
817449182,JAVELIN ADVOKATFIRMA AS,www.jav-corp.com,contact@jav-corp.com,,,False,
817464092,JOHANNES ØSTENSJØ & CO AS,,post@ostensjo.com,69 23 33 40,,True,
817472842,JAKOB HATTELAND COMPUTER AS,,,,,True,105.0
817504752,JOH VANNTEKNIKK AS,,,,,False,
817566472,JESSHEIM BIL HOLDING AS,,,,,False,
817592902,JP ROSENLUND AS,,,,,False,
817604862,JUBEL INVEST AS,,,,,False,
817607942,JEK STAVANGER HOLDING AS,,,,,False,
817636012,JTC AUTO AS,,post@jtcauto.no,,,False,
817649092,JAKOB MULTISERVICE AS,,,,,False,
817681972,JURO EIENDOM AS,,,,,False,
