organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811599492,2Ø SERVICE AS,,,,95282496,False,
811708992,ØYGARDEN & NEDRESKÅR FJELLSPRENGNING AS,,,,,False,
811816302,ØRJAN DYPAUNE HOLDING AS,,,,404 27 879,False,
811975672,ÅRABROTSVEIEN 19 D AS,,post@froylandelektro.no,,,False,
812168762,4HOME AS,,,67 15 16 90,911 82 885,False,
812197142,4X4 MEDICINE AS,,,,,False,
812467182,&MORE AS,,,,926 33 798,False,
812667602,ØYSAND KOLONIHAGEBY AS,,,,,False,
812672452,4KLØVER EIENDOM AS,,,,,False,
812679902,ØVRE LINDÅS AS,,,,,False,
812874322,99X TECHNOLOGY AS,,dag@honningsvag.com,21 49 90 99,907 44 810,False,
813055392,ØKERN DEKKSENTER AS,,goransleman@hotmail.com,22 64 44 83,419 23 108,False,7.0
813390922,2021 EIENDOM AS,,,,,False,
813394022,ØYA ANLEGG AS,,ole.chr@ottasag.no,,950 30 505,False,
813501112,Ø. HELLERUD HOLDING AS,,,,,False,
813521792,1ST BRANDS AS,,,,,False,6.0
813555042,7 TROLL AS,,,,,False,
813592592,ÅSANE VENTILASJON AS,,,,,False,
813599392,Ø. ALSETH HOLDING AS,,,,,False,
813646552,1 SBX AS,,golfborge@hotmail.com,,90777693,False,
813780712,ÆOLUS AS,,,,,False,
813810662,ØSTFOLD TRAFIKKSKOLE AS,www.ostfoldtrafikkskole.no,mail@ostfoldtrafikkskole.no,69 22 22 53,917 72 010,False,14.0
813822962,29 MINUTE BOOKS AS,,,,,False,
813823942,ÅSANE INVEST AS,,,,,False,
813894432,ØVRE ROTVOLL 8 AS,,,,,False,
813973812,ØRKA HOLDING AS,,,,,False,
814181952,ØVLAND INVEST AS,,,,,True,
814329232,ØLSMIA AS,,,,,False,
814514382,9910 INVEST AS,,faktura@citomedia.no,,917 43 933,False,
814552322,ØYLINER AS,,,,906 17 003,False,
814572242,ØVRE TORGGATE 8 AS,,,,,True,
814580482,ÅSTJERN AS,www.aastjernhyttetun.no,post@aastjernhyttetun.no,92 61 80 61,909 83 216,False,
814583392,ØYELEGE LH BERGER AS,,,,,False,5.0
814589072,ØDE Ø AS,,,,,False,
814609642,ÅSLAND HOLDING AS,,,,451 91 077,False,
814801802,ÅSVANG HOLDING AS,,aasvang@bronnoyblikk.no,,913 26 011,False,
814878392,ØVRE BRÅTEN GÅRD AS,,,,,False,
814968952,221 CONSULTING AS,www.221.no,thomas.johannessen@221.no,,415 33 770,False,
815103602,ØLNESS HOLDING AS,,,40 55 15 93,,False,
815191412,ÅS HEST & HOVSLAGERI AS,,aadne_s@hotmail.com,,984 43 466,False,
815442962,ØYVIND OSNES-RINGEN AS,,,,,False,
815500202,ÅSSIDEN TRAFIKKSKOLE AS,,,,926 27 777,False,
815513932,ØYSKIPET AS,,ola@norfra.no,,416 14 003,False,
815612752,ØST RØRSERVICE AS,,a.jorgen.johnsen@gmail.com,,400 47 847,False,
815623622,ÅRSETH TRANSPORT AS,,,,,False,
815677552,ØSTERVÅG 17 AS,,,,,False,
815709322,ÅLESUND BILSENTER AS,,mstransportas@gmail.com,,93050511,False,
815813642,ØYAA AS,,,,,False,
815912292,8360 PRODUKSJONER AS,sondrejustad.no,,,,False,
816018692,ØVREBERG EIENDOM AS,,,,,False,
816022932,1814 NORD AS,,,,,False,
816090962,ÅGA EIENDOM AS,,rune.sveinsen@gmail.com,,997 04 407,False,
816449952,ØYSTEINS GATE 8 AS,,,,,False,
816552842,ØYA UTBYGGING AS,,,,,False,
816785502,ÅSSIDENSENTERET AS,,,,,True,
817030572,91 IDELIGEN AS,,,,,False,
817365752,7 FJELL EIENDOMSSERVICE AS,,,,,False,23.0
817385222,ÅNEBYVEIEN 2 AS,,,,,False,
817429122,ØIGARDSETER FJELLSTUE AS,,mail@oigardseter.no,61233713,,False,
817478212,ØSTLANDS-POSTEN AS,,,33 16 30 00,,True,23.0
817500382,ØVREBERGBYGGET AS,,,,,True,
817525172,ÅKRA SEMENTSTØPERI AS,,post@aakrasement.no,52 81 10 60,,True,20.0
817536832,ÅB EIGEDOM AS,,,635440000,,False,
817539602,5 ZENZES AS,,,,,False,
817540112,ÅRNES HANDEL EIENDOM AS,,,,,False,
817666752,ØS KONSTRUKSJON AS,,,,,False,
