organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
812716522,Q10 OFFSHORE SERVICE AS,q-10.no,,,,False,132.0
812793292,QUAD GEOMETRICS NORWAY AS,,,,,False,
813897202,QVIST HOLDING AS,,fabian.qvist@gmail.com,,922 09 912,False,
814098052,QUICK STYLE AS,www.thequickstyle.com,info@thequickstyle.com,,934 06 827,False,
814103552,QVADRAT HOLDING AS,,,,,False,
815438302,QOMO AS,,,,,False,8.0
815954602,QBYGG AS,,,,,False,
816229022,Q AND Q AS,,,,,False,
816805562,Q2 INVEST AS,,,,40 49 04 11,False,
817492452,QUE BOLA AS,,,,,False,
818540582,QA OSLO AS,,,,,False,
818596502,QUICKTOOL AS,,,,,False,
818771312,QUALITY BREW AS,,,,,True,
819498822,QDP ARKITEKTER AS,www.qdp.no,post@qdp.no,23 30 09 99,,False,6.0
820036972,QUARTKLINIKKEN AS,,,,,False,
820247302,QUENCHED AS,,,,,False,
824790132,QBIG AS,www.qbig.no,gry@qbig.no,,971 22 062,False,5.0
825132732,QUALITY HOTEL RICHARD WITH AS,,,,,False,83.0
825528342,QUALITY HEALTH CARE AS,,,,,False,109.0
826408502,QUANTUM LEAP GROW AS,quantumleapgrow.com,contact@quantumleapgrow.com,,920 43 017,False,
826908572,QUESTIFY AS,,,,,False,
827208582,QPB AS,,,,,False,
827312622,QP HOLDING AS,,,,,False,
827458902,Q INVEST AS,,,,,False,
829405342,QLA HOLDING AS,,,,,False,
830699562,QMATEC EIENDOM AS,,,,,False,
831119152,QUINDELOG AS,,,,,False,
831169052,QUALY AS,www.qualy.no,joanna@qualy.no,,486 56 167,False,
831396172,QUE SOLUTIONS AS,,,,,False,
831563672,QUANTITAS ENERGY AS,,,,,False,
832071102,QVALE HOLDING AS,,,,,False,
832606782,QUARTEX AS,,,,,False,
832753432,QHP AS,,,,,False,
836016882,QUALITY NURSING CARE AS,,,,,False,
836252772,QAISI AS,,smaksreiser@gmail.com,,40585013,False,
863655242,QUATRO COMPANY AS,,quatro@online.no,,99110707,False,
877570762,QVAM AS,,,57 82 38 11,,False,
878655702,QUALITRONIC ODD JUBAL-ANDERSEN & CO AS,,,22 75 74 60,,False,
879392012,QUALITAS CONSULTANTS AS,,,22 14 43 33,,False,
880366882,QVISTEN ANIMATION AS,www.qvisten.no,fredrik.kiosterud@qvisten.no,,,True,56.0
881952882,QUAD AS,,nextron@nextron.no,21 60 30 00,,False,
885225462,QUALITY HOTEL GRAND AS,www.strawberry.no,kongsberg@strawberry.no,32 77 28 00,,True,104.0
889027002,QUALIS EIENDOM AS,,knut.einar.ludvigsen@outlook.com,93 04 70 30,481 03 456,False,
889158522,QVIPSDALEN EFTERRETNINGER AS,,,,484 03 241,False,
889699582,QARIUS HOLDING AS,,,,995 25 162,False,
892044082,QUOOKER NORGE AS,,,,,False,12.0
892442142,QURIUS AS,www.qurius.no,salg@qurius.no,,92219200,False,
892555532,QUBE BYGG AS,,ronnyhus@gmail.com,,975 99 990,False,
895792152,QM ENGINEERING AS,,info@qme.no,94 16 66 18,,False,
895882712,QUICK CLEAN AS,,,,907 64 885,False,
911707128,Q10 PERSONELL AS,,,,,False,41.0
912038211,QVALNES GÅRD AS,,,76 56 56 56,900 19 505,False,
912105849,QLT AS,,jan.erik.myhrene@gmail.com,,907 80 541,False,
912134547,QUADRIGA NORDIC AS,,,,,False,
912156117,QTM AS,,,,,False,
912157237,QUINYX AS,,marie.ahlberg@quinyx.com,,+46722317424,False,5.0
912200841,QUANTIDOC AS,www.quantidoc.com,post@quantidoc.com,,,False,
912296423,QRM PARTNER AS,,,,,False,
912509850,QGC AS,,,,,False,
912511146,QVAM-NILSEN AS,,cn240tic@hotmail.com,,97580267,False,
912661776,QUALIFIED RENHOLD AS,www.qualifiedrenhold.no,post@qualifiedrenhold.no,,901 78 748,False,20.0
912665828,QUICKLYMADE AS,www.quicklymade.com,ivan.thoreid@quicklymade.com,,909 16 250,False,
912683443,QUALITY CAR AS,,,,,False,
912699447,QVINGRA AS,,skages@getmail.no,,915 16 928,False,
912715043,Q-THERA AS,,,,,False,
912855198,QVANIL-SKAHÅK EIENDOM AS,,glennqh@hotmail.com,,990 32 244,False,
913097203,QUALITY GROUP INVEST AS,,,,,False,
913129199,QSUB AS,,svein@qsub.no,,905 72 067,False,
913186796,QICOACHING AS,www.QiCoaching.no,anitakielland@yahoo.no,,918 22 073,False,
913284976,QUICK CAR FIX AS,www.quickcarfix.no,kontakt@quickcarfix.no,40 40 40 00,,False,
913308093,QUILQ AS,,c-klynd@online.no,,904 03 400,False,
913331281,QTSUPPORT AS,,karen.lise.sundgot@gmail.com,,41471945,False,
913419952,QE HOLDINGS NO AS,www.qvisterraia.dk,kontakt@qvisterraia.dk,,004542444334,False,
913426134,QBS AS,,,,,False,
913451732,QB GALLERY AS,,,,,False,6.0
913508793,QUIZTRO AS,,,,,False,
913515366,QUICK LOGISTIC SERVICES AS,,ab_am@hotmail.co.uk,,901 11 043,False,
914049601,QNAPP AS,www.christiandanielsen.com,hello@christiandanielsen.com,,922 55 710,False,
914186102,QUADRATIXIT AS,,post@quadratixit.com,,458 54 862,False,
914317061,QUANT NORWAY AS,,,,,False,
914340780,QUALITY CONSULT AS,,,,,False,
914420210,QSHEBA AS,www.cinenord.no,sara@cinenord.no,,405 52 064,False,
914504716,QUEST ENTERPRISES AS,,,,,False,
914510341,QUALIS UTVIKLING AS,,,,982 82 333,False,
914848245,QUAHOG INVESTMENTS AS,,,,,False,
914901472,QUALIPET AS,,,,,False,
914914671,QLY AS,,,,,False,
914970954,QUENZAL AS,,tore.kallestad@hotmail.com,,992 82 306,False,
915119484,QUANTAFUEL AS,,,,,False,27.0
915131026,QUALITY WINE IMPORT AS,,post@allegromat.no,,954 91 166,False,
915210600,QUANTFOLIO AS,quantfol.io,hello@quantfol.io,56 12 66 22,,False,12.0
915368670,QUALITY REGNSKAP AS,,jb@qualityregnskap.no,,915 15 685,False,6.0
915662293,QVADRAT EIENDOM AS,,alexander@holmestrandutvikling.no,,,False,
915810543,QUALITECH SOLUTIONS AS,www.torvit.no,jostein@torvit.no,,930 09 543,False,
915925642,Q-HAUS NORGE AS,,,,,False,
916165013,Q42 HOLDING AS,,,,,True,
916235488,QICRAFT GROUP AS,,,,,False,
916264674,QWAVE AS,,,,464 30 084,False,5.0
916376278,QUICKSHIP LOGISTICS AS,lettbutikk.no,lh@lettbutikk.no,,,False,45.0
916476612,QSC RESTAURANGER AS,,,22 87 88 50,,False,727.0
916505566,QUALITY INTERNATIONAL INVESTMENT AS,,,,,False,
916638884,QUALITY ACCOUNTING AS,www.qaas.no,,,,False,8.0
916667922,QUENTINES AS,,thor@fiberworks.no,,912 44 854,False,
916709358,QP PARTS AS,,,,,False,
916739125,Q4 NÆRINGSMEGLING AS,,,,,False,12.0
916754477,QUALITY SECTOR AS,,terje.madtsen@gmail.com,,483 20 912,False,
916798466,QUEST PLATTFORM AS,,,,,False,
916800118,Q HOLDING AS,,,,,False,
916942443,Q-SECTION AS,,,,,False,
917144052,QUALITA UTVIKLING AS,,,,,False,
917178666,QOBLEX AS,stockandbuy.com,tahar@stockandbuy.com,,968 51 430,False,
917474567,QUICK STYLE STUDIO AS,,,,,False,10.0
917524432,QSENSE AS,,,,,False,
917796157,QUATRO EIENDOM AS,,,,,False,
917853991,Q8IMPORT AS,,kazem-1982@hotmail.com,,905 03 298,False,
917867607,QRG HOLDING AS,,,,,False,
917937516,Q-TAGG R&D AS,www.qtagg.com,info@qtagg.com,,,False,
918015051,QS INVESTMENT AS,,,,,False,
918061932,QVIST-KORSMO AS,www.bakerhansen.no,stabekk@bakerhansen.no,,,False,19.0
918069216,Q-BIC PRODUCTS AS,,,,,False,
918074775,QWT AS,www.qwt.no,,,,False,
918099476,QUINTILIS AS,,,,,False,
918132937,QRALE AS,,,,,False,
918165592,QTD AS,,,,,False,
918278176,QUALITY NEST AS,,,,,False,
918319603,QUIPSUPPLY AS,,,,,True,
918359524,QAMEA AS,,,,,False,
918532048,QRRNT HOLDING AS,,,,,False,
918588000,Q3 PARTNERS AS,,ijensen@q3p.no,,+4797179073,False,
918593799,QUANTELICA AS,,,,,False,
918610669,QRRNT AS,,,,,False,
918645179,QLTECH AS,,,,,False,
918708561,QIAN MANAGEMENT AS,,,,,False,
918711325,QICK AS,,,,,False,
918773770,QMAX AS,,,,,False,
918783113,QUICKPUMP AS,,,,,False,
918783881,Q AGENCY AS,qagency.no,ida@qagency.no,,916 27 681,False,
918844201,QVART & HOMBORSUND ØLKOMPANI AS,,,,,True,7.0
918868151,QUADRAT EIENDOM AS,,erik_joh@hotmail.com,40 06 02 04,916 82 919,False,
918898646,QBE2HUS AS,,post@qbehus.no,,900 51 825,False,
918929347,QURANT TRANSPORT AS,,,,,False,
919033436,QUASAR ASSETS NORWAY AS,,torunn.klaekken@topflight.no,,,False,
919155248,QTIME AS,www.qtime.no,kontakt@qtime.no,95 78 44 52,,False,
919278153,QBEE AS,www.qbee.io,,22 12 00 06,,False,6.0
919300124,QDS AS,,,,,False,
919322705,Q10 OFFSHORE AS,,,,,False,75.0
919345187,QRG MANAGEMENT AS,,,,,False,
919383879,Q42 NÆRING AS,,firmapost@brgruppen.no,,,True,
919424966,QTS AS,,avollsta@gmail.com,,928 80 888,False,
919583894,Q MEDIA AS,,,,,False,
919666757,QUICK TRUCKSERVICE UTLEIE AS,,,,,False,
919676760,QUANTUM RESOURCE GROUP QRG AS,,,,,False,
919751525,QUADRO HOLDING AS,,,,,False,
919790369,QUICK LOGISTIKK AS,,,,,False,26.0
919851759,QUAESTOR FORVALTNING AS,,,,,False,
919870516,QADIR CAPITAL INVESTMENTS AS,www.adscreen.no,ehssen.qadir@gmail.com,,464 74 715,False,
919880503,QGS AS,,,,,False,8.0
919885289,QUALIFIED PROFESSIONALS AS,,,,,False,13.0
919911255,QVICKLUND AS,,ulf.qvicklund@gmail.com,,+46766101870,False,
920047505,QUANTSHIP AS,,,,,False,
920260578,QUANTA AS,,,,,False,
920331513,QSP AS,,,,,False,
920395546,QVORTRUP ARKITEKT AS,,,,,False,
920468500,QUANTIFIED STRATEGIES AS,,,,,False,
920537685,QUANTUM MØRE AS,,,,,False,
920646476,QUICKSTEP FOLEY AS,,,,,False,
920709117,QUICKSTEP INVEST AS,,,,,False,
920771793,Q-FREE NORGE AS,,,,,False,112.0
920853153,QULFI AS,,,,,False,
920957846,QUADIM AS,,,,,False,
920988210,QUAN HOLDING AS,,,,,False,
921055056,QUICKTECH WEB AS,,,,,False,
921462743,QS INVEST AS,,,,,False,
921566174,QUALITY LIVING RESIDENTIAL AS,,pbm@pareto.no,,228 78 700,False,
921667698,QUATROGRUPPEN AS,,,,,False,
921708386,QUBIK AS,,,,,False,
921774834,QAP CONSULTING AS,,,,,False,
921985282,QUARTEN INVEST AS,,dag@vige.no,,91584484,False,
922134294,QANVA INVEST AS,,,,,False,
922157936,QUATROGRUPPEN CONSULTING AS,,,,,False,
922199825,QUANTIK AS,,,,,False,
922201706,QUALTURE AS,,,,992 03 413,True,
922222606,QONTEXTO NORWAY AS,,,,,False,
922311358,Q-SJU AS,,,,,False,
922320543,QUEEN PROPERTIES AS,,,,,False,
922349029,QLING AS,,,,,False,
922405301,QUICKBUTIK AS,quickbutik.com,ab@quickbutik.com,+46424006588,,False,
922627010,QWORK AS,,,,413 14 801,False,
922653968,QUARTEN AS,,,,,False,
922676437,QUE PROFESSIONAL AS,,,,,False,
922687242,QUANTUM SPRINT 19 AS,,,,,False,
922715769,QUINN AS,,,,,False,
922772029,QE INVEST AS,,,,,False,
922807671,QTVET AS,,,,,False,
922820627,QAC AS,,,,406 14 946,False,
922824789,QUARTEN EIENDOM AS,,,,,False,
922935564,QWERTY AS,,,,,False,
923018263,QUAYSIDE AS,,,,,False,
923030778,QNAPPEN AS,www.qnappen.no,svein-magnar@qnappen.no,,477 08 839,False,
923135197,QWERTY INVEST AS,,,,,False,
923137041,QUIPSHARE AS,,,,,True,
923141421,QUICK CAFE AS,,,,,False,
923143580,QUAD CORK AS,,,,,False,
923144935,QUMU MUSIC AS,,,,,False,
923209166,QULT AS,,,,,False,7.0
923301186,QCP GLOBAL AS,,,,,False,
923414118,QNTM NORWAY AS,,,,,False,7.0
923455590,QUADRANSA AS,www.quadransa.com,eb.lund@quadransa.com,91 54 03 23,,False,
923467017,QVARTAL 1 HOLDING AS,,,,,False,
923600949,QWAMPLIFY NORDICS AS,,irene.tysnes@teamrobin.com,,+46761057281,False,
923640770,Q-BIO AS,,,,,False,
923750339,QAA AS,,,,,False,
923792414,QUICK TRUCKSERVICE EIENDOM AS,,,,,False,
923795006,QVASE AS,,,,,False,
923813306,QUANTUM CAPITAL AS,,,,,False,
923820485,QUICK INVEST AS,,,,,False,
924040491,QMARKÅ FUS BARNEHAGE AS,,,,,False,26.0
924203684,QDH AS,,mds@reitenco.no,,938 17 727,False,
924373458,QUALITY TRUSTED AUDIT AS,,,,,False,
924373466,QUALITY TRUSTED EXPERIENCE AS,,,,,False,
924479981,QUICKSTEP HOLDING AS,,,,,False,
924486821,QUEENIE STEWART HOLDING AS,,,,,False,
924488212,QASWA NORGE AS,,,,,False,
924527080,QM INVEST AS,,,,,False,
924570806,QUICK ISLAND INVEST AS,,,,,False,
924576863,QUALITECH GROUP AS,,,,,False,
924638753,QUIZSHOP.NO AS,,,,,False,
924756292,QUICK TRANSPORT AS,,,,,False,
924771690,QUIZAPP AS,,,,,False,
924783958,QUANTUM SOFTWARE AS,www.quantum360.no,sigurdur.gardarsson@quantum360.no,,40564234,True,
924791004,QRANT AS,,,,,False,
924849622,QUIVEY HOLDING AS,,,,,False,
924924098,QUADRUM BYGG C AS,,,,,False,
924924101,QUADRUM BYGG A AS,,,,,False,
924924128,QUADRUM BYGG D AS,,,,,False,
924949279,QTH AS,,,,,False,
924965908,QUALITY FRISØR AS,,,,,False,
924987049,QLIVING AS,,,,,False,
925030244,QDARIA AS,,,,,False,
