organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810034882,SANDNES ELEKTRISKE AS,,post@sandneselektriske.no,51 68 57 00,,False,8.0
810105372,SØRLANDSPORTEN EIENDOM AS,,,37155025,,False,
810324562,SERVI GROUP AS,www.servi.no,,64 97 97 97,,False,
810412402,STOREBRAND TILLERTORGET AS,www.storebrand.no/eiendom,,71 65 75 00,,False,
810582332,SOM EIENDOM AS,,,,,False,
810584742,SAUDA AUTO AS,,,,,False,
811176702,SAS NORGE AS,,,64 81 60 50,,False,
811546852,SAFEBASE AS,www.safebase.no,post@safebase.no,,,False,32.0
811549312,STORE SKO AS,www.storesko.no,storesk@online.no,,,False,
811570362,SKOT PSYKOMOTORISK FYSIOTERAPI AS,,,,,False,
811572322,SJØKONGEN AS,,bureiser@online.no,,950 24 267,False,
811577812,SKJE AS,,,,,False,
811585572,SLETTEBAKK AS,,,,,False,
811600202,STOREBOTN 17 AS,,,,,False,
811615412,SILVER BYGG & MONTASJE AS,,martin.manicki@gmail.com,,968 79 574,False,14.0
811646482,SP MANAGEMENT AS,,,,,False,
811653942,SNAH HOLDING AS,,,,,False,
811686212,SNERTINGDALSSENTERET AS,,,,,False,
811695432,STOLP AS,,,,,False,
811703982,SVENSKE KONSTRUKSJON AS,,,,,False,
811710962,SYLANE HYTTER AS,,post@soerens.no,,951 36 736,False,
811711802,SCHENK UTLEIE AS,,tor.henrik@lmb.as,,917 17 132,False,
811713902,SOLVILLA AS,,,,99 05 55 55,False,
811727962,STOREBOTN UTLEIE AS,,,,,False,
811729582,STRATACON AS,,stig.brunes@sbnett.no,,488 68 962,False,
811765422,SKINTONIC SVOLVÆR AS,luxsvolvaer.bestille.no,svolvar@skintonic.no,76 07 22 22,968 54 849,False,9.0
811780332,SIVILINGENIØR OLE HAMMARI AS,www.olehammari.no,post@olehammari.no,,911 42 666,False,
811808202,SJETTE I ANDRE AS,,kjerstigunn@hotmail.com,,90752404,False,
811820652,SLIPERIET EIENDOM AS,,h.m@online.no,61 12 28 00,,False,
811827452,SIMEN ØVREBØ KONSULT AS,,,,,False,
811830682,SGM DATA AS,,,,900 19 073,False,
811831662,SVARTISEN-LYD AS,www.svartisen-lyd.no,post@svartisen-lyd.no,,454 83 470,False,
811837172,STRATEGIC PROPERTY AS,,,,,False,
811842672,SR UTVIKLING AS,,,,,False,
811854492,STÅRPUTTEN INVEST AS,,vidar@biomekanikk.no,,414 47 112,False,
811863572,STRANDGATEN 44 AS,,eilen.sirevag@lyse.net,,918 70 246,False,
811873012,SVENSEDAMMEN LEGESENTER AS,,,,,False,5.0
811878472,SMAG TJENESTE AS,,,,,False,
811885282,SÅ EIGEDOM AS,,,,48 15 97 50,False,
811887102,SMB NETTVERK AS,,,,,False,
811896802,STERNUUS AS,,christian.paulsboe@gmail.com,,472 76 363,False,
811900532,STRAND AUTOSERVICE AS,,,,91 38 91 33,False,11.0
811900702,STRONGBOX AS,,mats@kontrafilm.no,41 42 33 28,,False,
811924962,SPECTOR AS,,,,,False,
811932892,SALTENS DAMP EIENDOM AS,,,,,True,
811948772,STORHAMAR ELEKTRO AS,storhamarelektro.no,post.se@eet.as,62 55 55 60,905 52 454,True,23.0
811954632,SUNDBOM INVEST AS,,gislebendiksen@yahoo.no,,482 74 583,False,
811987972,SØRESTRANDA EIENDOM AS,,,,,False,
811988022,SUKKE GARTNERI AS,,kn-bae@online.no,,911 10 935,False,
811992062,STIGEN AS,,,,,False,
811998702,SPIRIT FRISØR AS,,,,,False,5.0
812004352,SAKURA SUSHI TAKE AWAY AS,,,,90607277,False,
812021702,SC EIENDOM AS,,,,,False,
812027972,SALTDALSHYTTA UTVIKLING AS,,seh@saltdalshytta.no,,979 96 660,False,
812029142,SKARHOLM DYKKING OG INGENIØRTJENESTER AS,,,,,False,5.0
812050532,SØNDRE EBERG GATE 4 AS,,arnstein@asorgard.as,,959 06 370,False,
812054902,STORHEIA EIENDOMSMEGLING AS,,,,915 60 775,False,
812067842,SOLUND BYGG AS,,,,,False,
812084542,SINSEN SENTRAL AS,,marcus@martinuzzi.no,,936 75 078,False,
812085182,SLEPENDEN STASJON AS,www.platourealestate.com,tobo@platou.com,23 11 20 00,,False,
812118692,SOMATORGET AS,,,,916 86 170,False,
812124072,STORENGA AS,,storenga.camping@hotmail.com,,970 33 309,False,
812127152,SLÅTTEVIK UTBYGGING AS,,,53 77 54 00,,False,
812127462,SILVERSMITH AS,,erik@kimmestad.no,,928 36 232,False,
812161512,SOMMERROGATEN 13-15 TOMT AS,,,,,True,
812176692,SKOMSØY TRAFIKKSKOLE AS,,,,913 54 428,False,
812180762,SAMSLÅTT AUTO AS,,,,,False,
812181882,SKOGSKRAFT AS,,,,,False,36.0
812186302,STRANDE INVEST AS,,kim.strande@me.com,,976 77 239,False,
812193082,SHM SOLUTIONS AS,www.shmsolutions.no,yngve@shmsolutions.no,,,False,
812195972,STRANDGATEN 50 AS,,,,,True,
812196502,SØR RESTAURERING AS,,tobiassteindal@hotmail.com,,951 59 589,False,
812220012,"SOFIA RENS, SKOREP OG NØKKELFILING AS",,,,,False,14.0
812252062,SIRKEL SELVVASK AS,,,69 36 00 00,,False,
812258362,STRØMLAND AS,,,,,False,
812259822,SHANE MA BUTIKKDRIFT AS,,,22 65 71 00,473 47 390,False,
812262122,SVENSKVEIEN 201 AS,,,,,False,
