organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811445312,TRYGVE M ENGEBY AS,,,22 74 00 28,,False,
811451002,TEATERGATEN 16 AS,,tore.stokke@hotmail.com,,991 15 246,False,
811564222,TORGHALLEN BODØ AS,www.tkeiendom.no,,75 54 01 20,,False,
811569682,TANNLEGE HEGE EMBERLAND AS,,,,,False,
811585092,THETA DEVELOPMENT AS,www.hadocs.com,post@thetadev.no,,994 43 471,False,
811625612,TONES CAFÉDRIFT AS,,,,,False,8.0
811626562,TORNEROSE BIO AS,,berit.aam@biochos.com,,918 66 719,False,
811630292,TOCIRCLE PRODUCTIONS AS,www.tocircle.com,,,,True,
811656682,TRELASTEN ELVERUM AS,,elverum@btkjeden.no,,,False,11.0
811661112,TL SALONGENE AS,,,,,False,
811676632,T.NORDSKAUG AS,,,,,False,
811728152,TRANSPORT SYSTEMER AS,,,,,False,
811733342,THE ONE AS,,,,,False,
811767492,TEA TRANSPORT AS,,,,,False,17.0
811781932,TYSDAL CAMPING AS,,info@lysefjordsenteret.no,,,False,
811792942,T. VEFLEN PROSJEKT AS,,,,,False,
811793272,TO B AS,,turi.birkeland@rainfall.no,,915 69 016,False,
811816752,TITLAND HOLDING AS,,,,,False,
811816922,TRACERTEKNOLOGI HOLDING AS,,sven.hartvig@gmail.com,,995 35 162,False,
811903132,TYSNES NÆRING AS,,,,,False,
811938432,TONAPP AS,,,,,False,
811941662,TOM HILDE AS,,,,,False,
811992372,TOROLF STORSVEENS VEG 16-18 AS,,,62 54 32 00,,True,
811995452,TERTNESÅSEN AS,,,,,False,
811997102,TALI AS,,linn@barrysbootcamp.com,93 69 18 33,,False,
812011502,TORODDS AS,,,,,False,
812014692,TEAM2ME AS,,,,,False,
812021672,THAMSGATENS PARKERINGSHUS AS,www.dekf.no,dekf@drammen.kommune.no,32 04 30 00,,False,
812023772,TORE UTHAUG AS,,,,,False,
812024922,TRYSILFJELL HYTTER AS,,,,,False,
812103792,TANNLEGE TROND RENER-LARSEN AS,,,37 16 25 43,958 82 771,False,
812160192,TEG EIENDOM AS,,,,,False,
