organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
814499022,XPLORA MOBILE AS,,,,,False,
815482492,XAVI CAPITAL MANAGEMENT AS,,nicolas.waerenskjold@me.com,,,False,
816083192,XL MARINE AS,,post@stauperveien.no,,940 57 676,False,
816735432,XVISION ANIMATION STUDIO AS,,,,,False,6.0
816970822,XTEK AS,,,,,False,
817611672,XEVA AS,,,,,False,
818442262,XSTORAGE AS,www.x-storage.no,benjamin@x-storage.no,45 41 84 10,900 22 157,False,
818868022,XLMANN AS,,,,901 66 068,False,
820212142,XBYGG AS,,,,,False,10.0
821816572,XL-BYGG MYRE AS,,,,,True,18.0
822629342,XERON INDUSTRY DEVELOPMENT AS,,,,,False,
822706762,XIN AS,,,,,False,
823957092,XANIA RENTAL AS,,paal@xaniagroup.no,,,False,
825410392,XA UTVIKLING AS,,,,,False,
825512292,XDI AS,,,,,False,
826386312,X-RAIL AS,,,,,False,
826609702,XO PAY AS,,,,,False,
826925752,XYCLE AS,,,,,False,
827433152,XPANDIR AS,,,,,False,
827901342,XELOR INVEST AS,,,,,False,
827984752,XRENT AS,,,,,False,8.0
829132842,XH2O FTJ AS,,,,,False,
829231182,XR PRODUCTION AS,xrproduction.no,toreaskildsen@me.com,,990 34 785,False,
830021132,XELA HOLDING AS,,,,,False,
830076972,X-WOLF AS,,,,,False,
831164522,XERA AS,,,,,False,
831673222,XAI HOLDING AS,,,,,False,
831694572,XINIT AS,,,,,False,
832045012,XCEED AS,,,,,False,9.0
833780492,XEBEC AS,,jannhil@online.no,,922 27 555,False,
834914182,XO BEAUTY & ACADEMY AS,,,,,False,
836035372,XY789BA AS,,,,,False,
836065832,XJ HOLDING AS,,,,,False,
839142692,XENON SHIPPING AS,,,67 58 84 00,,False,
874280372,XYLOMER AS,,per@xylomer.no,,,False,
881932792,XXL SPORT & VILLMARK AS,www.xxl.no,post@xxl.no,24 08 40 00,,False,1930.0
885495362,XLYNGEN AS,,post@xlyngen.no,77 71 35 00,994 15 269,False,21.0
887895082,XOFT AS,,,66 80 65 22,92224525,False,
889239212,XCEPTOR AS,,pgv@wellinnovation.com,,90601397,False,
889821272,X5 INVEST AS,,,,90895616,False,
890256252,XPRO MARINE AS,www.xpro.no,rune@xpro.no,70 08 21 60,95087377,False,
892957282,X-KNOW HOW AS,,,,970 77 057,False,
898087492,XENIAL VENTURES AS,,kf@xenialventures.com,67 53 60 00,907 62 097,False,
911593785,XIA EIENDOM AS,,,,,False,
911636549,X-PARTNER SALTEN AS,www.xpsalten.no,post@xpsalten.no,,911 33 859,False,
911708388,XIMS AS,www.xims.no,,,970 54 855,False,
911745372,XN TRADING AS,,,,,False,
911908514,XLNT MARKETING AS,,,,,False,
911925168,X EIENDOMSUTVIKLING AS,,,,,True,
912156494,X BETONG AS,www.x-betong.no,kafurseth@hotmail.com,,971 13 335,True,7.0
912161773,XO UTVIKLING AS,,ejm@m1m.no,,46 40 13 31,False,
912504735,XSALE AS,www.xsale.no,post@xsale.no,21 93 11 00,906 33 883,False,10.0
