organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
812750712,YCH AS,,,,,False,
812995642,YNGVAR LOHNE HOLDING AS,,,,,False,
813668742,YOU&ME RJUKAN AS,,,,,False,
815187512,YBM HOLDING AS,,,,,False,
815614682,Y-PARK AS,,,,,False,
817380662,YTTERBØ AS,,,,,False,
817830412,YERV AS,,,,,False,
817874762,YUMMY TIME NÆRBØ AS,,,,,False,5.0
818184492,YOON AS,,,,,False,
818946422,YR ARKITEKTER AS,,,,,False,
819336822,YUUGEN DESIGN FABRIKK AS,,,,,False,
819430292,YOURBRAND YOURFUTURE AS,,,,,False,
819460892,YTRE ENEBAKK TANNKLINIKK AS,,,,,False,5.0
819626642,YX GEITHUS AS,,,,,False,19.0
819722382,YTREBYGDSVEGEN EIENDOM AS,,,,,False,
819785872,YE HOLDING AS,,,,,False,
820012542,YAKO RESTAURANTDRIFT AS,,thamer1508@yahoo.com,33 39 50 60,463 46 222,False,
820019792,YMSE INVESTERINGER AS,,,,,False,
820125622,YSTVIKA HOLDING AS,,,,,False,
821503302,YNGSETT HOLDING AS,,,,,False,
822123112,YGGDRASIL LANGUAGE SERVICES AS,,,,,False,
822586112,YALIDIAN AS,,,,,False,
823242832,YM CONSULT AS,www.ymconsult.no,post@ymconsult.no,41 61 88 88,,False,
824061742,YDSTEBO INVEST AS,,,,,False,
825238212,YTIR AS,ytir.no,,,404 02 074,True,
825248102,YUMMY FALAFEL AS,,,,,False,11.0
825832912,YACO AS,,,,,False,
827093122,YDSTEBO HOLDING AS,,,,,False,
828078712,YG INVEST AS,,,,,False,
828127322,YRI HOLDING AS,,,,,False,
828589482,YIAMAN AS,,,,,False,
828714562,YR EIENDOM AS,,,,,False,
828940392,YRI OUTDOOR AS,,,,,False,
829029642,YLVIS MEK. AS,,,,,False,
829059762,YOGA BOHEM AS,,,,,False,
829139812,YPSILON CRM AS,,,,,False,
829181592,YOH AS,,,,,False,
829513722,YTTERLI MASKIN AS,,,,,False,
829543222,YEARBOGEN AS,,,,,False,
829576732,YELLOW RETAIL COCO AS,,,,,False,
829635062,YES MEDIA AS,,info@yesmedia.no,,,False,
830188932,YNMC AS,,,,,False,
830463542,YOKOTEN MOBILITY AS,,,,,True,
830487042,YGGDRASIL CAPITAL AS,,,,,False,
830565922,YESS AS,,,,,False,
830752242,YUNA AS,,,,,False,
830888292,YTTERØY UTVIKLING OG VEKST AS,,,,,False,
831102632,YFIR AS,,,,,False,
831388552,YIPPI FLATÅSEN B5 AS,,,,,False,
831477202,YAQOOT JEWELRY AS,,,,,False,
831713402,YELLOW BRICK ROAD AS,,,,,False,
831920912,YID FYSIO AS,,,,,False,
832138592,YETI MOVE AS,,,,,True,13.0
832329002,YTAA REKRUTTERING AS,,,,,False,
832616982,YIM HOLDING AS,,,,,False,
833226592,YRJAR HOLDING AS,,,,,False,
833251562,YOGASKOLEN AS,,,,,False,
833360752,YDMYK AS,,,,,False,
833572342,YTTERST AS,,,,,False,
