organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811556912,BØRØYA HYTTEFORENING,,,,,False,,False
811561932,BRÅTABERGET HYTTEEIERFORENING,,brataberget@gmail.com,,,False,,False
811573612,BENEDICTINERNE,benedictinerne.kor247.no,eidsvaagkoretbenedictinerne@gmail.com,,480 45 335,False,,False
811577502,BRØNNØY BARNETEATER,,raneinar@online.no,,,False,,False
811586412,BAKKEN VEL,www.facebook.com/groups/113195298701747/?fref=ts,bakkenveistyret@gmail.com,,92055545,False,,False
811609072,BÅRDAR WEST COAST SWING CLUB,,baardarwcs@gmail.com,22 20 90 10,,False,,False
811655732,B.R.A,www.facebook.com/B.R.Abritt,erlend@bra-alta.no,,952 76 413,False,,False
811660582,BREMANGER SAU OG GEIT,,,,909 67 726,False,,False
811679992,BJØRNDALSRUNDENS VENNER,,,,,False,,False
811708682,BRØDENVEIEN AVLØPSLAG,,,,,False,,False
811726532,BRYNE BULLSHOOTERS,www.brynebullshooters.com,rune.nilsen@oglsys.no,,976 65 803,False,,False
811780642,BRUHAMMAREN VELFORENING,,bjorgegeland@gmail.com,,456 89 898,False,,False
811810002,BAJAS,,marius.kveseth@sweco.no,73 83 35 00,995 20 262,False,,False
811829552,BEDEHUSET BETEL,,,57 69 12 23,,False,,False
811959782,BOKN SENTERUNGDOM,www.senterungdommen.no,,,,False,,False
811975842,BARDU MOTORFERDSELFORENING,www.facebook.com/Altevatnhytteutleie,styret.bmf@gmail.com,,974 31 623,False,,False
812171712,BARE TEATER,www.bareteater.no,post@bareteater.no,,,False,,False
812206982,BODØ ARKITEKTGRUPPE,,,,,False,,False
812258672,BARN OG UNGDOM MOT RUS,,,,,False,,False
812381512,BERGENS TIDENDES REDAKSJONSKLUBB,,lars.kvamme@bt.no,05500,920 15 431,False,,False
812430122,BRENDSRUDTOPPEN VEL,,hellberg@getmail.no,66 79 74 31,95919898,False,,False
812537512,BERGENS BAKER- OG KONDITORMESTER LAUG,,,55 95 11 00,98266810,False,,False
812626922,BÆVERDALEN PISTOLKLUBB,,em-fi@online.no,,93013818,False,,False
812645692,BÆREKRAFTIGE LIV PÅ LANDÅS,barekraftigeliv.no,karoline@barekraftigeliv.no,,924 42 434,False,,False
812754912,BLÅTURGRUPPE SUNDE,,,,913 54 789,False,,False
812791222,BEDRIFTSKLUBBEN NILS S HANSEN,,frank@nshmek.no,,,False,,False
812809792,BLÅSKJELLVEIEN VEL,,,,,False,,False
813080532,BRØNNØYSUND SJAKKLUBB,,,75 02 20 91,90026590,False,,False
813096862,BARNE- OG UNGDOMSGRUPPEN BLI SETT,,tlw@hotmail.no,,975 19 187,False,,False
813123932,BETHEL CHRISTIAN CHURCH,,haimang09@gmail.com,63 85 53 82,469 39 859,False,,False
813180502,BJØLSEBUBBEN KULTURFORENING,,bbkulturforening@gmail.com,,,False,,False
813242362,BYGDEFOLK FOR ROVDYR HEDMARK LOKALLAG,bfr-hedmarklokallag.com,bfr.hedmarklokallag@gmail.com,,91642042,False,,False
813245582,BILLEDKUNSTNER ELI ANNE TILLERS FORENING FOR FREMME AV KVINNERS KUNSTNERSKAP,www.eliannetiller.no,brynhildbye@online.no,,480 38 974,False,,False
813301962,BRØNNØYSUND PISTOLKLUBB,idrett.speaker.no/Organisation.asp?id=65298,bpklubb@gmail.com,,95969622,False,,False
813315432,BYGGESYSTEMBOLAGET,,frode@byggesystemer.no,,415 34 842,False,,False
813348632,B360,,joefrukt@hotmail.com,,900 45 195,False,,False
813396122,BUSMOEN VEL,,busmoen.vel@gmail.com,,,False,,False
813409062,BINGSFOSS SPORTSKLUBB,,cheer@bingsfoss-sk.no,,900 33 917,False,5.0,False
813424142,BRYSTKREFTFORENINGEN NORD-ØSTERDAL,,malen@fjellnett.no,,906 37 990,False,,False
813502712,BJØRKHAUGEN VEL,,,,,False,,False
813556812,BERGLAND HYTTEPARK,,,,,False,,False
813583712,BØ OG SAUHERAD HAGELAG,,,,,False,,False
813628252,BRANDBU BRIDGEKLUBB,www.bridgekrets.no/Kretser/NBF-Buskerud/Klubber/Brandbu-BK,john_ivar79@hotmail.com,,976 30 981,False,,False
813657422,BEDRIFTSKLUBBEN SEAS,,kent@seas.no,,,False,,False
813658232,BRENNA VEL OG VEILAG,,idafageras@gmail.com,32 75 37 12,959 78 574,False,,False
813788632,BESTUM FINSPILL,,,,,False,,False
813820722,BANKEBUKTAS VENNER,,maia.nyvold@gmail.com,95 04 61 35,,False,,False
813839512,BØAFLATA VEL,,,,,False,,False
813853272,BRATTÅSLIA VELFORENING,,halvor.nyen@gmail.com,,950 66 979,False,,False
813872102,BERGEN NORDHORDLAND RUTELAG,,,,,False,,False
813909642,BRASTAD VEIFORENING,,,,,False,,False
814001032,BØFJORDEN HISTORIELAG,,,,97755132,False,,False
814007022,BARNAS ØNSKEBRØNN AVD. VESTLANDET,,,,,False,,False
814072282,BRIDGENS VENNER,,,,,False,,False
814092992,BEKSRUDVEIEN VEILAG,,trond.hoiby@gmail.com,,92200507,False,,False
814175782,BUDEIEFORENINGA I ÅS,,budeieforeninga@gmail.com,,986 91 722,False,,False
814296822,BODØ OG OMEGN FRISØR- OG VELVÆREBEDRIFTER,,bodofovb@gmail.com,,958 95 368,False,,False
814308642,BRUMUNDDAL ROTARY KLUBB,brumunddal.rotary.no/?pageid=135,,,,False,,False
814401952,BILPERSONALETS FORENING GODS AVD 05 AV NJF,,giv-rakn@online.no,,997 02 511,False,,False
814470172,BUNNSOLIDMSC,www.bunnsolidmsc.no,krisgyt@stud.ntnu.no,,907 13 789,False,,False
814495892,BRYNE TRIATLONKLUBB,www.brynetriatlon.no,post@brynetriatlon.no,,93048141,False,,False
814497372,BORHAUG KAMERATENE,,nils.paulsrud@alcoa.com,,90128978,False,,False
814576922,BJUGN ROTARYKLUBB,www.bjugnrotary.com,,,,False,,False
814617912,BERGEN DOMKIRKES JENTEKOR,,styretbdj@gmail.com,,,False,,False
815039262,BSA BIL,,,75 14 68 50,95254441,False,,False
815226992,BØRSET UTMARK,,,,48185889,False,,False
815303512,BYÅSEN SALONGORKESTER,,ingvil.snofugl@gmail.com,,95 77 01 33,False,,False
815369742,BRUNSTAD UNGDOMSKLUBB MOLDE,,,,,False,,False
815417372,BRØNNØYA TENNISKLUBB,,mrudolp@online.no,,976 23 548,False,,False
815502892,BJØRNAFJORDEN ARBEIDARPARTI,,henriette.lien@live.no,,920 93 750,False,,False
815506642,BREKKEN REVYGRUPPE,,brekkenrevygruppe@gmail.com,,971 02 040,False,,False
815551532,BYNESET LEINSTRAND BYGDEKVINNELAG,,gunhild@onsoyen.no,,924 11 490,False,,False
815613392,BERGEN FELLESFORENING AV DET NORSKE MISJONSSELSKAP,,,,,False,,False
815728572,BOLSTAD CAPTURE,,,35 90 10 10,,False,,False
815802152,BLIMESTER.COM,www.blimester.com,kontakt@blimester.com,22 11 02 05,,False,6.0,True
815871812,BORSTRONDI SKYTTARLAG,borstrondi.skytterlag.no/,borstrondi@skytterlag.no,,992 07 175,False,,False
815891872,BYGSTAD HELSELAG,,elsemarieborch@yahoo.no,,936 89 966,False,,False
815926412,BRUNNANE VEL,,,,,False,,False
815958802,BUSSESUNDET VELFORENING,,,,,False,,False
816113482,BLUETOUR TRAVELS,,,,,False,,False
816134072,BEDRIFTSKLUBBEN ULDAL,,,,,False,,False
816158052,BEITSTAD BONDETRIM,,,,,False,,False
816164222,BYDELSMØDRE NORGE,www.bydelsmor.no,info@bydelsmor.no,,975 63 316,False,,False
816457882,BLIKSÅSEN VELFORENING,www.facebook.com,bliksasenvel@hotmail.com,,41566012,False,,False
816484502,BEDRIFTSKLUBBEN BRIMER,,,,,False,,False
816530652,BUSKERUD SJAKKRETS UNGDOM,,,,,False,,False
816643872,BÅLERUD SANITETSFORENING,,birtemjones@gmail.com,,99091853,False,,False
816795702,BK - 1933 HAMMERFEST,,,,,False,,False
816863562,BEDRIFTSKLUBBEN OBOS BLOCK WATNE ENTREPRENØR.,,,,91801065,False,,False
817019722,BERGANÅSEN BEBOERFORENING,,berganasenbeboerforening@gmail.com,,975 59 646,False,,False
817067832,BANKGATA SOSIALKASSE,,,,,False,,False
817095712,BISTAND NARVA,,,,,False,,False
817239412,BERGEN SKATEBOARDKLUBB,,petterhylland1@gmail.com,,47619972,False,6.0,False
817330452,BERGEN DYNAMISKE SKYTTERE,www.skyttere.no,post@skyttere.no,,,False,,False
817597742,BJERGSTED BLÅSEENSEMBLE,,,,,False,,False
817626432,BJØNNBEKKMORA HYTTEFORENING,,thortonning@hotmail.com,,943 56 584,False,,False
817644732,BINGEN SKYTTERLAG,,,,,False,,False
817685692,BÅRDDALSLIA VELFORENING,,,,934 51 935,False,,False
817707122,BERGEN PENSJONISTORKESTER,,,,,False,,False
817797202,BÆRUMS VERK VEL,,,,,False,,False
817823742,BERGENJENTER00,,,,,False,,False
817985572,BLUE ELITE ESPORTS,www.blueeliteesports.com,contact@blueeliteesports.com,,,False,,False
818028342,BREIHOLTEN VELFORENING,,breiholten.velforening@gmail.com,,,False,,False
818030282,BLÅNISSAN I TESSUNGDALEN,,,,,False,,False
818060882,BRASØY BÅTFORENING,,,,,False,,False
818091052,BLUNKESLETT GARASJELAG,,tnsorlie@iclaud.com,,416 68 010,False,,False
818120532,BOKFINKVEIEN VEL,,,,46 62 28 34,False,,False
818170912,BJERKENES HYTTEKLUBB,,lito@sarpsborg.com,,,False,,False
818299702,BEITSTAD PISTOLKLUBB,,,,,False,,False
818348762,BERGENBYLIV,,,,,False,,False
818424892,BRENNLIA VEG OG VEDLIKEHOLD,,,,,False,,False
818448392,BAKKETUNS VENNER,,torl-bek@online.no,,995 52 067,False,,False
818453612,BJERKÅS VEL,,,,,False,,False
818499922,BONAFIDE BRIDGE,,,,,False,,False
818524552,BILDEKLUBBEN SANDEFJORDS HISTORIE,,,,,False,,False
818608802,BØRSGRUPPEN UIA,,borsgruppen.uia@gmail.com,,,False,,False
818666802,BEAT2FIRE,,,,,False,,False
818774532,BERGET BRIMNES HISTORIELAG,,,,,False,,False
818838492,BUERÅSEN VANN OG AVLØP,,,,,False,,False
818911602,BIL TTPRO,,,,,False,,False
818920652,BETANIA,,,,,False,,False
818956452,BLIKSEKILEN BÅTFORENING,,leder@bliksekilenbaatforening.no,,406 33 493,False,,False
818966822,BRUMUNDDAL SKØYTER,www.facebook.com/BrumunddalSkoyter/?locale=nb_NO,thorsrud.thomas@gmail.com,62343235,478 51 337,False,,False
818970072,BJØRNDALEN VEL,,post@gatterman.no,,911 53 863,False,,False
818992912,BLYLAGET BÅTFORENING,,mattis@pereus.no,,959 62 190,False,,False
819056412,BRØNNØY VANNSCOOTERKLUBB,,bronnoy.vannscooterklubb@gmail.com,,+4747416968,False,,False
819063192,BEKKESTIEN VEGFORENING,,bekkestien.vegforening@gmail.com,,918 79 800,False,,False
819092842,BARKÅKER MENIGHETSHUS,,,,,False,,False
819093202,BJØRKETUNET INTERESSEFELLESSKAP,,,,,False,,False
819167842,BREIVATN HYTTEFORENING,,ghynn@online.no,,,False,,False
819299412,BERGEN CHINESE CHRISTIAN FELLOWSHIP,,clie72@hotmail.com,56 35 31 72,917 63 816,False,,False
819445052,BREVIKSTRAND GRENDEHUS,,elinthoner@gmail.com,,915 11 483,False,,False
819464332,BUSINESS LINK NORWAY,www.businesslinknorway.com,,,,False,,False
819630542,BYRKNES GJESTEBRYGGER,,,,938 83 906,False,,False
819635692,BERGSENG VELFORENING,,,,,False,,False
819649502,BÆRLAND FRITIDSKLUBB,,,,,False,,False
819738572,BENTSTELLET VANNVERK,,,,90045689,False,,False
819852642,BVB NORWAY - BORUSSENTROLLE,www.bvbnorge.no,bvbfanclubnorge@gmail.com,,,False,,False
819893942,BEDRIFTSKLUBBEN EGELAND RØR MANDAL,,daniel.rugland@egeland.no,,988 86 765,False,,False
819897492,BUSINESS AND HUMAN RIGHTS COOPERS,,,,,False,,False
819903492,BESØKSSENTER VÅTMARK JÆREN,www.bvj.no,,51 52 88 11,,False,,False
819908362,BIODIV 2010,,,,,False,,False
819973202,BLESSING,,,,,False,,False
819975922,BODØ PRIDE,,,,,False,,False
819984492,BEITSTAD UNGDOMSKLUBB,,,,,False,,False
819996652,BEDEHUSET LJOSHEIM SANDNES,,mariteide1@hotmail.com,,48064140,False,,False
820013662,BØVÆR SMÅBÅTHAMN,,,,,False,,False
820175832,BERGENSTUDENTENES KRYPTOKLUBB,,,,,False,,False
820256212,BYGGMESTERFORBUNDET SALTEN,www.byggmesterforbundet.no,bvs@byggmesterforbundet.no,,934 93 946,False,,False
820261852,BERGESVIK VASSVERK,,erling.tryggestad@berryalloc.com,,414 10 797,False,,False
