organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811655902,CAPRI CLUB NORGE,www.capriclubnorge.no,,,958 16 942,False,,False
811703672,CHARLOTTENLUND VIDEREGÅENDE SKOLES SENIORLAG,,hildegunn.plassen@gmail.com,,997 13 741,False,,False
811798452,COHKKADIEVA TRIMKLUBB,,,,99 02 53 30,False,,False
812273442,CARITAS BERGEN,caritasbergen.no,info@caritasbergen.no,90 83 97 04,919 20 202,False,,False
813017032,CELLOLYD,www.cellolyd.com,lisa@cellolyd.com,,959 28 954,False,,False
813372142,CONGOLESE YOUTH EMPOWERMENT (CYE),,papyzef@hotmail.com,,977 76 853,False,,False
813395932,CANTARA,www.cantara.no,bard.lind@gmail.com,,932 34 963,False,,False
814206432,CONCERNED ARTISTS NORWAY,www.concernedartists.wordpress.com,youcancontactcan@gmail.com,,980 77 906,False,,False
815082702,CAVALIERKLUBBEN GRUPPE HORDALAND,,,,,False,,False
815131002,CONCERNED STUDENTS BERGEN,concernedstudents.no/concerned-students-bergen/,bergen@concernedstudents.no,,,False,,False
815350472,CHAÎNE DES RÔTISSEURS BAILLIAGE DE BERGEN,www.chaine.no,bas@bbb.no,,410 28 000,False,,False
815436342,COWI HAMAR BIL,www.cowi.no,jouu@cowi.no,02694,450 70 250,False,,False
815963822,CHRISTIANIA JÆGERKLUB,,dag.klaveness@dnb.no,,926 48 045,False,,False
815984722,CANONICUS UIA,,canonicus.uia@gmail.com,,,False,,False
816183162,CBMC NORGE,,,,,False,,False
816332532,C'EST LA VIE,,,,,False,,False
816607612,CAPSLOCK LAN,,mad.sy@hotmail.com,,974 20 051,False,,False
816688922,CON SPIRITO,,,,,False,,False
816746132,CORC MOTORSPORT KLUBB NORGE,www.corc-motorsport.no,,,404 68 678,False,,False
816884152,CONNECT NATIONS,,connectnations@gmail.com,,458 17 167,False,,False
816988942,CRAZING-FLORØ TEN SING,,jorunn.bakke.nydal@sfj.no,,913 44 734,False,,False
817144632,CHADM,,,,,False,,False
817250122,CLASSIC BIKERS SKJERPE,,,,,False,,False
817834272,CIVITAN CLUB HAUGESUND,,karifpeder59@gmail.com,,404 93 732,False,,False
818718772,CHRIST THE HOPE OF GLORY CHURCH,,,,,False,,False
819623902,CLUB PAN-EUROPEAN NORWAY,,,,,False,,False
820810252,CRAZY QUEENS MC SØRLANDET,,,,,False,,False
821622212,C-BASEN 2005 HAUGJORDET UNGDOMSSKOLE,,,,,False,,False
821633982,COMNICON,,,,,False,,False
821868882,CLUB FRANKIA NORWAY,,clubfrankianorway@gmail.com,,900 53 703,False,,False
822067522,CAVERION ARENDAL BIL,,,,,False,,False
823650752,COME ALIVE,,,,,False,,False
824480672,COLA LOUNGE,,,,,False,,False
825154132,CHUNNAKAM UTHAVUM KARANGAL NORWAY,,,,,False,,False
827546852,CAPTURE,,dag.bogstrand@gmail.com,,996 13 560,False,,False
827971162,C.DAHL MOTORSPORT,,,,,False,,False
828858912,CIVITAN VICTORIA,,,,,False,,False
829035022,CONCORDIAFORENINGEN,,,,,False,,False
829683962,CIVITAN HADELAND,civitan.no,bente.ruud@civitan.no,93 41 68 94,917 71 672,False,,False
830143572,CDH NORGE,,,,,False,,False
830479902,CATCHY CREW ORG.,,,,,False,,False
830486402,CALLING FROM YAHUAH,,jrslangenberg@hotmail.com,,45323248,False,,False
830829822,CARITAS SANDEFJORD,,,,,False,,False
831091142,"CUSH ORGANISATION FOR DEVELOPMENT ADVOCACY(CODA), NORGE",,simonrm@ymail.com,,922 71 443,False,,False
831192232,CORPRT,,,,,False,,False
831481072,CAMERA LUCIDA,,,,,False,,False
831502282,CLUSTER SAGENE,,,,,False,,False
831686642,CHIRAGH MEDIA FRIVILLIG ORGANISASJON,,nazifajalali74@gmail.com,,41323031,False,,False
831896922,CHATEU NIDAROS 99,,,,,False,,False
832300632,C-LAGET,,h.s.valdermo@gmail.com,,469 46 759,False,,False
832356492,CITROEN PIECES LHM,,,,,False,,False
833056182,CLASSIC CAR REGISTER AND RESCUE OF SCANDINAVIA,,,,,False,,False
833549952,CHRISTMAS DANCE NORWAY,,,,,False,,False
833924222,CALVARY WIDE FELLOWSHIP NORWAY,,,,,False,,False
834652722,CHABAD LUBAVITCH NORGE,,,,,False,,False
834866722,CFE ARRANGEMENTSKLUBB,,,,,False,,False
835149382,CISTA PRIRODA REN NATUR,,,,,False,,False
845273952,CHARLOTTENLUND SANITETSFORENING,,,73 91 93 31,,False,,False
881312662,CIRCLE MUSIC,,,67 53 91 70,,False,,False
881636972,CALM CONSULTING,,martin.paskino@gmail.com,,,False,,False
883617592,CIVITAN CLUB BAMBLE,,kari.kasland@sf-nett.no,35 96 11 24,91112060,False,,False
884364302,CHRISTIANSSAND STORBAND,www.facebook.com/chrstorband/,postcsb@gmail.com,,982 60 823,False,,False
884494672,COLLEGIUM,,,64 86 99 86,,False,,False
885244432,CHAPTER SOUTH NORWAY,,,,,False,,False
885455182,CAMERON SPORT OG SOSIAL KLUBB,,,51 41 50 00,,False,,False
886515952,CHARITY CHAPTER,,simon.mesfin@playernet.no,63 84 32 96,93821793,False,,False
886524072,CLASSIC RACING CLUB,www.crc.no,rolfholmlund@yahoo.no,56 35 80 05,95068422,False,,False
887769982,CREDO BIBELSKOLE,credobibelskole.no,post@credobibelskole.no,55 98 78 00,467 79 206,False,7.0,False
888844902,CLARINOR MUSIC,www.sandnes-klarinettkor.no,post@sandnes-klarinettkor.no,51 97 41 00,414 43 043,False,,False
890316522,CANTARE,www.cantare.no,dordi.fiskum@gmail.com,,952 81 562,False,,False
890926312,CK VALDRES,,post@ckvaldres.no,,913 89 189,False,,False
891376022,CHEM-CON AS VELFORENING,,hakon@chem-con.no,51 63 59 20,450 07 604,False,,False
892104662,CAVERION HARSTAD MONTØRKLUBB,,,77 05 76 50,,False,,False
892276722,CONCORDIA GILDET I DRAMMEN,,roar.haug@gmail.com,,982 14 823,False,,False
892288402,CHELSEA SUPPORTERS NORWAY,www.chelsea.no,markus@chelsea.no,,,False,,False
892497362,CORPTRUST NR 7,www.nameshine.com,office@nameshine.com,45 29 00 20,452 90 020,False,,False
892518602,CORPTRUST NR 8,www.nameshine.com,office@nameshine.com,,452 90 020,False,,False
892527652,CORPTRUST NR 9,www.nameshine.com,office@nameshine.com,,452 90 020,False,,False
893100792,CLUB HRG NORWAY,,club-hrg.no@hrgworldwide.com,23 35 36 00,,False,,False
893120432,CHRISTIANIA BLÅSEENSEMBLE,,christianiablaseensemble@gmail.com,,412 81 024,False,,False
893185232,CAMPINGFOLKET,,gmkaino@hotmail.com,,988 75 103,False,,False
893627472,CAQALAIN RELIGIUS & CULTURAL CENTER,,j_avid_@hotmail.com,63 84 11 49,480 50 432,False,,False
893847642,CONCORDE,,,,97785029,False,,False
894663782,"CITUS, ALTIUS, FORTIUS",,idrett@hotmail.com,,98819058,False,,False
895021822,CERVIX VOCALES,,,,,False,,False
895140112,CHRISTIANIA FREESTYLEKLUBB,,,66 85 00 10,415 55 557,False,,False
895610992,COACHING ALUMNI,,r-stenkl@online.no,,905 30 076,False,,False
896376292,CHIME,chime.no,,,92039618,False,,False
896948792,CISV ØSTFOLD,www.cisv.no,ostfold@no.cisv.org,,,False,,False
897024152,CAMPUS STUDENTSAMFUNN,,styret@tappetarnet.no,,,False,,False
897128292,"COOP ALLIANSEN, DEN NORSKE AVDELING",,,22 89 95 34,90175437,False,,False
897935872,CICIGNON BYDELSFORENING,,,,908 43 538,False,,False
898284212,COMET V.S.O.P,,,69 18 02 63,97640119,False,,False
898285472,CINDIS HOUSE NORWAY,,cindis.house@gmail.com,,48059699,False,,False
898412962,CHRISTIANIA SKYDESELSKAB,,pererikandersson51@gmail.com,,,False,,False
899033582,CERAGON BEDRIFTIDRETTSLAG,,yed@ceragon.com,,97661406,False,,False
899194292,CREATIVEMODE,,thomas.creativemode@gmail.com,,909 73 904,False,,False
899203232,CENTER FOR DEAF CULTURE DEVELOPMENT (CDCD),,cdcdbd95@yahoo.com,,47633606,False,,False
899295692,CDN - CASAS DA NORUEGA,www.futuroriodejaneiro.no,post@futuroriodejaneiro.no,,,False,,False
911586819,CIRKA CIRKUS,cirkacirkus.no,cirkacirkus.baerum@gmail.com,,970 90 199,False,,False
911611759,CATERHAM CLUB NORWAY,www.caterhamclub.no,,,90963907,False,,False
911630435,CLUB E31 NORGE,www.8er.org,tnordhus@slb.com,95 15 61 25,,False,,False
911642042,CLAWS,,tony@thelastkick.com,,934 88 238,False,,False
911663236,CONQUEST MC DRAMMEN,,conquestmcdrafn@gmail.com,,,False,,False
911680580,CREO MØRE OG ROMSDAL,,mfomr@musikerorg.no,94 52 53 26,996 99 387,False,,False
911722208,"CLAP HANDS, GAMBIA",,kvestbo@online.no,77 65 77 18,92286760,False,,False
911723263,CONVIVIUM SLOW FOOD HARDANGER,,slowfoodhardanger@gmail.com,,958 25 164,False,,False
911730812,CK FÆRDER,,,,920 93 771,False,,False
911742357,CHILDRIGHTNOW INTERNATIONAL,,,,971 43 589,False,,False
911802139,COASTLINE,,ovindberg@hotmail.com,,97773067,False,,False
911810018,CUSTOM GARAGE STAVANGER,,,,,False,,False
911818434,CHRISTIAN ASSOCIATION FOR REGIONAL DEVELOPMENT - EUROPE,www.cardeurope.org,edwina@cardeurope.org,,91376289,False,,False
911825236,COUNCIL FOR NUTRITIONAL AND ENVIRONMENTAL MEDICINE,www.conem.org,info@conem.org,,,False,,False
911884062,COMPANY MC,,,,,False,,False
911920816,CUBAHJELPEN,,,,93 28 16 25,False,,False
911947382,CITICLUB,,,,,False,,False
911986019,CONTRACTING KUNDEFORUM,www.brukcon.no,janne@hauge-elektro.no,,905 46 713,False,,False
912052184,CYKLEKLUBEN FOR FEIT TIL Å FLY,,,,,False,,False
912054446,COLLEGIUM ANIMALIS,,collegium_animalis@hotmail.com,,417 51 132,False,,False
912121240,CHRISTIANIA CYKLEFORENING,,,,,False,,False
912196062,CHILDRENS CARE MISSION,,,,,False,,False
912202984,C3 CHURCH FREDRIKSTAD,www.c3fredrikstad.no,ruben@c3fredrikstad.no,,411 03 452,False,,False
912203085,COWI BIL TROMSØ,,eisd@cowi.com,,414 09 037,False,,False
912218171,CICIGNON SALONGORKESTER,www.cso.no,kjell.jorgen@prosessord.no,,45242553,False,,False
912289168,CHIN CHRISTIAN ASSOCIATION OF EUROPE (CCAE),,hceumang@yahoo.com,51 48 62 73,95961473,False,,False
912298159,CHIN COMMUNITY IN SANDNES (CCS),,cinzahmorris@gmail.com,45 48 60 16,451 22 898,False,,False
912392937,CONCERNED STUDENTS NORWAY,,,,468 60 877,False,,False
912424324,CEREBRAL PARESE-FORENINGEN TROMS FYLKESAVDELING,www.cp.no,thompett7@yahoo.no,,922 01 006,False,,False
912435601,CANDIDATA,site.uit.no/candidata/,candidata@cs.uit.no,,,False,,False
912496732,CLEAR WATER AFRICA,,,,,False,,True
912503356,CHORUS-80,,,,,False,,False
912596397,CAMEROON CULTURAL UNION BERGEN,,camcubbergen@yahoo.com,,995 63 319,False,,False
912601374,CHERRIES PROGRAM,www.cherriesprogram.org,cherriesprogram@gmail.com,,,False,,False
912622959,"CITIUS, ALTIUS, FORTIUS!",,cafidrett@gmail.com,,,False,,False
912631559,CHRIST EMBASSY CHURCH,,christembassy_norge@yahoo.com,,004746272727,False,,False
912642038,CARTHAGO CLUB NORWAY,,,47 65 46 90,,False,,False
912825205,"COOP VETERANKLUBB I BUSKERUD, VESTFOLD OG TELEMARK",,bjorge.elisabeth@gmail.com,33 04 48 12,975 29 290,False,,False
912837874,CHILDREN EDUCATION SUPPORT PROGRAM (CESP) - NORWAY,,mystese@gmail.com,,90642085,False,,False
912880850,CLUB RENAULT NORVÈGE,www.renaultklubben.no,renault@homemlvik.no,,472 45 173,False,,False
913001699,CLUE HJELPEFOND,,bard@muztang.no,,926 33 544,False,,False
913054296,CLEAN OCEAN,,aage@wee.no,,98 21 81 55,False,,False
913061810,CUSTOM COWBOYS,www.customcowboys.no,,,930 07 569,False,,False
913108701,CISV NORDHORDLAND,,rubendejong00@utlook.com,,919 95 457,False,,False
913145305,CHRISTIAN FELLOWSHIP CHURCH,,serawit75@yahoo.ca,,967 24 004,False,,False
913210298,CHARLOTTENLUND TRIMGRUPPE FOR PENSJONISTER,,,,,False,,False
913227123,CONCORDIA OSLO,,zavatec20@yahoo.com,,917 50 106,False,,False
913258835,CARING HOMES VILLAGE,,ragnhild@caringhomes.no,,950 46 869,False,,False
913366239,"CLASSIC MC, RINGERIKE - HADELAND",,,,,False,,False
913377788,CARCINOR MIDT-NORGE,,,,,False,,False
913443071,CANDYS INNEBANDY,,,,,False,,False
913503503,CARITAS ST.LAURENTIUS,caritas.no/drammen/,cardrammen@gmail.com,95 83 75 97,482 18 048,False,,False
913531132,COMMANDERIE DE BORDEAUX Á OSLO,,,,,False,,False
913709543,CHEERFUL SUPPORT GROUP,,mathewinoslo@gmail.com,,45524362,False,,False
913820924,CREATIVE SOCIETY,,alex-kat@list.ru,,998 61 848,False,,False
913846699,CEREBRAL PARESE-FORENINGEN INNLANDET,cp.no,leder.innlandet@cp.no,,994 02 033,False,,False
914096308,CANTUS CORDI,www.cantuscordi.com,,,,False,,False
914099870,COWI BEDRIFTSLAG HAUGESUND,cowi.no,jkve@cowi.com,,992 59 607,False,,False
914170761,CURATUS - LINJEFORENING FOR SYKEPLEIERSTUDENTER VED UIA,www.stastudent.no/studentaktiviteter/curatus/,curatus.uia@hotmail.com,,,False,,False
914171687,CACHETUR.NO,www.cachetur.no,,,,False,,False
914188237,CGG NORWAY SOCIAL,,,24 15 86 00,,False,,False
914206537,CONCERNED SCIENTISTS NORWAY,cs-n.org,b.k.sjafjell@jus.uio.no,22 85 93 81,,False,,False
914247012,CEGAL BEDRIFTSIDRETTSLAG,,,,,False,,False
914276586,CAFE VESTHEIM,,,,95 71 64 68,False,,False
914354935,CAMEL CLUB NORWAY,,,,,False,,False
914372526,CAMP773 FORENESET,camp773.no,kontakt@camp773.no,,950 31 101,False,,False
914410770,CIRKA LOKA,,cirkaloka.oslo@gmail.com,,924 38 463,False,,False
914618614,CENTER FOR CULTURAL DIPLOMACY AND DEVELOPMENT,,maryam.imani@gmail.com,,,False,,False
914744695,CARPE FUTURUM,,jon@carpefuturum.org,,971 24 442,False,,False
914838649,CLOUD SECURITY ALLIANCE NORWAY CHAPTER,www.cloudsecurityalliance.no,info@cloudsecurityalliance.no,,,False,,False
914872103,CHIN STUDENT UNION IN NORWAY,www.facebook.com/CSUNORWAY,csunorge@gmail.com,,942 45 233,False,,False
914881439,CAFETEATRET FREDRIKSTAD,,tru-kors@online.no,,917 77 590,False,,False
914885590,CHRISC AGDER,,kamilla.aspelund@lyse.net,,941 76 182,False,,False
914900689,COAST,,coastband2015@gmail.com,,92634606,False,,False
914959217,COURSE OF FATE,,,,936 46 565,False,,False
914974615,CHILD CARE THAILAND GEILO,www.ccthai.org,post@ccthai.org,,95 21 12 68,False,,False
915009026,CLUB VIN VIL,,,,,False,,False
915015506,COMPANIET,,,,46 95 80 21,False,,False
915023053,CHEETAH RACING,,,,,False,,False
915023657,COMPASIO NORGE,,,,,False,,False
915026575,CAVERION ÅLESUND VELFERDSKLUBB,,,,,False,,False
915064612,CREDO BRASS,,tstoylen@broadpark.no,,92606332,False,,False
915087663,CAVERION VELFERD MO I RANA,,monica.langseth@caverion.no,75 12 96 00,482 22 046,False,,False
915101828,CHRISTIAN FILM CENTER,,eikfrank@hotmail.com,,934 91 010,False,,False
915109829,CITIZENS CRIME WATCH FEDERATION PHILIPPINES/NORWAY,,oddivarsandvik@rocketmail.com,69 70 66 95,93859248,False,,False
915121462,CHIN COMMUNITY IN ASKER,,postcca400@gmail.com,,99309369,False,,False
915131093,CELSA ARMERINGSSTÅL BIL,celsa.idrettenonline.no,kristingrue.asheim@celsanordic.com,,90064614,False,,False
915193080,CHRISC TRONDHEIM,,chrisctrondheim@gmail.com,,478 48 734,False,,False
915194915,COCHEPLASSEN VELFORENING,,cocheplassen.vel@gmail.com,35 96 21 67,980 71 855,False,,False
915279821,CAPOEIRA CORDAO DE OURO,www.capoeiraklubb.no,contramestreturbina@hotmail.com,,463 63 482,False,,False
915305229,CAMBODIA STREET HELP,,cambodiastreethelp@gmail.com,,984 54 167,False,,False
915328881,CELLARCUBE,www.cellarcube.no,post@johannazwaig.com,,936 12 562,False,,False
915336140,CHILDREN OF THE UNIVERSE,,childrenoftheuniversenorway@gmail.com,,948 66 131,False,,False
915445497,COVERMAN,,,,,False,,False
915446299,CREO-KLUBBEN I STAVANGER SYMFONIORKESTER,,orkesterkomiteen@sso.no,,,False,,False
915460704,COMMUNITY HOPE NORGE,,eigil.samset@gmail.com,,92831484,False,,False
915483984,CHRISTIANIA ATLETKLUBB,www.christianiaak.no,post@christianiaak.no,,92295441,False,,False
915557112,CONCORDIA GILDE DRUIDELOSJENE FGDO ELVERUM,,morten@tuca.no,,913 23 986,False,,False
915582168,CBIL RETRO,,britthildehattrem@hotmail.com,38181307,47041168,False,,False
915625770,CHRIST PALACE CHURCH INTERNATIONAL.,,gaiyeki@yahoo.com,22 71 77 77,959 93 327,False,,False
915672531,CHARITYHOST,CharityHost.no,post@charityhost.no,,401 20 730,False,,False
915674119,CONTEMPORARY ART STAVANGER,www.contemporaryartstavanger.no,,,99710135,False,,False
915728022,CITRINTUNET VELFORENING,,citrintunet.vel@gmail.com,,,False,,False
915735983,CHRIST BELIEVERS' INTERNATIONAL MINISTRY,www.cbimenglishservice.com/,cbim.bergenchurch@gmail.com,55 16 95 08,977 83 543,False,,False
915753574,COOP ORKLA MØRE BUTIKKLEDERKLUBB,,anne.marit.svensli@prix.coop.no,91 18 07 42,,False,,False
915788165,COLOR LINES SPORTSKLUBB,,clsportsklubbkrs@colorline.no,,,False,,False
915793711,CONCORD STAVANGER,,,,,False,,False
