organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811624632,DE ELIGERTE MENN,,ftunge@gmail.com,,41 17 17 00,False,,False
811836842,DEAD BEAT PRODUCTIONS,www.facebook.com/pages/The-Dead-Beat/173317352002,deadbeatpsychobilly@gmail.com,,938 00 016,False,,False
811881112,DØLADANSEN,,marfotgri@gmail.com,,909 77 055,False,,False
811891932,DIRTDRAG NORWAY,,,,99511575,False,,False
811959952,DIMTSACHIN YISEMA NORGE/SAGALEEN TEENYA HAA DHAGAYAMU-NORGE,,mosiraj2008@gmail.com,,967 12 012,False,,False
811979392,DYRTJØNN HYTTEEIERFORENING,,dyrtjonn@gmail.com,,907 30 950,False,,False
812020072,DYSLEKSI LISTER,dysleksinorge.no,lister@dysleksinorge.no,,957 07 475,False,,False
812069942,DRAMMEN INTERNATIONAL GOSPEL CHOIR,,helene_borge123@hotmail.com,,,False,,False
812204572,DALSBOTTENLIA VELFORENING,,oleroer@hotmail.no,,986 16 662,False,,False
812226622,DET NORSKE BLÅSEENSEMBLES VENNER,,rino.andreassen@kghcustoms.com,69 32 88 30,92402266,False,,False
812480812,DANEBU BEDRIFTSHYTTER,,nom@nom.no,67 17 84 00,,False,,False
812542842,DJUPSUND VEL,,yvonne@revisorkollegiet.no,,470 27 058,False,,False
812713922,DEANU INSTITUHTTA ORG,www.deathu.net,aage@lagadus.org,,99794122,False,,False
813119722,DEN DANSKE FORENING MOSS,,karljchri@gmail.com,,9342778,False,,False
813180782,DRIFTSFORENINGEN STAVEDALEN BYGDEHUS,,,,,False,,False
813300192,DRAGVOLLIGAEN,,,,,False,,False
813346052,DEN ORTHODOKSE TEWAHEDO MENIGHET I LEVANGER,,menelse@yahoo.com,,467 19 675,False,,False
813803992,DYSLEKSI AUST-AGDER,www.dysleksinorge.no/no/lokallag/aust-agder,aust-agder@dysleksinorge.no,,951 81 610,False,,False
814072932,DVERGSNES FELT B VELFORENING,,dvergsnesvel@gmail.com,,416 98 745,False,,False
814144852,DRAMMEN OG OMEGN BUSSHISTORISKE FORENING,,bent.guttormsen@gmail.com,,917 80 392,False,,False
814484122,DRONNING TYRAS BÅTFORENING,,harald@dronningtyra.no,,958 90 799,False,,False
814586642,DIGIAID,www.digiaid.org,post@digiaid.org,,,False,,False
815116402,DANTE ALIGHIERI COMITATO DI OSLO,danteoslo.blogspot.no,segreteria.danteoslo@gmail.com,,900 24 963,False,,False
815163222,DES-KLUBBEN ODALEN,,finn.martinsen@assesia.no,,916 40 140,False,,False
815201892,DYKTIG 4H,,,,,False,,False
815219562,DEN8SPILLER,www.den8spiller.no,kis@den8spiller.no,,90835960,False,,False
815236912,DANVIK SKOLE FAU,,herborgmariaborve@hotmail.com,,911 88 071,False,,False
815302702,DNB-KLUBBEN BERGEN,,,,902 18 055,False,,False
815522052,DELTIC,,,,,False,,False
815674502,DELTA HAV,,rmj@imr.no,,472 30 755,False,,False
815899822,DYRENDAHL OG LANGSETER GRENDALAG,,,,,False,,False
815935322,DAWAT-E-ISLAMI NORWAY,,aliashraf.078600@gmail.com,,959 36 778,False,,False
816369622,DET NORSKE GURDJIEFF SAMFUNNET,,ulrike@tonne.no,,920 30 388,False,,False
816494532,DALSMARKEN,www.dalsmarken.no/,nett@dalsmarken.no,,,False,,True
816498082,DRAMA- OG TEATERPEDAGOGENE NORD-NORGE,dramaogteater.no,dtpnordnorge@gmail.com,,,False,,False
816594162,DALHEIA VEIFORENING,,,,,False,,False
816787122,DAGALI BYGDEKVINNELAG,,,,,False,,False
816830362,DUST OF DAYLIGHT LIVE,www.musikkbloggen.no,live@musikkbloggen.no,,,False,,False
816959292,DET ROMSKE RÅDET,www.romskrad.com,kontakt@romskrad.com,,483 48 203,False,,False
816968372,DET GODE SELSKAP AV MUSARI,,geirovj@online.no,,,False,,False
817033792,DRØBAK SKOLE FAU,,,,,False,,False
817037372,DAMEKORET MJØSKLANG,,kari.nettli@gmail.com,,408 25 415,False,,False
817114822,DOVREGATA OG GLÜCKSTADGATA BYHAGELAG,www.facebook.com/Gl%C3%BCckstad-Gatetun-1628047360817493/,,,97 71 08 34,False,,False
817474772,DINGJA VEL,,,,,False,,False
817582192,DIREKTEDEMOKRATISK FOLKEPARTI,,,,,False,,False
817860222,DEBUG,,,,,False,,False
817887112,DEI SCENELEUGE,,,,,False,,False
817999182,DET LILLE EKSTRA,,,,,False,,False
818070292,DRAMMENSVEIEN 130,,post@drammensveien130.no,,,False,,False
818085052,DRAMMEN MOSKE KVINNEFORENING,,,,,False,,False
818544022,DEN ERITREISKE KIDIST MARIAM ORTODOKS TEWAHDO KIRKE I FØRDE,,misenait@yahoo.no,57 82 71 96,452 56 878,False,,False
818626142,DÅLÅN VASSLAG,,,,,False,,False
818681682,DIESELKLUBBEN,,,,,False,,False
818907982,DALARAMPANE GRENDALAG,,,,,False,,False
818915322,DOVRE PENSJONISTFORENING,,,,,False,,False
818997892,DFEF BETANIA VESTRE JAKOBSELV,,,,,False,,False
819020302,DEN NORSKE NASJONALKOMITEEN FOR WORLD PETROLEUM COUNCIL,,,,,False,,False
819095442,DE ELDRES BOLIGSPAREKLUBB HORTEN OG OMEGN,,,,,False,,False
819123012,DAWAT-E-RIWAJ (D.E.R) SKANISTAN,,aman0sheikh@gmail.com,,954 30 638,False,,False
819545162,DEAR SARENA,,,,,False,,False
