organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811641332,EAST KURDISTAN INDEPENDENT PARTY,www.serbesti.info,rebwar125@hotmail.com,,40089455,False,,False
811985562,ESTENSMO HYTTEFORENING,,,,,False,,False
812068822,ESP BEDEHUS,,sgasv@broadpark.no,,984 02 159,False,,False
812080032,ETS DYKKEKLUBB,,s-edvar@online.no,,957 51 764,False,,False
812207032,EL & IT KLUBB STATKRAFT,,arne.einungbrekke@statkraft.no,35 09 52 08,97031541,False,,False
812369962,EVANGELIESENTERETS STØTTEFORENING I HORTEN,feiv.no,daniel.nervik@evangeliesenteret.no,,944 92 688,False,,False
812424122,EGERSUND ROCKEKLUBB,www.egersundrockeklubb.no,post@egersundrockeklubb.no,,,False,,False
812662082,ETTERFORSKNINGS- OG SIKKERHETSSELSKAPET PROTECTOR,,protector@live.no,22 32 72 70,,False,,False
812825542,ENGE BEDEHUS,,,,,False,,False
812846892,EINERLIEN GARASJELAG,,jan-se@online.no,,928 93 252,False,,False
812859382,EID BARNE- OG UNGDOMSKOR,,,46 76 30 32,917 21 074,False,,False
813096552,ELVERUM LEIRS BRANNKORPSFORENING,,elverum.brannkorpsforening@gmail.no,,,False,,False
813209632,EBEN EZER DFEF TROMSDALEN,,ebenezertromso15@gmail.com,,403 30 088,False,,False
813214342,EGGEDAL BARNE- OG UNGDOMSTEATER,,siv_mjoseng@hotmail.com,,454 44 616,False,,False
813344882,EL SHADDAI CHURCH,www.bethelnorway.net,nivetha05@hotmail.com,67 07 48 22,90872383,False,,False
813459442,EN NY HÅNDVERKSVEI FOR BARN OG UNGE,,,,,False,,False
813817462,EIDSBYGDA BYGDEKVINNELAG,www.bygdekvinnelaget.no/lokallag/eidsbygda-bygdekvinnelag,gunvordf@gmail.com,,902 66 449,False,,False
814069222,EIKTHYRNIR BOGESKYTTARLAG,,per.johnny.teigen@hydro.com,,902 04 636,False,,False
814107442,EVENSTAD JAKT OG FISKEFORENING,,ihelseth@online.no,,909 86 609,False,,False
814227332,EGDEHIRDEN,egdehirden.com,egdehirdenfencing@gmail.com,,902 85 754,False,,False
814741842,EIDEM GARDSLAG,,oddarne56@gmail.com,70 25 12 57,93497716,False,,False
814815862,EGGE SØR JAKTLAG,,,,,False,,False
815123352,EPILEPSIFORBUNDET DRAVET SYNDROM,,dravetnorge@gmail.com,,917 50 753,False,,False
815363272,ERITREAN SOLIDARITY MOVEMENT FOR NATIONAL SALVATION-OSLO (ESMNS),,dtm@hotmail.no,,957 90 401,False,,False
816016002,EL&IT FORBUNDET KLUBBEN NETTPARTNER PROSJEKT,,kjell.kristiansen@nettpartner.no,,,False,,False
816254752,EMMASOFIA STUDENTFORENING,,myhre@emmasofia.org,,920 49 126,False,,False
816331722,ELVERUMLIVEGEN VEILAG,,sl_performance@hotmail.com,,906 69 038,False,,False
816675022,EIGERSUND SV,www.eigersundsv.no,eigersund@sv.no,,,False,,False
816871182,EKVEIEN VEILAG,,,,,False,,False
817112722,EGMONT HYTTEFORENING,,,,,False,,False
817114032,EIKER VILLMARK,,,,,False,,False
817175872,ELLINGSRUDÅSEN FAU,ellingsrudasen.osloskolen.no/om-skolen/rad-og-utvalg/fau/,tdo@db.no,92 68 41 28,979 85 125,False,,False
817226302,ESTENSTADVEGEN 139 - 141 VEILAG,,,,,False,,False
817511872,EAST AFRICA SOCIAL DEVELOPMENT ORGANISATION,,,,,False,,False
817520022,ENGEMOEN VEL,,mariannbogsveen@gmail.com,,,False,,False
817835082,ERSLAND BEDEHUS,,,,,False,,False
817939872,EIDSVOLL BUESKYTTERE,www.facebook.com/Eidsvollbue/,eidsvollbue@gmail.com,,95882668,False,,False
818126832,EINERVEGEN VELFORENING,,,,,False,,False
818147082,ESPELAND KRETS,,,,,False,,False
818165722,ELTARVÅG VELFORENING,,eltarvaagvelforening@gmail.com,,,False,,False
818302002,ENGESET HYTTEGREND VELFORENING,,kjell.petter.dalen@gmail.com,,416 61 933,False,,False
818454562,EUFORISK,,,,,False,,False
818613172,"EX-TABLERS 51 ELVERUM, NORWAY",,dag.martin.bakken@if.no,,952 13 932,False,,False
818719892,ELOPAK BEDRIFTS IDRETTSLAG,,erik.sauge@elopak.com,,916 49 227,False,,False
818924852,ERICSSON SENIORKLUBB,,nilsenoyvind@me.com,,,False,,False
819168172,ESPEGREND VELFORENING,,olsen.ingunn@gmail.com,,450 65 056,False,,False
819334722,ELTRIMMEN,,,,,False,,False
819577072,EBENESER PÅ IHME,,,,,False,,False
819587272,"EKHOLT SKOLE ANSATTE,S IDRETTSLAG",,hilde.engebretsen@rygge.kommune.no,69 70 85 20,901 00 840,False,,False
819658242,EGERSUND TAMILSK KULTURORGANISASJON,,ravisaba@hotmail.com,,472 59 341,False,,False
819659842,EDM,,,,,False,,False
819800472,EDVARD MOSEIDS CHIMPAID,,,,,False,,False
819804702,ESPELIFJELL HYTTEFORENING,,nina.gjoen@outlook.com,,415 00 016,False,,False
819939462,EINADAGENE,,einadagene@hotmail.com,,,False,,False
820207742,EGLISE CHRIST NOTRE ROI,,,,,False,,False
820452372,ELVEBYEN JAZZBAND,,,,,False,,False
820696972,EIDFJORD HISTORIELAG,,hans.hellevang@eidfjord.net,,976 68 667,False,,False
820702972,ELLINGSRUD MUSIKALTEATER,,,,,False,,False
820734912,ELNAN HYTTEFORENING,,,,,False,,False
820968352,EL OG IT KLUBB 206 EIDEFOSS,,,,,False,,False
821367182,EIDSBORG JAKTLAG,,,,,False,,False
821391342,EUROTIVITIES SCANDINAVIA,,,,,False,,False
821685842,ERITREISKE UNGDOMMER FELLESSKAP FOR UTVIKLING I ROGALAND FYLKE,,,,,False,,False
821842492,ELOGIT NORD-ØSTERDAL ELEKTROSERVICE,,,,,False,,False
821876702,EGO FORENING,,,,98889635,False,,False
821982642,EMIL IVERSEN FANCLUB,,jorgen_alte@hotmail.com,,959 18 963,False,,False
822115322,ENFID NORWAY STAVANGER CHAPTER,,,,,False,,False
822176542,EMIL MOESTUE PENSJONIST FORENING,,odvarha@online.no,22 25 71 19,98430186,False,,False
822235352,EIGEBREKK VELFORENING,,bjornhunt@hotmail.com,,412 40 589,False,,False
822387632,EMBLEM GRUNNEIERLAG,,,,,False,,False
822661262,EN KOMMUNE FOR FRAMTIDEN,,,,,False,,False
822666752,EL&IT KLUBBEN RYFYLKE ELEKTRO,,oddgeir.emanuel@gmail.com,52 78 31 65,473 50 811,False,,False
822667732,ENGSMARKVEGEN VEL,,,,,False,,False
822798802,EIDSBAKKANE VEGLAG,,,,,False,,False
822821502,ENGEGÅRD QUARTET VENNEFORENING,,venner@engegardquartet.com,,917 09 146,False,,False
822926002,ETNEDAL FØDT 2008,,,,,False,,False
822976662,EVENTYRSTIENS VENNER,,,,,False,,False
822991092,ENEBAKK HØYRE,,olsen.tonjeanderson@gmail.com,,905 52 268,False,,False
823009682,EL OG IT KLUBBEN OIL-COMM,,,,,False,,False
823460392,EIDE SITTEDANS,,,,,False,,False
823484402,ELEVNETTVERKET FOR DEI VIDAREGÅANDE SKULANE PÅ VOSS,,,,,False,,False
823824092,ECO GROUP,,,,,False,,False
824000212,EXPLORING CULTURAL CAMPFIRE OPPORTUNITIES,,,,,False,,False
824199302,EFJORD BADEFORENING,,,,,False,,False
824368732,ENGEBRÅTEN PARSELLHAGELAG,www.engebratenparsellhage.no,engebratenparsellhage@gmail.com,,920 73 208,False,,False
824425582,EIV SKARBØVIKA,,,,,False,,False
824685452,EIDSVOLL KUNSTFORENING,,,,,False,,False
824690642,EVOLUTION DRILLKLUBB,www.evolutiondrillklubb.no,evodrillklubb@gmail.com,,,False,,False
824836442,EIGHT ACTION,,,,,False,,False
825076662,ETNEDAL ARBEIDERPARTI,,kjell@tiffkonsult.no,,930 55 758,False,,False
825105662,ECONA NTNU HANDELSHØYSKOLEN,,,,,False,,False
825280782,ELVEBAKKEN ALLMENNLEGEFORENING,,,,,False,,False
825300392,EHRA E-SPORT YTRE RYFYLKE,,,,,False,,False
825752862,ETNEDAL FØDT 2011,,,,,False,,False
825771832,EYDEHAVN MUSEETS VENNER,,gjermund.o.bjorndahl@gmail.com,,901 15 982,False,,False
825858962,EIKER LMK VELFORENING,,,,,False,,False
825935932,ESAM ACADEMY,,anthony.wagstaff@flymed.uio.no,,48010690,False,,False
825949682,EL OG IT KLUBB MARTIN PRESTEGÅRD,,,,,False,,False
826108762,ENGINOARS,www.enginoars.com,enginoars@gmail.com,,932 98 535,False,,False
826392452,EN HJELPENDE HÅND MODUM,,,,,False,,False
826422602,EDUAID,,edu.aid.no@gmail.no,,967 48 650,False,,False
826483202,ELVETUNS ORKESTER,,,,,False,,False
826507012,EDEN (EFFICIENT DISTRIBUTION IN EQUITY NETWORKS),,,,,False,,False
826532742,EVANGER SØR HJORTEVILTVALD,,,,,False,,False
826796332,ERSRUDVEIEN VEILAG,,,,,False,,False
826941162,ETHIOPIAN SCHOLARS IN THE NORDIC COUNTRIES (ESNC),,,,,False,,False
827139572,EUROPEAN CHINESE CULTURE PROMOTION SOCIETY,,,,,False,,False
827398462,EL OG IT KLUBB STATKRAFT AVDELING SØR GRUPPE ULLA-FØRRE,,,,,False,,False
827437492,"E-MAR, EGERSUND MARITIME MUSEUM OG DOKUMENTASJONSSENTER",,,,,False,,False
827476072,EIGERSUND FRISBEEGOLF KLUBB,www.eigersundfgk.no,eigersundfgk@gmail.com,,993 95 487,False,,False
827599182,EDITIONS QNDMC OSLO,www.qndmc.com,,,,False,,False
827841242,EIDSBØEN LEKEPARK,,,,,False,,False
828125192,EIKEN NLM,,,,,False,,False
828553062,EIDSKOG KAMPSPORT KLUBB,,,,,False,,False
828931342,EIKEDALEN INN EIERLAG,www.eikedalen-inn.no,,,928 67 303,False,,False
829438372,EL OG IT KLUBBEN I SIKRI,,,,,False,,False
829729822,ENDURODAMER,,,,,False,,False
830296492,EIKER ROCK UNG,,,,,False,,False
830354352,ERNÆRINGSGUTANE,,,,,False,,False
830995862,ETNEDAL VESTÅS LØYPELAG,,,,,False,,False
831023252,EMPOWER MIND,,,,,False,,False
831334622,EIDSIVA VIKINGLAG,,,,,False,,False
831395672,EIDFJORD SV,,,,,False,,False
831655712,EUROUAS,,,,,False,,False
832284262,ERDAL UNGDOMSSKOLE FAU,,,,,False,,False
832391832,EN PORSJON,,,,,False,,False
832943592,EVENES BARNEKOR,,,,,False,,False
832945722,EN SKOLE FOR ALLE KRISTIANSAND,,,,,False,,False
833007742,EISBEINGUTTANE,,,,,False,,False
833030752,EID VESTRE VEILAG,,,,,False,,False
833051172,ENGERSAND FJORDBADSTUE,,,,,False,,False
833341162,ELOGIT ENERGISELSKAPET HARDANGER,,ingvald.aarsand@ihk.no,,469 49 189,False,,False
833568272,EVJE FOLKEHØGSKOLE ELEVLAG,,,,,False,,False
833739972,EINEDALEN FAU,,fau.einedalen@gmail.com,,,False,,False
833881892,ELVEBREDDEN VELFORENING,,,,,False,,False
833917692,EDU-INVEST,,,,,False,,False
833921932,ELVERUM DRILLKLUBB,,,,,False,,False
833932942,ELEKTROINGENIØRENES LINJEFORENING,,,,,False,,False
834152282,ET STED Å VÆRE - FOR BARN OG UNGE I TOPPE,,,,,False,,False
834635682,EMIL - NETTVERKET,,irene.kinunda@gmail.com,,944 74 236,False,,False
834834022,EADNI MIN / VÅR MOR,,,,,False,,False
834903792,ELVERUM KULTURSENTER,,,,,False,,False
834933012,ETHNOS MISSION,,roma_arlyn@yahoo.com,,40990249,False,,False
835040232,EIKER-MODUM ROVVILTLAG,,emrovviltlag@gmail.com,,905 33 881,False,,False
835181642,ELITEKLUBBENES FORENING,,,,,False,,False
835202232,"ENLIGHTENED CHRISTIAN GATHERING, THE JESUS NATION CHURCH",,,,,False,,False
835330362,EIK SOSIAL,,,,,False,,False
835463842,EMGRACE,,,,,False,,False
836289552,EIKER SKOGFORUM,,,,,False,,False
841166272,EVANGELISCHE GEMEINDE DEUTSCHER SPRACHE IN NORWEGEN,www.deutschegemeinde.no,kontor@deutschegemeinde.no,22 44 16 43,,False,,False
870155522,EGERSUND HUSFLIDLAG,,,,,False,,False
870557892,ESBUVASSVEGEN,,,,,False,,False
870965222,ELVERUM HANDELSTANDS FORENING,,per_heramb@hotmail.com,62 41 63 20,917 46 199,False,,False
871131872,EIDSVOLL OG HURDAL RØDE KORS,www.eidsvollhurdalrodekors.no,post@eidsvollhurdalrodekors.no,63 96 04 76,476 50 476,False,,False
871276722,EL WAFFA MØTESTED AFRO ARAB KULTUR FORENING,,,22 11 50 63,,False,,False
