organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811569852,FREE TO GIVE,,f2give@gmail.com,,913 81 765,False,,False
811599522,FLÅ PENSJONISTFORENING,,gunnjoh6@online.no,32 05 02 61,90116329,False,,False
811630632,FORENINGEN TINGHUSKORET,,,,,False,,False
811639842,F.F.F - FELLESMEIERIETS FRITIDSFORENING,,,,,False,,False
811656712,FREDTUN,,,,,False,,False
811702412,FAU VED SOLBAKKEN SKOLE,,torunn.forberg@gmail.com,,,False,,False
811727652,FHV FORENINGEN,,aslak.ona@live.no,,90564650,False,,False
811737682,FAGFOREININGSKLUBBEN HJÅ BRØDRENE AA,,oysteinrinde@gmail.com,,988 59 157,False,,False
811752932,FORENINGEN NUMEDAL MIDDELALDERSENTER,,kjell@mogen.no,,412 20 740,False,,False
811849812,FRIENDS AND FAMILY,,,,,False,,False
811864382,FILEFJELLHYTTEFORUM,,tfhfelles@gmail.com,,488 82 128,False,,False
811868132,FET OG OMEGN HUNDEKLUBB,www.fetohk.no,,,,False,,False
811912182,FORENINGEN HERØYDAGAN,www.heroydagan.no,post@heroydagan.no,,906 66 145,False,,False
811929042,FREDRIKSHALD ROLLER DERBY KLUBB,,,,,False,,False
812039822,FORENINGEN NORDEN ØVRE EIKER,,torill.stenshorne@outlook.com,,995 65 746,False,,False
812061852,FOTOKLUBBEN 71 GRADER NORD,,christoffer-robin82@hotmail.com,,93267041,False,,False
812112112,FISKAA GRUNNEIER LAG,,,,,False,,False
812185802,FORENINGEN OPERA I PARKEN,,post@arnebang.no,,926 25 479,False,,False
812213792,FJELLSJØLIVEIEN VEIFORENING,,geir.troennes@gmail.com,,975 23 327,False,,False
812266802,FILOXENOS - MENNESKER I ARBEID,www.filoxenos.org,info@filoxenos.org,,936 06 154,False,,False
812284142,FORENINGEN ANDVAKE,,kamp@wemail.no,22 44 22 96,928 98 214,False,,False
812315072,FURUMOEN HUSEIERLAG,,furumoen.huseierlag@gmail.com,,938 46 198,False,,False
812355902,FOREININGA STILLE STUNDER,www.stille-stunder.com/,post@stille-stunder.com,,915 13 024,False,,False
812428942,FOLLA HAGELAG,,,,,False,,False
812443062,FREDRIKSHALD RC-KLUBB,,fredrikshaldrc@gmail.com,,450 17 718,False,,False
812466852,FAMILIEKIRKEN MANDAL,www.familiekirken-mandal.no,post@familiekirken-mandal.no,38 26 60 40,,False,5.0,False
812509152,FAUSKE OG SØRFOLD SAUEHOLDSFORENING,,,,,False,,False
812509322,FANARUSS 2014,,christian.nygaard@hotmail.com,,45 40 33 22,False,,False
812594192,FITJAR INDREMISJON,,ingebrigt@sorfonn.no,,930 63 510,False,,False
812606042,FORENINGEN FOR DIREKSJONSMUSIKKEN,,ivar.lydvo@affecto.com,,,False,,False
812756362,FORELDREUTVALET VED HARØY SKULE,,mona.kathrin.johannessen@alesund.kommune.no,,472 44 890,False,,False
