organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811555312,HALDEN JEGER- OG VILLMARKSKLUBB,,stein.wilhelmsen@halden.kommune.no,,41 54 72 63,False,,False
811568392,HØYDAL VELFERDSLAG,,hoydal.vel@gmail.com,70 05 60 20,,False,,False
811643122,HAKALLESTRANDA UTVIKLING,,dag.molvik@ssikt.no,,907 91 291,False,,False
811651222,HK-KLUBBEN I LO,,,,,False,,False
811679712,HØVRINGEN VEL,www.hovringenvel.no,post@hovringenvel.no,,99 45 39 38,False,,False
811683612,HESTNES VELFORENING,,,,,False,,False
811706272,HABNESPRELLET,,arvid.woll@nordan.no,,951 11 475,False,,False
811708402,HARØY FOTOKLUBB,,tslatt98@gmail.com,,906 97 286,False,,False
811728012,HJØRUNGAVÅGSPELET,,,,,False,,False
811843792,HORDALAND WESTERN KLUBB,,,,900 28 757,False,,False
811862002,HJELVIK IDRETTSLAG,,bhjelviken@hotmail.com,,952 34 040,False,,False
811878502,HELLESTRANDA SMÅBÅTLAG,,,,,False,,False
811881872,HAUGEN SANKE OG BEITELAG,,vidarhaugland2307@gmail.com,,416 41 501,False,,False
812026402,HAUS BÅTLAG,www.hausbaatlag.com,styret@hausbaatlag.com,,971 97 809,False,,False
812096532,HVITTINGFOSS BARNE- OG UNGDOMSTEATE,,unakalleberg@gmail.com,,453 93 907,False,,False
812156772,HOLAND SØR HYTTEFORENING,,staale@grannesvvs.no,,901 69 279,False,,False
812288032,HANKØ TENNISKLUBB,,,,,False,,False
812417932,HISKASUND VEGLAG,,sigbjorn.nygard@getmail.no,,911 50 764,False,,False
812468502,HÅKONSHELLATOPPEN VEL,,21geir.brandal@gmail.com,,991 07 096,False,,False
812551752,HELTER SKELTER MC - HARSTAD,,helter-skelter@hotmail.com,,,False,,False
812625152,"HUMANISTISK UNGDOM, OSLO LOKALLAG",www.humanistiskungdom.no/oslo,ungdom@human.no,,,False,,False
812661582,HAGESELSKAPET ANDEBU HAGELAG,,linnthe85@hotmail.com,,909 31 849,False,,False
812673432,HIIS TERRASSE,,jeanette@momentsoflight.no,69 27 27 06,951 16 645,False,,False
812688502,HORTEN VENSTRE,,,,,False,,False
812773062,HADELAND TEATERLAG,,hadelandteaterlag@gmail.com,,997 08 181,False,,False
812841602,HAVERSTING JAKTLAG,,bkarlss2@online.no,,909 26 095,False,,False
812847392,HESSJØEN HYTTEFORENING,www.hessjoen.net,post@hessjoen.net,,476 01 312,False,,False
812975862,HESSDALEN SANITETSFORENING,,,,,False,,False
812991922,HJERTELYST,,hjertelyst@gmail.com,,979 83 072,False,,False
813149842,HJERTELYST AGDER,,,,979 83 072,False,,False
813151642,HORNAFRIKA SUNNHETSFORENING,,,,,False,,False
813236982,HAGALAZ MC,,,,,False,,False
813264552,HJELMEN 4H,,gmorsand@online.no,,913 59 610,False,,False
813311852,HØLSETRA HYTTEEIERFORENING,,v.hermanrud@gmail.com,,915 34 430,False,,False
813399512,HURRABEKKVEGEN VEL OG HYTTELAG,,sed@hoegh.com,,400 39 947,False,,False
813403862,HORDVIK SJAKKLUBB UNGDOM,,rune.borgund@gmail.com,,908 51 688,False,,False
