organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811014982,JÆREN KRISTNE SENTER,,benterivero@hotmail.com,46 37 92 47,986 29 638,False,,False
811566462,JAKOBSNES IDRETTSLAG,,jakobsnesidrettslag@hotmail.com,,908 15 199,False,,False
811756962,JOSTEDAL SANKELAG,,,,95057752,False,,False
811821942,JERNBANENS ARBEIDERLAG,,,,91673112,False,,False
811824372,JØLSTER SKYTTARLAG,,jolster@skytterlag.no,,952 36 089,False,,False
812003402,JÆRENS ÆRVERDIGE FORENING FOR UISGE BEATHA'S FREMME,www.whiskyklubben.no,whiskyklubben.no@gmail.com,,,False,,False
812135422,JA TIL OL 2022,,,,97548585,False,,False
812318322,JOHANNESKIRKENS DIAKONAT,,,,,False,,False
812449052,JOY - JOINT ORGANIZATION FOR YOUTH,www.joy4u.no,joyforyouth@gmail.com,,917 37 283,False,,False
812978772,JUBA MUSIKALTEATER,www.juba.org,grethe.kosberg@gmail.com,,47462445,False,,False
813304112,JÆREN QUILTELAG,,,,,False,,False
813378892,JOHANNESKRETSEN,,knut.alfsvag@vid.no,,+4797159970,False,,False
813911582,JOURNEY NORGE,,lwnorge@gmail.com,,,False,,False
814392392,JÆREN GRÅTASSLAUG,www.jgl.no,eyvind@etcomp.com,,909 76 497,False,,False
815088352,JØSOK VELFOREINING,,worren83@hotmail.com,,971 61 491,False,,False
815458362,JACOBSGATA VELFORENING,,velforening@jacobsgate.no,,46675370,False,,False
815595262,JÆREN LOKALLAG AV FORTIDSMINNEFORENINGEN ROGALAND FYLKESAVDELING,,,,,False,,False
815842952,JULIUS INGGÁ JA JULIUS NILS PEDER MUITU,,gudrun.lindi@trollnet.no,,95935626,False,,False
816789982,JÆREN GOSPELKOR,,cecilie.fremstad@gmail.com,,997 37 672,False,,False
816934702,JÆREN VISEKLUBB,,hans@ognascene.no,51 43 77 75,,False,,False
817203582,JERVEFLOKKEN,,,,,False,,False
817351972,"JESUS LIVES CHURCH, NORWAY",,jlcnorway@gmail.com,,980 84 993,False,,False
817499902,JON VEGARDS MINNE,,,70 14 82 39,90129549,False,,False
817553982,JAPANKLUBBEN,www.japanklubben.no,,,,False,,False
818315392,JERNBANEVIRKSOMHETENES SIKKERHETSFORENING,www.jvsf.no,post@jvsf.no,,+4795202834,False,,False
818381352,JÆREN RC KLUBB,,jen@flexifiks.no,,986 24 981,False,,False
819312982,JORDBREKKSKOGEN VELFORENING FELT B,,janholmen@gmail.com,,905 03 325,False,,False
819537402,JØLSTER MÅLLAG,,,,,False,,False
820322002,JAREN VEL,www.jarenvel.no,post@jarenvel.no,,958 71 036,False,,False
820530322,JAM PÅ JOSEFINE,,,,,False,,False
821027802,JURISTAR UTAN GRENSER,,,,,False,,False
821148812,JUSTITIA EDUCATION IDJWI KONGO,,fruakero@gmail.com,,905 30 267,False,,False
821722322,JENTESKATE ARENDAL,,,,,False,,False
822045332,JÆREN FUNCTIONAL FITNESS KLUBB,,phtk@live.no,,990 82 506,False,,False
822128742,JAGUAR 4H,,lailahelenehalvorsen@gmail.com,,,False,,False
822340482,JA TIL NY HOVEDVEI PÅ KARMØY,www.nhkarmoy.no,nyhovedveikarmoy@gmail.com,52 82 81 65,928 13 820,False,,False
822393942,JEPPEDALEN VEL,,,,,False,,False
822436412,JOVIKA VELFORENING,,,,,False,,False
822675492,JØRPELAND MISJONSFORSAMLING NLM,,,,,False,,False
823217722,JÅVIKTOPPEN VELFORENING,,lars_93@live.no,,412 14 178,False,,False
823701632,JESSHEIM JENTEKOR,,,,,False,,False
824307792,JAKTLAGET SÅNS,,,,,False,,False
824556172,JUNIORCELLISTENE,,,,,False,,False
825411712,JEKTEVIK KYSTLAG,,,,,False,,False
825518592,JOA VELFORENING,,joavelforening@gmail.com,,,False,,False
825970312,JUL I KYSTBYEN RØRVIK,,jahn.tharaldsen@online.no,,414 34 144,False,,False
826031832,JENTELAGET LILJEKONVALLEN,,,,,False,,False
826182512,JA TIL REVERSERING AV KINN,,,,,False,,False
826515422,JOE & THE REGULATORS,,,,,False,,False
827802662,JOHAN E FOSSENS JAKTLAG,,,,,False,,False
827923982,JULEBODEN,,,,,False,,False
828557122,JØRPELAND DYKKERKLUBB,,,,,False,,False
828891332,JÆREN SURFSKATE KLUBB,,,,,False,,False
828949322,JAPANESE CULTURE ASSOCIATION IN TRONDHEIM,,,,,False,,False
829289032,JBF PENSJONISTFORENING AVD. OSLO,,,,,False,,False
829628902,JAKTLAGET GRØVEN,,,,,False,,False
830259252,JULEGLEDE - VOLDA,,,,,False,,False
830835342,JØSTANSRUD RIDESKOLE,,,,,False,,False
831725842,JEZIDISK KULTURFORENING DRAMMEN,,rojinsalem@yahoo.com,,406 73 996,False,,False
832116432,JESUS MOMENTS,Jesusmoments.no,mirjam.96@hotmail.com,,465 26 045,False,,False
832174882,JULEMARKED TANGEN,,,,,False,,False
832769932,JUNK SHOP RECORDS,,,,,False,,False
832794902,JØSSINGFJORD KLATREKLUBB,,,,,False,,False
833738372,JULE- OG HVERDAGSHJELP,,,,,False,,False
