organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811567612,KURDISK KULTURSENTER,,,,,False,,False
811600032,KLUBBEN NOS,,,,922 12 863,False,,False
811603112,KPIN - ORGANISASJON FOR KOREANSK POPKULTUR I NORGE,kpin.no,informasjon@kpin.no,,994 20 752,False,,False
811705942,KLEV SETERSKOG VEILAG,,,,,False,,False
811760722,KULTURHUSET UTSIKTEN,,,,,False,,False
811782912,KYRKJERINGEN I GURSKEN,,,,,False,,False
811816612,KIRKEBØEN VANNVERK,,ingunn@kirkeboen.no,,906 81 769,False,,False
811884642,KJERSTAD VASSLAG,,,,,False,,False
812013912,KULTURSKOLENS VENNER,,,,,False,,False
812093142,KVINNHERAD SPORTSSKYTTARKLUBB,,marg.mehl@knett.no,,924 86 788,False,,False
812130722,KLEIVEN VELFORENING KVAMSKOGEN,,per.inge.larsen@online.no,,416 02 749,False,,False
812171542,KLØVERKLUBBEN 4H,,eelskl@online.no,,906 72 609,False,,False
812194542,KALKFJELLET VEL,,kalkfjellet@gmail.com,,996 24 954,False,,False
812348302,KVINLOG BEDEHUS,www.kvinlogbedehus.no,,,,False,,False
812411322,KUNSTROM HOBØL,,tom@bente-tom.com,,905 01 610,False,,False
812429302,KORSSUND DYKKEKLUBB,korssunddykk.no,mail@richardskaar.no,,957 31 547,False,,False
812449222,KJERNEN 4H,4h.no,,,,False,,False
812468782,KJELLARSTUO,,kjellarstuo@gmail.com,,917 30 743,False,,False
812649272,KURDISK KLUBB,,showan@outlook.com,,466 68 068,False,,False
812654322,KIRKEBYGDEN SKOLE FAU,,,,,False,,False
812675532,KOPPERUD SKOLE FAU,www.kopperudfau.no,,61 18 99 40,,False,,False
812783742,KONGSVIK KULTURHUS,,robin@paulsentakst.no,,41852288,False,,False
812887882,KRISTENT FELLESSKAP KRISTIANSAND,,,,,False,,False
812894072,KALVESLETTEN VEL,,li_thorn@hotmail.com,,993 72 122,False,,False
812903632,KILSUNDSKOGEN VEL,,torill_fagerli@hotmail.com,,952 55 020,False,,False
813035812,KULTURHAGENS VENNER,www.kulturhagen.com,venn@kulturhagen.com,,,False,,False
813042312,KNOTTEN BEDEHUS,,,,,False,,False
813191032,KULTURLEIA FRÆNA,,torild@sephia.no,,416 05 079,False,,False
813203162,KOSTREFORM VESTFOLD,www.kostreform.no,vestfold@kostreform.no,,909 13 987,False,,False
813227452,KVALØYA ARBEIDERLAG,,mar61sol@gmail.com,,922 64 765,False,,False
