organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811571202,NAUSTVÅGEN BÅTLAG,,atlebberge@gmail.com,,911 06 299,False,,False
811654922,NORDVANGS VENNER,,odd.skarsgard@sdsl.no,,,False,,False
811656232,NES FORFATTER FORENING,,tord@lyshaugen.com,,909 77 785,False,,False
811800392,NASJONALFORENINGEN OS HELSELAG,,inguness@online.no,,911 78 945,False,,False
811804592,NATURVERNFORBUNDET OSLO ØST,naturvernforbundet.no/noa/osloost/,osloost@naturvernforbundet.no,,,False,,False
811812862,NITO I STATOIL,www.nito.no,nitostatoil@statoil.com,,,False,,False
811863912,NASJONALFORENINGEN FOR FOLKEHELSEN HAUGALANDET DEMENSFORENING,,,,,False,,False
811884952,NORSKE AKEVITTERS VENNER - REGION LÅGENDALEN,,navlaagendalen@gmail.com,,915 44 242,False,,False
811912212,NNN KLUBBEN LERØY MIDT,,,,473 72 852,False,,False
811947482,NOTODDEN WOODBALL,,ottismannen@hotmail.com,,469 68 007,False,,False
811948632,NOGVA VELFERDSFORENING,,,70 20 84 15,,False,,False
811980242,NEI TIL MOBBING - ØSTFOLD,,marialeana2020@gmail.com,,401 91 559,False,,False
811987352,"NORSK RESERVISTFORBUND, AVDELING RINGERIKE",,ringerike@nrof.no,,917 81 801,False,,False
812010212,NORDLAND SKISKYTTERKRETS,www.skiskyting.no/no/kretser/region_nord/nordland_ssk/?folderpagesize=10,nancy.schreiner@ranagruber.no,,950 00 869,False,,False
812105752,NORSK AKUSTISK SELSKAP,www.norskakustiskselskap.org,,,,False,,False
812114972,NORGESDEMOKRATENE ROGALAND,www.demokratene.org,rogaland@demokratene.org,,948 03 925,False,,False
812118382,NESHEIM KRETS VELFORENING,,post@lindstolen.no,37 03 02 09,915 84 588,False,,False
812157752,NESGÅRD HYTTEGREND,,gkulseng@hotmail.com,,916 72 427,False,,False
812252712,NORDSTRAND OG BEKKELAGET QUILTELAG,www.nbql.no,kari.vangen@icloud.com,,95741019,False,,False
812287982,NORWEGIAN SCIENTIFIC DIVERS (NSD),,even.moland@imr.no,37 05 90 27,930 50 815,False,,False
812386492,NFU HALLINGDAL LOKALLAG,,heleneholand@live.no,,911 22 459,False,,False
812409182,NORSKE UTDANNINGS- OG STUDIESENTRE,www.norskeutdanningssentre.no,,,,False,,False
812416502,NES MALEKLUBB,,morten@4you.as,,934 19 386,False,,False
