organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811642622,OSLO PERFORMANCE TRAINING,,remirefsdal@hotmail.com,,591 83 126,False,,True
811695572,OSLO FORCE BASKETBALL ASSOCIATION,,frances.cerdena@gmail.com,,,False,,False
811848832,OPE HUS SANDANE,,,,,False,,False
812155792,OSLO OG OMEGN SJAKKRETS,www.oslosjakk.no/,,,,False,,False
812183842,ODD R. ANTONSEN STORBAND,,,,,False,,False
812405802,OSLO FILMKLUBB,oslofilmklubb.no,fredrik.roaldset@gmail.com,,415 75 615,False,,False
812419242,OPPDAL BYGDEKVINNELAG,bygdekvinnelaget.no,gerdrotvei@oppdal.com,,917 32 752,False,,False
812747592,OTC NORWAY,,,,,False,,False
812768492,OLSTADMOEN VEILAG - OLSTADFARET,,rune@rett.as,,982 24 380,False,,False
812868942,OSLO PLUS ACUMEN,www.plusacumen.org,jorgenhenrik@gmail.com,,40639583,False,,False
813154722,ODDS,odds-project.com,post@odds-project.com,,481 06 923,False,,False
813253062,OSLO MATU CHIN KRISTNE UNGDOMSFELLESKAP,,,,97482846,False,,False
813673592,OPPEGÅRDGATA VEILAG,,oppegaardgata@gmail.com,,,False,,False
813851202,OSLO SPIKERS VOLLEYBALLCLUB,,lisbethb96@hotmail.com,,464 70 323,False,,False
813936372,OSLO PIRATPARTI,,,,,False,,False
814064352,OMVENDT JULENISSE,,,,,False,,False
814091902,OSLO TREKLATREKLUBB,www.facebook.com/oslotreklatreklubb,oslotreklatreklubb@gmail.com,,926 81 584,False,,False
814626342,OSLO BORDTENNISKLUBB,,oslobordtennisklubb@gmail.com,,95056588,False,,False
814779602,OVNERUD VEL,,ovnerudvel@gmail.no,,977 25 868,False,,False
815117522,OSLO SPORTSCAR CLUB,,,,,False,,False
815161602,OSLOVE NOEREH,noereh.no,oslove@noereh.no,,952 73 107,False,,False
815325362,OVERHALLA KUNSTFORENING,,ann-kat-ha@hotmail.com,,95863119,False,,False
815371712,OPTIKER RØNNING BIL,,,33 03 08 30,909 74 003,False,,False
815372492,OSPHAUGEN BEBOERFORENING,,onee@online.no,,926 65 222,False,,False
815504992,OPSUND VEL,www.opsund.com,,,,False,,False
815835972,ODDEN GARASJELAG,,terje.bleken@hotmail.com,,996 44 979,False,,False
815963172,ORKDAL SOUL KIDS,www.facebook.com/orkdalpresoul,,,,False,,False
815989392,OLD SAVAGE RIDERS MC ARENDAL,www.facebook.com/oldsavageriders,kai.bergqvist@gmail.com,,906 48 758,False,,False
816063612,OLINEHAGEN VELFORENING,,sommerbien@hotmail.com,,91169143,False,,False
816242282,OSLO/ØSTLANDET KRETS AV NDF,,tormodbakke1@gmail.com,,907 83 417,False,,False
816458242,ONØY/LURØY HUSFLIDLAG,,monica@luroybygg.no,,902 25 789,False,,False
816523222,ORKESTERKOLLEKTIVET,,,,,False,,False
816639182,ORKELSJØEN HYTTEFORENING,,tor.snove@oppdal.com,,905 55 169,False,,False
817239102,OARJE-FINNMÁRKKU SÁMIID DUODJI,,,,,False,,False
817679552,OSLO KJOLE- OG DRAKTSYERLAUG,,oslokjole.draktsyer@gmail.com,,,False,,False
817805752,OLE BERGSVEI LYSLAG,,einsteinnewcastle@hotmail.com,,917 62 433,False,,False
817870392,OMSTOCK,,,,,False,,False
817882242,OTTA KNIVKLUBB,,,,,False,,False
818045492,OPPLAND LYMFØDEM- OG LIPØDEMFORENING,,,,,False,,False
818178522,ORRELIA VELFORENING,,,,995 22 870,False,,False
818349602,OSLO BOLIG- OG BYPLANFORENING,www.boby.no/avdelinger/oslo-boby/,,08725,,False,,False
818653972,OTERA B.I.L.,,,,,False,,False
818721072,OSLO OG OMEGN DACHSHUNDKLUBB,,oslo@dachshundklubb.no,,908 69 932,False,,False
818888112,OSLO POLITIDISTRIKTS KUNSTFORENING,,,,,False,,False
818904142,OSLO OG OMEGN MODELLHELIKOPTERKLUBB,,,,,False,,False
819062722,OS SJAKK UNG,,,,,False,,False
819725322,OSLO SENTRUM DANSEKLUBB (O.S.D),,,,,False,,False
819814112,OSLO GULLSMEDLAUG,oslogullsmedlaug.no,h@hildesolv.no,,915 86 629,False,,False
819848882,OTTA MEKKEKLUBB,,otta.mekkeklubb@gmail.com,,,False,,False
819871442,OSLO ORATORIEKOR,91581052,hanne.aspelund@hotmail.com,,915 81 052,False,,True
819872392,OSLO OG AKERSHUS BOTANISKE FORENING,www.nbf-ostland.no,post@nbf-ostland.no,,,False,,False
820017412,OSLO FRIVILLIGSENTRALER,oslo.frivilligsentraler.no,post@vestreaker.frivilligsentral.no,,481 37 180,False,,False
820056922,OMEGAREVYEN,,omegarevy@gmail.com,,481 88 232,False,,False
820161742,OTERÅSEN 30 VEL,,eli.eidsnes@online.no,,906 13 515,False,,False
820524772,OYAMA KARATE BÆRUM,,,,,False,,False
820721632,ORKLAND MODELLFLYKLUBB,,bjoernby@gmail.com,91 16 36 19,,False,,False
