organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811702102,ÅLESUND INTERNASJONALE KOR,,,,99733940,False,,False
811706922,ÅRSKULL 2012/13 MEDKILA SKOLE,,lind@deli-norway.no,,,False,,False
811764132,ØYSTESE GRENDALAG,,,,95089994,False,,False
811879312,17. MAI NEMDA KAUPANGER,,geirerikr@hotmail.com,,941 85 190,False,,False
811900842,ØYSLEBØ VEL,,richard.slogedal@online.no,,,False,,False
811931462,ØVRE GJELRUSTVEG VEILAG,,,,,False,,False
812009982,3. ST GEORGS GILDE MOLDE,,,,482 49 627,False,,False
812085832,ØYÅSBAKKEN VEL,,jorn.inge.johansen@hotmail.com,,,False,,False
812353942,ÅLESUNDEREN,,sigmund@totalinform.no,,,False,,False
812436392,ØSTFOLD ROKRETS,,,,,False,,False
812654462,ØVRE FJORDGLØTTVEIEN VEILAG,,karibjorke@hotmail.com,,977 07 962,False,,False
812721682,ÅMDAL SANITETSLAG,,,,911 94 598,False,,False
812867512,ÅKRENE VEL,,aakrenevel@gmail.com,,951 49 518,False,,False
813650282,ØSTRE AGDER VETERANBUSSKLUBB,,per.arnt.nes@nettbuss.no,,926 02 706,False,,False
813657872,1. SKUDENESHAVN SJØ SPEIDERGRUPPE,www.1skudeneshavnsjo.com,gruppen@1skudeneshavnsjo.com,,,False,,False
813986752,41 NORGE,,,,,False,,False
814079392,ÅNNERUDBO VEL,,,,,False,,False
814091252,ÅRSKOG VEGLAG,,,,,False,,False
814095592,1. HØVIK SPEIDERGRUPPE,,skaarsberg@hotmail.com,,456 11 690,False,,False
814270912,ØYGARDEN HAVHEST,,,,,False,,False
814347842,ØRNEREDET VELFORENING,,has@dips.no,,952 81 981,False,,False
814417662,ØRSKOG BRANNVERNFORENING,,,,48225734,False,,False
814440222,17. MAI KOMITEEN,,17.mai.vaagsetra@gmail.com,,,False,,False
814502902,ÅNA-SIRA MOTORBÅTKLUBB,,knut.holm@dabb.no,,,False,,False
