organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811594652,PROFESJONELLE VERGERS INTERESSEORGANISASJON,,hjhnorway@gmail.com,,917 17 758,False,,False
811620432,PEACE BY PIECE,,sherazmalik@hotmail.no,,400 69 786,False,,False
811756822,POLSK-NORSK FORENING I SOGN OG FJORDANE,,malg.tve@hotmail.com,,,False,,False
811859532,PARAT V/NB,,grener.eriksen@nb.no,,952 29 022,False,,False
811867942,PENSJONISTFORENINGA HAVDUR,,,,,False,,False
812314572,PILEGRIMSNETTVERKET FOR ØSTERDALSLEDEN,pilegrimsleden.no/no/map/osterdalsleden/,hoosbak@yahoo.no,62 46 65 00,930 80 989,False,,False
812315412,PERSFJORD BEITELAG,,,,90817686,False,,False
812575732,POTENSIAL TIDSSKRIFT,,tto020@post.uit.no,,90671629,False,,False
812869442,POSTEN OG BRING BIL OSLO,,niels.grande@bring.com,,,False,,False
813003872,PRESSEVETERANENE I HORDALAND,,christian.stabell@osogfusa.no,,,False,,False
813169592,POLITIETS PENSJONISTFORENING SALTEN,,adfrivaag@gmail.com,75 54 58 00,+4799631687,False,,False
813458802,PELLEBYEN VELFORENING,,raolsvik@online.no,,40495096,False,,False
813583852,POLENKOMITE YTRE HERØY UNGDOMSSKULE 2005 KULLET,,post@moehelse.com,,938 06 354,False,,False
813937662,PUMPEHUSET NORD AASSKOGEN VEL,,,,934 86 636,False,,False
814536912,PIKESTRØM,,,,,False,,False
814577252,POLSK FOTBALL KLUBB,www.facebook.com/pfkoslo?fref=ts,pfk@gmail.com,,40565413,False,,False
814745872,PORSANGMOEN HYTTEFORENING,,,,,False,,False
815032942,POLITICAL PRISONERS ALLIANCE-IRAN PPA-IRAN,,,,,False,,False
815200292,PARTIET DE KRISTNE VÅGSØY,,egilamsrud@hotmail.com,,976 74 624,False,,False
815201442,PARTIET DE KRISTNE LYNGDAL,www.dekristne.no,sivbuleg@gmail.com,,907 14 296,False,,False
815339282,PLO TRØNDELAGEN TIL ORDENEN RIDDERE AV DET HVITE KORS I NORDEN,,trondelagen@losje.org,,909 81 849,False,,False
815350812,PENSJONISTFORBUNDET SUND,,turidka46@gmail.com,,950 04 915,False,,False
815467132,PENSJONISTFORENINGEN VED FORSVARETS FORSKNINGSINSTITUTT,ffipen.com,ableere@gmail.com,,905 29 599,False,,False
815631412,PIM - KAMPANJEN PALESTINSKE BARN I ISRAELSKE MILITÆRE FENGSLER,pimbarn.com,kampanjenpim@gmail.com,,920 38 862,False,,False
815656792,POWER. PÅ RETT VEI,www.recovery-tilfriskning.com,,,413 23 239,False,,False
815699602,PÅRØRENDEFORENING OSEN SYKEHEIM,,unni.bjorsvik@namsos.kommune.no,,958 69 948,False,,False
816009952,PANGEA LINJEFORENING,,pangealinjeforening@gmail.com,,,False,,False
816137632,PERSTØLEN HYTTEFORENING,,barbros1@getmail.no,,975 64 038,False,,False
816381002,PERSONALGRUPPA GLOMFJORD BARNEHAGE,,,,,False,,False
816499992,PIGISA,,,,,False,,False
816544122,PLO MIØSEN TIL ORDENEN RIDDERE AV DET HVITE KORS I NORDEN,,,,,False,,False
816553342,PREIKESTOLEN PISTOLKLUBB,www.preikestolenpk.no,post@preikestolenpk.no,,906 01 322,False,,False
816813042,PUEBLO LAGUNA,,,,,False,,False
816885442,PENSJONISTFORBUNDET BERGEN SENTRUM,,edel.johannessen@gmail.com,,911 28 110,False,,False
816926432,POSTNORD BERGEN B.I.L.,,,,,False,,False
817114342,PALESTIMEN MC KLUBB,,john.egil.nesse@outlook.com,56 33 76 66,930 45 472,False,,False
817239722,PASIENTSKADEFORENINGEN AVD. OSLO,,frank@pasientskadeforeningen.no,,483 02 157,False,,False
817262872,PERSONALFORENINGEN AMBULANSETJENESTEN AVD. FREDRIKSTAD,,,,,False,,False
817354432,PLATTFORM - NORSK INSTITUTT FOR FOREBYGGING AV RADIKALISERING OG VOLDELIG EKSTREMISME,,plattform@arkivet.no,,,False,,False
817368662,PENTAFOIL EK,,,,,False,,False
817489982,POLITIETS PENSJONISTFORENING ROMERIKE,,romerikeppf@gmail.com,92 02 75 85,950 72 183,False,,False
817542492,PARAT AVD HANSA BORG BRYGGERIER,,,,,False,,False
817593062,PRESTEHAVNA VEL,,,,,False,,False
817772242,PROUTNORGE,www.proutnorge.no,,,,False,,False
817885942,PIKEKYSZ,,,,,False,,False
818079052,PERSILLEHAGEN,,persillehagen.rykkinn@gmail.com,,,False,,False
818171552,POLITIETS UTLENDINGSENHETS POLITIIDRETTSLAG (PUPIL),,pu-pil@politiet.no,,41 53 16 12,False,,False
818317492,PIPELIFE FRISKUS SURNADAL,,,,,False,,False
818702272,PLASTFRITT HAV,,plastfrittgiske@gmail.com,,930 46 201,False,,False
818748892,PROLETARTEATERET,,jo.arne.fosmo@gmail.com,,414 77 474,False,,False
818765592,PORSANGER BONDELAG,,,,,False,,False
818906072,PIPELIFE FRISKUS STATHELLE,,,,,False,,False
818983492,POLITIETS PENSJONISTLAG SARPSBORG,,,,99259015,False,,False
819315612,PARK ELLINGSRUD VELFORENING,,virayasornchai@gmail.com,,938 64 448,False,,False
819483922,PARA SAMFUNN,,,,,False,,False
819610932,POP-UP CLASS OSLO,,popupclassoslo@hotmail.com,,,False,,False
819650632,PRATMAKERNE,,,,,False,,False
820055462,PLANKEMYRA S VENNER,,,,,False,,False
820126742,PULS DRAMMEN,,btoftum@deloitte.no,,480 86 134,False,,False
820164512,PERSONALKLUBBEN KONICA MINOLTA HAMAR,,,,,False,,False
820180232,POLSKE ARBEIDSGIVERE I NORGE,,,,,False,,False
820192052,PTRO,,,,,False,9.0,False
820322282,PRESTEGÅRDSSKOGEN OG OMEGN HYTTEEIERFORENING,,,,,False,,False
820529642,PEDERHUSETS VENER,,,,,False,,False
820624572,"PENSJONISTFORBUNDET ELDREBØLGEN, VEVELSTAD",,sveiols@online.no,,917 80 212,False,,False
820646142,PENSJONISTFORBUNDET RÅDE,,magjersoe@hotmail.com,,936 88 233,False,,False
820673352,PO 3/4 KUNNSKAPSINKUBATOR,,,,,False,,False
820765702,PROPULSE NTNU,propulse.no,contact@propulsentnu.no,,+4790816015,False,,False
820798422,POLENTUR NAUSTDAL KULL 2004,,,,,False,,False
820825462,PAK NORDIC MEDIA,,,,,False,,False
820844882,PERSONALLAGET VED HEIDAL SKULE,,,,,False,,False
820938682,PERSONALFORENINGA TINE MEIERIET SANDNESSJØEN,,,,,False,,False
821177472,PENSJONISTPARTIET ÅLESUND,,nilsjo44@outlook.com,,918 04 007,False,,False
821290902,PAMIGOS,,,,,False,,False
821633192,POLARSQUAD,,,,,False,,False
821746272,PRESTHÅGGÅN VEILAG,,,,,False,,False
821843812,PSORIASIS- OG EKSEMFORBUNDET MO,,,,,False,,False
822066852,PROMETHEUS EUROPE,,,,93433886,False,,False
822216862,PARAT NAV VEST-VIKEN,,,,,False,,False
822325262,PINSEKYRKJA ÅRDAL,,jante3777@outlook.com,,+4740825437,False,,False
822600212,PLUM TRIM,,,,,False,,False
822646662,POSTNORD STRÅLFORS GRAFISKE KLUBB,,,,,False,,False
822653332,PROGRAMUTVALGET FOR TIK,,,,,False,,False
822756492,PÅ VILLE VEIER - NARVIK VELFERD,,,,,False,,False
822757782,PRESENCE LIVE,,presencelivebergen@gmail.com,47 89 01 23,402 27 582,False,,True
822839762,PROMOTEUS,,,,,False,,False
822901352,POCKET VALLEY WESTERN RIDERS,,henriette.brustad@gmail.com,,917 90 969,False,,False
822983642,PORSANGER TURNFORENING,,,,,False,,False
823201842,PODENCOKLUBBEN NORGE,,,,,False,,False
823252382,PSORIASIS OG EKSEMFORBUNDET ROGALAND,,knuem@online.no,,971 54 521,False,,False
823269692,PINAKKELEN,,,,,False,,False
823490682,PRAMVEIEN/JOLLEVEIEN VELFORENING,,,,,False,,False
823628102,PORSÁNGGU SÁMI VÁHNENFIERPMÁDAT,,,,,False,,False
823631782,PARETO LINJEFORENING UIT,,,,,False,,False
823842082,POLENKOMITE FOR KLASSE 8.3 VED LILLESAND US,,,,,False,,False
823878532,PUNJABI SOSIAL SERVICE,,,,,False,,False
824298262,PORSGRUNN ØVINGSKOLLEKTIV,,,,,False,,False
824311242,POLAR INSTITUTE,polarinstitute.com,info@polarinstitute.com,,98 44 00 00,False,,False
824446652,PROSJEKT BARNDOM,,prosjektbarndom@gmail.com,,,False,,False
824770972,PVG SOSIALFORENING,,,,,False,,False
825212442,POLENTUR BIRKENES,,,,,False,,False
825344462,PRIDE FREDRIKSTAD,www.fredrikstadpride.com,post@fredrikstadpride.com,,,False,,False
825387552,PENSJONISTPARTIET LØRENSKOG,Pensjonistpartiet.no,dennispiaf@me.com,,932 22 396,False,,False
825409602,PARKBIOGRAFEN FILMKLUBB,,,,,False,,False
825878912,"PROGRAMUTVALGET FOR FILOSOFI, POLITIKK OG ØKONOMI (FPØ)",,,,,False,,False
825885412,PARASJUK,,,,,False,,False
826164492,PLANET B,,,,,False,,False
826365862,PESTIVAL PRODUCTIONS,,,,,False,,False
826377712,PROGRESSIVE AFRICAN WOMEN,,,,,False,,False
826600802,PENSJONISTFORBUNDET BJØRNAFJORDEN,,,,,False,,False
827199842,POLARSIRKELEN DYNAMISKE SPORTSSKYTTERE,,,,,False,,False
827636282,PROSJEKT X-OPP AGDER,,,,,False,,False
828161512,PORSHAUG VELFORENING,,,,,False,,False
828222082,PENSJONISTFORENINGEN COOP OPPDAL,,aajmoe@online.no,,915 66 852,False,,False
828867822,PAPEGØYEN VEL,,,,,False,,False
829149672,PERMINOWS KORRESPONDANSEFORENING,,,,,False,,False
829386712,PPR,,,,,False,,False
829444542,PGUTTA,,,,,False,,False
829555042,PÅRØRANDEFOREINING I TIDLEGARE NORDDAL KOMMUNE,,gerd.mmh@gmail.com,,476 59 275,False,,False
829855402,PENSJONISTPARTIET DRAMMEN,,,,,False,,False
830122192,PEDAGOGIKKLISTA,,,,,False,,False
830143602,PUNKT OSLO,www.punktoslo.no,,,,False,,False
830222952,"PERSONALFORENINGEN I COOP OPPDAL, REGION NORD-ØSTERDAL",,,,,False,,False
830337172,PENSJONISTFORBUNDET HAMAR,,sveinma@outlook.com,,900 62 107,False,,False
830469532,PENSJONISTFORENINGEN UIT ALTA,,,,,False,,False
830493662,POINT BLANK DC,,,,,False,,False
830505792,"PARTIET SENTRUM SANDNES, SOLA OG STAVANGER",,,,,False,,False
830725482,PAVILJONGEN KIOSK,,,,,False,,False
830736832,PÅFYLL FOR PÅRØRANDE - RUS OG PSYKISK HELSE,,,,,False,,False
830743472,PERSHJELMEN VEL,,,,,False,,False
830845232,PARAT MEDIA SCHIBSTED NOVA,,,,,False,,False
831018542,PENSJONISTPARTIET VESTFOLD,Pensjonistpartiet.no,hansen.emil@outlook.com,,928 15 677,False,,False
831115122,PRESTAKSLAS VENNER,,,,,False,,False
831118202,PERSONALFORENING FOR KONTORSTEDET NAV MÅLSELV-BARDU,,,,,False,,False
831140542,PLASTINDUSTRIFORBUNDET,,,,,False,,False
831321202,PARKERINGSPLASS E GALNÅSEN,,,,,False,,False
831439092,PAW HUSKY,,,,,False,,False
831710632,PELLERVIKODDEN VEL,,,,,False,,False
831805102,PANENGBRYGGAS VENNER,,,,,False,,False
832112712,PAINTBALL VESTERÅLEN,,,,,False,,False
832225452,PRIDE PÅ GRENSEN,www.pridepagrensen.no,post@pridepagrensen.no,,905 76 010,False,,False
832363502,PONEDELNIK,,,,,False,,False
832470392,PEDAGOGISK UROSENTER,,,,,False,,False
832497142,PENSJONISTFORBUNDET ØRLAND,,,,,False,,False
832878502,PICCOLINO ORCHESTRA,,helenjohansen1@gmail.com,,476 32 029,False,,False
833193902,PONNAMMA HELPING HANDS,,,,,False,,False
833260642,PURE JAMAICAN VYBZ,,,,,False,,False
833501992,PURGLEDE,,,,,False,,False
833563912,PERSONALFORENINGEN V/SILSAND BARNESKOLE,,,,,False,,False
833927132,PENSJONISTPARTIET SORTLAND,,,,,False,,False
834571382,PILGRIMSTUR 2025,,,,,False,,False
834603152,PLACE2BE,,,,,False,,False
834630672,PN FORENING,,pl3asur3nights@gmail.com,,,False,,False
834951622,PENSJONISTFORENING MULTICONSULT ØSTFOLD,,,,,False,,False
835070182,PROJECT BASELINE STAVANGER,,,,,False,,False
835216152,PORSANGER SENTERPARTI,,,,,False,,False
835507432,POLYNORGE - ØST (OSLO OG VIKEN),,pharin@polynorge.no,,410 01 100,False,,False
835550842,PUTTABAKKEN VEILAG,,,,,False,,False
835667332,PALESTINAKOMITEEN PÅ NESODDEN,,,,,False,,False
835701832,PENSJONISTFORBUNDET TRØGSTAD,,,,,False,,False
836230272,PERSBRÅTEN REVY 2026,,,,,False,,False
836272412,PROJECT LEGACY 2027,,,,,False,,False
865221282,PINSEMENIGHETEN SION,,aad-r@online.no,35 99 68 14,905 96 251,False,,True
870047312,PINSE TELEMARK,pinsetelemark.no,roi-joha@online.no,,906 88 731,False,,False
871000352,POLITIETS FELLESFORBUND,www.pf.no,pf@pf.no,23 16 31 00,,False,40.0,False
871127832,PUNSVIK SKOGSVEGFORENING,,,76 92 78 15,,False,,False
871250782,PINSEMENIGHETEN BETANIA,betaniatorsnes.no,post@betaniatorsnes.no,,474 83 508,False,,False
871270112,PINSEMENIGHETEN BETEL DAL,,,,,False,,False
871322112,PINSEMENIGHETEN BETEL,www.betel-heistad.net,,35 51 26 78,,False,,False
871343152,"PINSEMENIGHETEN BETEL, NÆRBØ",www.pinsebetel.no,post@pinsebetel.no,51 43 48 46,,False,,False
871394202,POLARCIRKELEN AVLØSERRING V/ TORE W. JOHANSEN,,,,,False,,False
871491232,PINSEMENIGHETEN EVANGELIEHUSET,,pastor@evangeliehuset.org,51 49 38 70,412 07 990,False,26.0,False
874245992,PINSEMENIGHETEN HÅPET,,pinsemenighetenskarnes@gmail.com,,458 17 332,False,,False
874338222,PENSJONISTFORBUNDET OSLO,www.pensjonistforbundet.no,oslo@pensjonistforbundet.no,22 17 06 00,466 10 030,False,,False
875593102,PINSEMENIGHETEN SALEM,www.salemaros.no,post@salemaros.no,31 28 81 43,951 30 813,False,,False
875720392,PINSEMENIGHETEN SALEM,,stig.kenneth.longva@gmail.com,70 19 35 40,464 20 745,False,,False
875961322,PHILLIPS JANITSJAR,,,51 69 17 37,,False,,False
876908972,PINSEMENIGHETEN KLIPPEN,www.klippenloddefjord.no,post@klippenloddefjord.no,,,False,,False
879229022,PINSEKIRKA ELIM EIKENOSVÅG,,,70 15 09 72,,False,,False
880414712,PUTTEMYRAS VENNER,,olamartin@bjertnaes.no,,915 46 602,False,,False
880883542,PINSEMENIGHETEN BETEL TANA,,,78 92 71 49,,False,,False
881052342,PARKKVARTALET SENTERFORENING,www.park.no,post@park.no,78 43 09 26,,False,,False
881408112,PRESS - REDD BARNA UNGDOM,www.press.no,press@press.no,21 01 68 70,992 19 588,False,7.0,False
881910462,PROFESSIONAL WOMEN'S NETWORK NORWAY,www.pwnnorway.no,secretarygeneral@pwnnorway.no,,463 81 193,False,,False
882154882,PMI NORWAY CHAPTER,www.pmi-no.org,post@pmi-no.org,,,False,,False
882911012,PR VERS OG STROFE,,,32 78 47 26,,False,,False
883268512,PRINSDAL TOPPÅSEN SKOLEKORPS,www.ptskolekorps.no,post@prinsdalskolekorps.no,,458 80 506,False,,False
883349652,PPDC AALESUND DART CLUB,,bos@adsl.no,,91519892,False,,False
883409752,PINTEN ØLKLUBB,www.pinten.no,torfinn@web4you.no,21 44 82 04,90133514,False,,False
883604512,PORSGRUNN FRP,telemark.frp.no,nelolse@online.no,,,False,,False
883622332,PROSJEKTOR,,,22 84 06 00,906 75 132,False,,False
883850572,PENSJONISTFORBUNDET BRUMUNDDAL,,,,,False,,False
883892402,PERSONSKADEFORBUNDET LTN-LOFOTEN,www.personskadeforbundet.no,lofoten@personskadeforbundet.no,,,False,,False
883901762,PORSGRUNN AMATØRTEATER,porsgrunnamatorteater.no/,post@porsgrunnamatorteater.no,,913 65 034,False,,False
883982452,PALETTEN KUNSTFORENING,,eknutsvi@stavanger.kommune.no,51 50 70 90,980 93 901,False,,False
884659922,PENSJONISTPARTIET I TRONDHEIM,,trondheim@pensjonistpartiet.no,,926 01 333,False,,False
884975522,POLITIETS PENSJONISTFORENING VESTOPPLAND,,,61 17 32 66,901 25 990,False,,False
885156622,PUR GRUPPEN,www.pif.no/pur,akf@norskindustri.no,23 08 88 00,934 90 903,False,,False
885326692,PORSGRUNN ARBEIDERSAMFUNN,,,,913 77 469,False,,False
885508812,PENSJONISTFORBUNDET STORD,,dyp-lund@online.no,55 32 81 02,416 47 771,False,,False
885591752,PURPUR HJERTENE,,ghahghahani@gmail.com,62 55 26 81,91886504,False,,False
885668542,PAKISTANSK INTERESSEFORENING OG VELFERDSFORENING,,shafiqsahib@gmail.com,67 54 44 38,938 65 652,False,,False
886000812,PENSJONISTFORENINGEN NVE-STATKRAFT STATNETT,,p.nve.sk.sn@gmail.com,,,False,,False
886066732,PADDELANDET BRYGGEEIERFORENING,,,37 03 45 53,93439463,False,,True
886783892,PRAKTISK-FILOSOFISK FORENING (PRAFIFO),,,,,False,,False
887227462,PIONERKIRKEN,www.pionerkirken.no,post@pionerkirken.no,90 53 24 69,92639530,False,,False
887258422,PSYKODRAMAFORENINGEN I NORGE,www.psykodramaforeningen.no,kjersti92055920@gmail.com,,920 55 920,False,,False
887612242,PENSJONISTFORBUNDET VÅGSØY,,avaage@online.no,,45633338,False,,False
887877122,PORSELENSARBEIDERNES FORENING,,ss@ntp-as.no,,917 76 864,False,,False
888131892,PAN-POESISELSKAPET AV 1991,,,51 88 16 36,913 32 579,False,,False
888305122,PETTERHAVNA BÅTFORENING,,,,98074168,False,,False
889378492,PREIKESTOLEN BLUESKLUBB,www.preikestolen-bluesklubb.com,,,414 21 209,False,,False
889401192,PÅRØRENDE/VENNEFORENING PÅ HEGRATUNET,,,74 80 51 30,98416050,False,,False
889407042,POLENMISSION,,rolf@gospelsearch.org,69 19 02 07,99702349,False,,False
889452412,PEDAGOGISK PROFIL,www.uv.uio.no/livet-rundt-studiene/pedagogisk-profil/,profil-red@ped.uio.no,22 85 53 21,,False,,False
889509902,POLSK-NORSK NORSK-POLSK KULTURFORENING SAMHOLD,,,,916 51 044,False,,False
