organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811655082,SUNNYLVEN PENSJONISTLAG,,,,906 75 234,False,,False
811657522,STORDALSSTØLEN HYTTEGREND,,palmerhelland4@gmail.com,,909 45 280,False,,False
811662232,SJURSNES HYTTEFORENING,,iver@online.no,,900 30 236,False,,False
811731412,SLAABERVIGS VENNER,www.facebook.com/slaabervigsvenner/,einar.oltedal@gmail.com,37 01 18 34,957 46 910,False,,False
811738212,SANDHORNØY TURLAG,,line.h.evjen@hotmail.com,,412 84 112,False,,False
811743852,SÅT BEITELAG,,,,,False,,False
811756202,STUDIO YPSILON,,,,,False,,False
811757012,SOGNDAL OG LEIKANGER REVMATIKARFOREINING,,guro43@gmail.com,,957 35 347,False,,False
811779822,SANDANE KFUK-KFUM-SPEIDARAR,www.kmspeider.no/sandane,,,,False,,False
811800252,STRAND OG TØRLEN GRUNNEIGARLAG,,,70 02 12 85,41606967,False,,False
811833002,SVALERØDKILEN VEL,svalerodkilen.no,henninghaugen@hotmail.com,67 13 87 89,400 05 300,False,,False
811836672,SULA KRF,,bjorg.elling@gmail.com,,928 48 434,False,,False
811844322,STAVSETMYRA GRENDALAG,www.grendalaget.net,post@grendalaget.net,,,False,,False
811869562,SANDØY KVINNE- OG FAMILIELAG,,,71 27 79 45,41190930,False,,False
811884812,SYKKYLVEN INDREMISJON,,j-aurdal@hotmail.com,,,False,,False
811885622,STORHAUGEN HYTTEFORENING,,,,,False,,False
811915882,SLIPEN PÅ NES,,bnilse5@online.no,,951 78 716,False,,False
811932272,SOUTH SUDAN COMMUNITY IN NORWAY (SSCN),,alakaisek@mail.com,32 24 38 27,90632964,False,,False
811941832,SYKKYLVEN BEDEHUSFORSAMLING,,oddbru@xi.no,70 25 08 37,918 37 138,False,,False
811945412,SENIOR MC NORGE AVDELING VEST-AGDER,,gjoslett@gmail.com,,452 33 750,False,,False
811961922,SANGROK HAPKIDOKLUBB BERGEN,,bergenhapkidoklubb@gmail.com,,926 26 873,False,,False
812003852,STRYN PISTOLKLUBB,,strynpistolklubb@yahoo.com,57 87 18 53,993 74 342,False,,False
812055402,SARPSBORG BLUES CLUB,,post@sarpsborgbluesclub.no,,,False,,False
812080512,SKINNARBERGA'S VENNER,,elisabeth@mediafolket.no,,,False,,False
812134752,SKAUSTRANDA VELLAG,,,,913 35 752,False,,False
812155962,SMØLA KFUK-KFUM SPEIDERE,www.facebook.com/SmolaSpeidere,trosopplarer@smola.kommune.no,71 54 46 27,417 79 069,False,,False
812160982,SAURDAL KRINSSTYRE,,,,,False,,False
812167502,SPERVIKVEIEN VEL,,,,,False,,False
812202472,STORDRILEN OG LANDSKROKEN HYTTEEIERFORENING,,gunnar.solberg52@gmail.com,,907 40 464,False,,False
812217682,SAHARA VELFORENING,,,,,False,,False
812273302,STRETCH & DANCE,,li.willumsen@gmail.com,,936 35 972,False,,False
812273922,STEINKJER UNGE KVINNERS SANITETSFORENING,,steinkjeruks@gmail.com,,952 06 146,False,,False
812278282,SINNESLIA VELFORENING,,,,474 54 262,False,,False
812288342,SOON MULTISPORT,www.soonttiathlon.no,post@soontriathlon.no,,90560236,False,,False
812352822,SOLHEIMSSTIEN-SOLHEIMSLII VEILAG,,anders.haug@hsh.no,,934 14 469,False,,False
812382012,SYKEHJEMSDANSEN,,post@randiarn.no,55 13 22 65,482 60 104,False,,False
812406892,SOMALI RELIEF NETWORK,,,,40982159,False,,False
812411152,SIMBA ARTS,www.simbaarts.org,simbaarts@gmail.com,,968 26 995,False,,False
812453912,SELBU RØDE KORS,,,,,False,,False
812462482,SOLVORN OG HAFSLO SANKELAG,,ti.kvam@online.no,,90933948,False,,False
812479652,STANDALS SANITETSFOREINING,,,,46905774,False,,False
812563432,SLOKOLIA HYTTEGREND,,svane@bragemedical.no,,970 64 680,False,,False
812563572,SOCIETY OF DOCTORAL CANDIDATES AT NMBU (SODOC),www.nmbu.no/en/research/phd/sodoc,sodoc.nmbu@gmail.com,,,False,,False
812585622,SØGNE HANDELSFORENING,,leder@sognehandel.no,,902 26 911,False,,False
812602942,SOYAL YOUTH ASSOCIATION,,,,92527206,False,,False
812606492,SKUTSTØEN HYTTEFORENING,,,,,False,,False
812613022,SKIPPERHEIA VA UTBYGGNINGS FORENING,,henriette.g.brekke@vikenfiber.no,22 74 42 80,480 38 387,False,,False
812628062,SKOGBRYNET GRENDELAG,,geir@ragnarringstad.no,,979 74 053,False,,False
812674692,SKIPPERGATA VEILAG,,pal.telnes@online.no,,90187186,False,,False
812675222,SINGSÅS MENIGHETSHUS,,singsasmenighetshus@gmail.com,,996 90 506,False,,False
812696742,STØREN HUSFLIDSLAG,www.husflid.no,auduwkb@online.no,,41666181,False,,False
812736752,SØGNE HÅNDVERKER- OG ARBEIDERFORENING,,bjorn.brunvatne@gmail.com,,952 61 019,False,,False
812753142,SHAVING THE WEREWOLF,,,,,False,,False
812816462,SKUDENES BRANNSTASJON VELFERDFORENING,,,,,False,,False
812836552,SKATVAL BYGDEKVINNELAG,,sigrid.alstad@ntebb.no,,971 30 254,False,,False
812836692,SETESDAL HAGELAG,,rigmor.flaat@gmail.com,,482 15 779,False,,False
812837222,"SAFETY MC, BIKERE MOT VOLD OG SEKSUELLE OVERGREP MOT BARN OG UNGE",,,,,False,,False
812860542,SLATTUMHAGEN VEST VEL,,btstyret@hotmail.com,,469 40 262,False,,False
812861042,STASJON MUSIKKVERKSTED,,,,,False,,False
812895362,SUSEGG VELFORENING,,tiine1992@hotmail.com,,478 53 513,False,,False
812997262,SØVIGNESET VEL,,,,,False,,False
813025892,STRANDEBARM FAU,www.strandebarm.skule.no,marthm@kvam.kommune.no,56 55 68 70,414 34 425,False,,False
813047942,SØRFJORDEN SKOGSVEIVEDLIKEHOLDSFORENING,,,,,False,,False
813075512,STATEN BEDRIFTSIDRETTSLAG STEINKJER,,fmtlabu@fylkesmannen.no,95 26 29 93,,False,,False
813078902,SKÅNLAND OG OMEGN REVMATIKERFORENING,,trine.scho@gmail.com,,916 42 628,False,,False
813116472,SUP DRØBAK,,,,,False,,False
813139782,SNORRES PLASS VELFORENING,,torofalch@msn.com,,95 73 73 30,False,,False
813151952,STUENES GARASJEN UNGDOMSKLUBB,,,,,False,,False
813179482,SELJA 4H,,selja4h@hotmail.no,,472 85 512,False,,False
813236672,SORTLAND STRYKEORKESTER,,atle.kanstad@vkbb.no,76 12 17 68,95943081,False,,False
813293382,STRAUMSNES HUSFLIDSLAG,,,,91737970,False,,False
813294362,SENIORKLUBBEN AVINOR GARDERMOEN,,begilh@online.no,,996 30 399,False,,False
813328992,SVEINONGENS VENNER,,tor-vegard@smedenisund.no,,913 71 718,False,,False
813329832,SN RADIO,www.salangen-nyheter.com,jhl@salangen-nyheter.com,,957 90 086,False,,True
813333252,SALANGEN KLATREKLUBB,,salangen.klatreklubb@gmail.com,,928 32 101,False,,False
813359022,STOLMEN KYRKJEKOR,,elin@olsengruppen.no,55 08 50 96,416 85 358,False,,False
813364972,ST.RUFAEL ERITREISK ORTODOKSE TEWAHDO KIRKE HAMAR,,,,450 85 118,False,,False
813376202,SAMLAGET BYGDEKVINNELAGENE I STJØRDAL,,anitahaav@hotmail.com,,928 04 056,False,,False
813383322,"SELJE CHALLENGE, NOREGS FLOTTASTE TRIATHLON",www.seljechallenge.no,seljechallenge@outlook.com,,905 48 921,False,,False
813393972,SANDVOLLAN BYGDEKVINNELAG,,,,,False,,False
813395142,SØRKEDALEN PENSJONISTFORENING,,,,,False,,False
813425092,SOON TRIATHLONKLUBB,www.soontriathlonklubb.no,trudehoyert@gmail.com,,99150338,False,,False
813432072,SAGENE BRANNSTASJONS VELFERDSFORENING,,,22 89 38 20,,False,,False
813455862,SVENNER FYR KYSTLED,www.svenner.info,espenbergan@icloud.com,40 45 05 95,913 70 570,False,,False
