organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811625582,TERØY VEL,,,,,False,,False
811694762,TEKNA BEDRIFTSGRUPPE KVÆRNER JACKET TECHNOLOGY TRONDHEIM,,,,,False,,False
811750522,TRANSPLANTERTES IDRETTSFORENING,,ofikse@ntebb.no,,,False,,False
811825212,TRONDHEIM SOPP- OG NYTTEVEKSTFORENING,www.tsnf.no,post@tsnf.no,,930 36 346,False,,False
811899372,TEKNA LILLEHAMMER AVDELING,www.tekna.no,trude.ruen@tekna.no,,980 78 363,False,,False
811947512,TOPPÅSEN HUSEIERFORENING,,terje.solheim@online.no,,971 58 803,False,,False
811947652,TROMSØ KIRKEAKADEMI,www.tikfestival.no,post@tikfestival.no,77 60 50 90,915 10 351,False,,False
812038982,TROMSØ MILITÆRE SAMFUNN,,tromilsamf@gmail.com,,928 06 331,False,,False
812061372,TRØNDELAG SELSKAPSHUNDEKLUBB,,,,,False,,False
812082132,TYDAL JEGER OG FISK,,,,,False,,False
812172972,THE PINKERTONS,,thepinkertonsbooking@gmail.com,,,False,,False
812314262,TEAM LURIFAX,,bjorn.olav@mrwho.no,,47 70 57 52,False,,False
812467212,TROMS MURMESTERFORENING,,,,,False,,False
812523112,THE BEAT HAPPENING,www.thebeathappening.no/,post@thebeathappening.no,,415 46 906,False,,False
812585592,THE LIFE CARE ASSOCIATION,,fine_88_1@hotmail.com,,,False,,False
812617842,TORSDAGSKLUBBEN LYSØYSUND,,,,,False,,False
812641972,TRULSRUDENGA HUSEIERFORENING,,,,,False,,False
812688782,TØMMERDAL SKOGS- OG LANDSBRUKSVEIFORENING,,espen.arnesen@gmail.com,,970 85 833,False,,False
812774182,TINGVOLL VENSTRE,,olavegil@gmail.com,,992 55 273,False,,False
812897632,TINGHAUG VANNVERK,,katrinet@vfk.no,,924 98 603,False,,False
