organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811594032,ULVIK BEITELAG,,ulvikbeitelag@gmail.com,,909 29 245,False,,False
811679402,UTDANNINGSFORBUNDET VANYLVEN,,post@vanylven.utdanningsforbundet.no,70 03 00 90,913 05 456,False,,False
811790702,UNITED VETERANS MOTORCYCLE CLUB CHAPTER A REGION EAST,,98harley@online.no,,468 59 604,False,,False
811825042,ULLENSAKER SKATEBOARDKLUBB,www.ullrull.no,larselstad@live.com,,483 17 101,False,,False
811896772,UNGDOMSLAGET VARDEVAKT,,welyso81@hotmail.com,,917 95 393,False,,False
811896942,UNGE OPPDAGERE,,guro.g.seim@gmail.com,,,False,,False
812037072,UNGE PIRATER VEST-AGDER,www.piratpartiet.no,fredrik.nordhammer@piratpartiet.no,,940 55 757,False,,False
812394452,UTBYGDA VELFORENING,,epedel@online.no,,,False,,False
812773992,URSANDEN VEL,,arvid.ostbo@orkla.no,,917 76 830,False,,False
813179172,UNGE SIKHER,www.ungesikher.no,post@ungesikher.no,,916 12 959,False,,False
813332582,UNGE VENSTRE NHH,www.facebook.com/uvnhh/,,,,False,,False
813361132,UTDANNINGSFORBUNDET I STEIGEN,,post@steigen.utdanningsforbundet.no,,47907580,False,,False
813590832,UNG I KOR NORD,nord.ungikor.com,nord@ungikor.com,77 69 33 26,,False,,False
813772612,UTDANNINGSFORBUNDET SKJERVØY,,post@skjervoy.utdanningsforbundet.no,77 77 56 42,924 84 382,False,,False
814054012,UNGDOMSLAGET NORDEN,,,,,False,,False
814867862,UL FRAM,,mariapdale@gmail.com,,905 00 986,False,,False
814924572,UPS & DOWNS AGDER,,janfrodef@yahoo.no,,95 81 08 05,False,,False
815249682,ULRIKEN VELOCIPEDKLUBB,,andgje@hotmail.com,,924 07 662,False,,False
815275152,UNDELAND HYTTEGREND,,,,,False,,False
815356012,U.L. VÅRSOL,,,,,False,,False
815635272,U.L.HUSKALLEN,,,,,False,,False
815769732,UCKG - UNIVERSAL CHURCH OF THE KINGDOM OF GOD,,,,,False,,False
816117992,UTDANNINGSFORBUNDET VESTBY,www.utdanningsforbundet.no/Fylkeslag/Akershus/Lokallag/Vestby/,post@vestby.utdanningsforbundet.no,,,False,,False
816188202,UTDANNINGSFORBUNDET I NORE OG UVDAL,,magnhild.blaavarp@nore-og-uvdal.kommune.no,,415 61 648,False,,False
816904242,UTØYAVETERANENE,www.aufsynger.no,,,,False,,False
816922542,UNG GITAR BERGEN,,aoervik@gmail.com,,,False,,False
817128912,"UNBAD BOARDS, TRONDHEIM",www.facebook.com/groups/620110562156476,boards@unbad.no,,92037387,False,,False
817236812,UKD REISELIV,,,,,False,,False
817390552,UTDANNINGSFORBUNDET HARSTAD,www.utdanningsforbundet.no/Fylkeslag/Troms/Lokallag/Harstad/,,77 02 61 45,,False,,False
817689442,U-PROSJEKT ULLERN VIDEREGÅENDE SKOLE,,,,,False,,False
817943772,UTDANNINGSFORBUNDET TYSFJORD,,,,,False,,False
818407602,UNDERTRYKT,,,,,False,,False
818443722,US CAR CLUB EVENES,,,,,False,,False
818537832,UT PÅ TUR 3A,,,,,False,,False
818875002,ULLENSAKER HAGELAG,,,,,False,,False
819048002,UTSIRA ARBEIDERPARTI,,utsira83@gmail.com,,976 57 823,False,,False
819152292,URUK INDEPENDENT ORGANIZATION FOR MEDIA,www.uruk.no,uruk@uruk.no,,402 24 987,False,,False
819516812,ULLSAKERVEGEN VEGLAG,,nilsring@online.no,,91116607,False,,False
819549532,UNINETT PENSJONISTFORENING,,,,,False,,False
819645922,ULLENSAKER MUSLIMSKE SENTER,www.umsenter.no,post@umsenter.no,,,False,,False
819730482,U.L. FRAMSYN,,,,,False,,False
819764662,UTSIKTEN LINJEFORENING FOR FILOSOFISTUDENTER,,ijo100@uit.no,,975 01 961,False,,False
820025792,ULA VELFERDSKLUBB,,ula.velferd@akerbp.com,,,False,,False
820276132,UDIR TROMSØ FUNKSJONÆRFORENING,,,,,False,,False
820504852,ULLERUDTUNETS VENNER,,,,,False,,False
821973392,UMBUKTA HYTTEFORENING,,,,,False,,False
822024572,U.PIHL BBK,,,,,False,,False
822052312,UNGDOMSLAGET FRIDOM,,magny-berg@hotmail.com,,41663859,False,,False
822427642,UTAFOR,,,,,False,,False
822577482,ULSRUDKOLLEN HUSEIERFORENING,,,,,False,,False
822599222,UNGDOMSKLUBBEN CASINO,,,,,False,,False
822716482,UNG KULTURKRAFT,,,,,False,,False
823039212,ULRIKEN JANITSJAR,ulrikenjanitsjar.no,,,,False,,False
823055692,UNG I EIENDOM VEST,,,,,False,,False
823150202,ULLERN MDG,,,,,False,,False
823191472,UNG TEKNIKK,,,,,False,,False
823378122,UNGE FORSKERE SOTRA,,adakirste@gmail.com,98 18 00 90,402 09 004,False,,False
823701322,UNG & VOKSEN EKTESKAPS FORENING,,,,,False,,False
824022992,UNGT KULTURFORUM BODØ,,oyvindjohanolsen@gmail.com,,476 83 172,False,,False
824345392,UNAGICON,www.facebook.com/unagicon,unagiconcos@gmail.com,,959 46 797,False,,False
824434352,URTEGATA.CO,,,,,False,,False
824572372,UNGE SANGERE I RØYKEN,,,,,False,,False
824668442,UNGT ENTREPRENØRSKAP VESTLAND,,,,,False,7.0,False
824763402,UNG BOTANIKER BØ,,marina.eraker@hotmail.com,,,False,,False
825142452,UNG I FOKUS,,,,,False,,False
825443142,UTTOSKAVÅGEN,,,,,False,,False
825616322,UNIVOL UNITED VOLUNTEERS,,osmanucbas@hotmail.com,,405 95 489,False,,False
825700072,UTSIKTEN VIN & VEDLIKEHOLD,,,,,False,,False
826033312,URO - UNGDOMMENS ROCKEKLUBB ODAL,,,,,False,,False
826656042,UNDREDAL SKYTTARLAG,,,,,False,,False
827029882,ULLENSVANG NÆRINGSRÅD,,ullensvangnaeringsrad@gmail.com,,,False,,False
