organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
813714892,ZIPPOTEC DISCO,,michel@show-teknikk.no,,47337305,False,,False
823187432,ZOMI CHRISTIAN FELLOWHIP OF NORWAY (ZCF NORWAY),,,,,False,,False
827040312,ZANFIT SPORTS FOUNDATION,,,,,False,,False
827230812,ZEBR,,,,,False,5.0,False
833198432,ZUMUNCHI KVINNEFORENING,,,,,False,,False
836064232,ZEBRA ENTERTAINMENT,,,,,False,,False
895490822,ZULUKLUBBEN,www.zulukongen.com/zuluklubben/,zuluklubben@hotmail.com,,909 63 865,False,,False
896805932,ZATELITTEN,,post@utdanningsdirektoratet.no,23 30 14 63,,False,,False
897730162,ZEPTIC UNGDOMSKLUBB,,,,,False,,False
911588226,ZULULAND,www.zulukongen.com,thor.nilsen@bama.no,,91301495,False,,False
912166457,ZORRO,,,,,False,,False
912310698,ZULFIQAR ACADEMY,,nation_cc@hotmail.com,,97079718,False,,False
912607313,ZEDWAY,zedway.no,henrik@zedway.no,,90775867,False,,False
913083431,ZIMBABWE NORWAY FORENING,,johnleetimuri@hotmail.com,,916 16 358,False,,False
913184025,"ZIVELI NORGE - FORENINGEN FOR FORMIDLIMNG AV KUNNSKAP OM VEST-BALKANS NATUR, KULTUR G HISTOIRE I NORGE",,thoml1917@hotmail.no,,934 01 950,False,,False
913447298,ZOMI INNKUAN NORWAY,,,,,False,,False
913592522,ZIENERFILHARMONIEN,,tor-zien@online.no,62 57 80 16,95177974,False,,False
914315115,ZAREPTA NORGE,,,,,False,,False
914856809,ZIEMELMEITA,www.deja.no,info@deja.no,,,False,,False
915573452,ZIADA SCHOOL,,zionschooltz@gmail.com,,984 61 025,False,,False
915749100,ZAGROS KULTURFORENING I ØSTFOLD,zagros.no,abdhaci@hotmail.com,,966 99 863,False,,False
916508336,ZIRCON LAN,,,,,False,,False
916784325,ZANDER,www.clubzander.eu,info@clubzander.eu,,,False,,False
916928238,ZOHRA MANZOOR WELFARE SOCIETY,,,,,False,,False
918478930,ZAZJIGALKA- VENNER AV RUSSISK KULTUR,,,,,False,,False
918643036,Z1 OWNERS CLUB NORWAY,,,,,False,,False
920515029,ZUMUNCHI UNGDOMFORENING,,,,,False,,False
921356900,ZOAR NAPPANE VEL,,,,,False,,False
922762031,ZN RIDING,,,,,False,,False
923029885,ZHEJIANG CHAMBER OF COMMERCE FOR NORWAY,,,,,False,,False
924755571,ZCENESTREKK BARNE- OG UNGDOMSTEATER,,evaalice@mac.com,,902 49 079,False,,False
925624993,ZINGZANG,storkonsert.no,post@bwsmusikk.no,,402 16 880,False,,False
926520105,ZAR SOCCER,,,,,False,,False
927867028,ZEN SOLUTION,,,,,False,,False
928145727,ZUMBATA LEKSVIK,,,,,False,,False
928987299,ZANEGG CHEF SCHOOL,,nils.henning.nesje@gmail.com,,932 67 090,False,,False
929071557,ZUGZWANG SJAKKLUBB,,,,,False,,False
929187628,ZARA COMMUNITY,,,,,False,,False
929358953,ZION PINSEMENIGHET,,,,,False,,False
929488520,ZAMBIA IN BERGEN NORWAY ASSOCIATION (ZIBNA) ZAMBIE I BERGEN NORGE,,,,,False,,False
930255017,ZENIT,,,,,False,,False
930652415,ZZ GREEN,,,,,False,,False
931692135,ZAPPFEHYTTA,,,,,False,,False
932485923,ZIMBA-NOR BRAIN TUMOUR AID,,,,,False,,False
932963310,ZEROIZE,zeroize.no,styret@zeroize.no,,468 19 092,False,,False
932964678,ZYTONA,,nabilpal69@hotmail.com,,952 30 969,False,,False
933218422,ZAMBIA CULTURAL SOCIETY - NORWAY,,,,,False,,False
935809630,ZEBRA,,,,,False,,False
935821711,ZENITH E-SPORT,,zenith.nor.esport@gmail.com,,992 58 493,False,,False
935834538,ZOL I JÆREN,,,,,False,,False
936050107,ZIIREN BARNEKANTORI,,,,,False,,False
936198678,ZOARBAKKEN PARKERINGSLAG,,,,,False,,False
936200613,ZEROZTRESS LINEDANCE,,zeroztresslinedance@gmail.com,,465 47 810,False,,False
975443655,ZION FEVIK,,,,,False,,False
983921817,ZAGROUTHA FORENING FOR ORIENTALSK DANS I TRONDHEIM,,,,,False,,False
984638442,ZUMUNCHI INTERNASJONALT SAMFUNN,,zumunchi@gmail.com,,938 66 553,False,,False
985011567,Z-BULLS,,thordart@gmail.com,,976 33 278,False,,False
986785957,ZEN-SKOLEN,,,,975 63 317,False,,False
